0,1,2,3,4,5,6,7
Atxn1l,ENSMUSG00000069895,2.0802391387726424,2.1906059240054847,2.022042621980163,2.271521351571009,2.2945789018705627,2.9291845675297443
Bach1,ENSMUSG00000025612,2.593194577991865,2.67164018457639,2.6851181534302047,3.089821584651294,3.038413043388423,3.8691408968628247
Bahd1,ENSMUSG00000040007,2.5156832984815747,2.7094476120363877,2.589571404756752,2.632092102801082,2.8293174942921766,3.2525156409027725
Basp1,ENSMUSG00000045763,1.4238164294908433,1.696892818496217,1.5162402038311196,3.193567889692953,5.208496225551802,6.2843349633016965
Batf,ENSMUSG00000034266,0.5536531904871155,0.5844765692177772,0.5409643052213632,1.3362863416247603,1.3530877410996671,2.6529516301668816
Batf3,ENSMUSG00000026630,0.40977776606497873,0.4145667663161501,0.49362549084679674,0.8927096484143988,0.8632463195304375,1.79713236452552
Baz2a,ENSMUSG00000040054,2.384119658352797,2.3869097765245217,2.4034906641314335,2.2524355138169687,2.496602036588217,2.831636868376892
Bcl3,ENSMUSG00000053175,1.301629179625092,1.4448478840656427,1.2145658674296764,3.60220132507015,3.097001515906278,3.911612266613584
Bcl6b,ENSMUSG00000000317,3.0657787243377226,3.3231496665068017,2.587958824172612,2.98206966395657,3.2237820535250714,3.6670761130720773
Bclaf1,ENSMUSG00000037608,2.2221717701226513,2.1583002601670533,2.3288892152484886,2.2931001368113257,2.44845122507232,2.8545320158369987
Bhlhe40,ENSMUSG00000030103,3.360887541576421,3.615904563055234,3.751120898608964,4.430991459486804,4.21066194817821,4.0318837391479825
Bmi1,ENSMUSG00000026739,3.7618894310797675,3.684710641690583,3.742674187542336,3.437880795813546,3.715944747802054,3.7072949279157896
Brd4,ENSMUSG00000024002,2.582812552315556,2.6658271621220004,2.66794034555075,2.9138027284730974,2.8876478335917066,3.184442298812273
C1d,ENSMUSG00000000581,3.2729316253317986,3.158489828295182,3.141121159561211,3.096736607113824,3.320221338600662,3.8067074298968997
Calcoco1,ENSMUSG00000023055,5.3638070653005165,5.288022463948117,5.310378390062891,5.154327956702148,4.713824755631774,4.335479257701543
Camta1,ENSMUSG00000014592,3.271917142000271,3.254129982272043,3.280372610631084,3.370126313581225,3.2325283073153814,2.6566630039912487
Camta2,ENSMUSG00000040712,3.466534273396596,3.4539910424040894,3.4341778107635923,3.1844407306981237,3.36767605786304,3.7238008232509188
Carhsp1,ENSMUSG00000008393,3.5968537307565183,3.669784044757928,3.520273816383248,4.3892770138720545,4.691621473243205,5.026435552539073
Carm1,ENSMUSG00000032185,3.2710186063489717,3.3002380757110554,3.4148082851594257,3.346409137473311,3.648310033928668,3.5688490247494786
Cbfb,ENSMUSG00000031885,3.004207246499736,3.2548582537861814,3.0158434374291274,3.2416894345945075,3.624573250502128,4.744391299750267
Cc2d1a,ENSMUSG00000036686,2.3792813597103617,2.455921279864966,2.263737719125171,2.184644648414742,2.7775982104327754,3.2240710121161227
Cc2d1b,ENSMUSG00000028582,2.1214799683688415,2.1448521905419584,2.0179545029190074,2.0200552811642454,2.4442489644397565,3.15503971175029
Cdc5l,ENSMUSG00000023932,3.3410611221158755,3.38088938469225,3.3076202710538496,2.8891611104524455,3.350895944929206,3.8107620388996764
Cdk9,ENSMUSG00000009555,2.636695666783711,2.682500350190442,2.599977260582642,2.9845234686402957,3.3972713201767863,3.8358687857129605
Cebpa,ENSMUSG00000034957,2.1616663080454592,2.3571242362218814,2.368195772880843,2.7172723730607498,3.267718330589759,6.0984027032322485
Cebpb,ENSMUSG00000056501,4.286601240754998,4.3965705830533786,5.349417600409734,5.882291831574323,5.978416823827664,5.485391439165837
Cenpb,ENSMUSG00000068267,5.882174877551511,5.906426246074964,5.864545752024325,5.972595432992598,6.105789216062486,6.290936759118115
Cggbp1,ENSMUSG00000054604,2.992961536833648,3.087585459629942,2.94650552495202,3.193526895064683,3.488524018747015,4.408119178806543
Chd1,ENSMUSG00000023852,2.2375642715138233,2.1893510020936864,2.2522083195998635,2.6159288308998105,2.6167999258200583,2.6698814189883366
Chd4,ENSMUSG00000063870,4.4388161905413,4.374695261062665,4.3612388203001515,4.231486283468972,4.465735902663272,4.886753367512833
Cic,ENSMUSG00000005442,2.838886628052374,2.9706008708592955,2.99577220778306,3.1910384456026986,3.290446812354942,3.9173076104849285
Ciita,ENSMUSG00000022504,0.281389104916915,0.4028020852416977,0.3448285182024075,0.269396603547865,0.7678926584908433,1.8051493994815602
Clock,ENSMUSG00000029238,1.4444644604953019,1.9114272459565722,1.513306123048182,1.5904690019385395,1.8156034171481152,2.3941066630018435
Cnbp,ENSMUSG00000030057,6.7402215699197,6.667657463177593,6.7042832694100545,6.84865543251835,7.0896575889687945,6.811961179707707
Creb3,ENSMUSG00000028466,3.718955859755194,3.626171119420412,3.4905133662107324,3.853301047148269,4.5155867021703475,5.00582586397014
Creb3l1,ENSMUSG00000027230,1.4208499746896286,1.7295979574419558,1.408409509297645,1.9820291209893697,2.1798427755141043,4.152731838873318
Creb3l2,ENSMUSG00000038648,2.3410048735138815,2.5179589867909424,2.4032505064393885,2.283948160449664,2.8381732167930767,3.6022132260611226
Crebzf,ENSMUSG00000051451,3.1992562856111664,3.0876172119402274,3.0406863578249177,3.236677829299566,3.590239339494307,4.116120186787146
Cry1,ENSMUSG00000020038,2.4407203771916453,1.8531604121358414,2.6391426543291843,3.0353284264957825,2.6330248958012548,1.857531525547472
Cry2,ENSMUSG00000068742,3.082295847869366,2.5980377133067925,3.0750547603001213,3.0130526147848173,2.688018436287498,1.5596073698773762
Csdc2,ENSMUSG00000042109,3.6806036135930977,3.883930811235724,4.037423629040946,4.068097388513373,3.2658675677993028,2.703181942108871
Csde1,ENSMUSG00000068823,5.234872790210868,5.12189632304062,5.1294840569177245,4.966220761220825,4.982810483365417,4.982784930774744
Csrnp1,ENSMUSG00000032515,2.1576965508806496,2.851015915662969,4.1525715256518385,4.656830600042842,3.757390216470178,2.8405106472839257
Ctcf,ENSMUSG00000005698,3.1506647503374814,3.3289173143865596,3.240628614583458,2.9679576836406167,3.3043990968409425,3.7786439532847993
Ctnnb1,ENSMUSG00000006932,5.915990173879034,6.006768042968148,5.864699440014445,5.56662728878307,5.856145786956579,6.529118245443778
Cxxc1,ENSMUSG00000024560,4.3532031803893645,4.2335143888362055,4.293277276236877,4.331768004178368,4.59794711139231,4.8012083073036695
Dbp,ENSMUSG00000059824,5.311444868459158,4.497430356785333,4.802232718322032,3.6270556740123965,4.075110818235812,1.9087525047462233
Ddx1,ENSMUSG00000037149,3.944852107928131,3.9973031005839195,3.9702096496891306,4.060286666108214,4.117858362404432,4.335016266977464
Ddx41,ENSMUSG00000021494,2.340503185300796,2.3104668130511934,2.1938657920647424,2.337711859091978,2.9935594405815604,3.8242298563336927
Ddx58,ENSMUSG00000040296,1.7557535831559665,1.678202471070336,1.5020939293928277,1.389116617187987,1.7369775765643773,2.8944461253085767
Deaf1,ENSMUSG00000075470,2.1435316545617806,2.5882985748310747,2.4622062461454175,2.0766738897102672,2.3497158811315826,2.990596126244572
Dnajb6,ENSMUSG00000029131,3.321163814978616,3.396232716047056,3.319152617617228,3.564623522078163,3.6184319085698164,3.911769533228653
Dnajc2,ENSMUSG00000029014,2.328709741279713,2.28985518535516,2.2391006357807623,2.3742908149846,2.7740007930295545,2.8876510379185216
Dnmt1,ENSMUSG00000004099,2.0158624881185108,2.079864958780732,1.8861481071143475,1.8850619604690146,2.476830588825015,3.598481796544736
Dnmt3a,ENSMUSG00000020661,2.181923534019133,2.1652270043450534,2.0879078490094805,1.57128655425169,1.8723493984274842,2.6905464852829515
Dr1,ENSMUSG00000029265,3.0075252682851117,3.093910464530133,2.9953661096093063,3.1050087295773894,3.5150247920751587,3.959420831756467
Drap1,ENSMUSG00000024914,7.633469875217444,7.61112898515321,7.678540496847786,7.771403291043421,7.8007135391278055,7.355886016111499
E2f1,ENSMUSG00000027490,0.34375536523012185,0.280320230090879,0.3808372488102217,0.2570500388567115,1.325613597636832,2.9591321160238424
E2f2,ENSMUSG00000018983,0.05943139554008372,0.08899793798659839,0.10383699193681377,0.20734106912831746,0.6650974019091859,1.8283979202275655
E2f3,ENSMUSG00000016477,1.235480559080524,1.279040476362576,1.2354700554897493,1.5988868725215255,1.6507584078932132,2.1320851294305556
E2f4,ENSMUSG00000014859,3.418560438124548,3.4732166652416945,3.403116609892376,3.605788313026386,4.093276166918399,4.263884454266022
E2f5,ENSMUSG00000027552,1.7042829080725324,1.7171680997187428,1.5455560444357639,1.882700728754101,2.0197350640272793,2.4706100455964344
E2f6,ENSMUSG00000057469,3.9087114784864734,3.950798178163205,3.963664682772717,3.482381139099016,3.6831824889765117,3.4246803734238918
Edf1,ENSMUSG00000015092,6.8324014745692105,6.756689192454678,6.768509849612029,6.785185821922589,6.741673051142515,6.8393147865052635
Egr1,ENSMUSG00000038418,1.8904938973822676,3.420016955007024,6.1870398842333305,5.566073500237004,3.499503920967694,3.652385453011916
Egr2,ENSMUSG00000037868,0.1662770878374214,0.45096919310864214,1.253675525088965,1.7937747602861243,1.7358962467709254,2.8383050445468982
Egr3,ENSMUSG00000033730,0.35490548978898423,0.636376592629493,1.4314157877366094,1.5370264861628826,1.5089665050975078,2.1686846683429337
Elf1,ENSMUSG00000036461,2.2268019841047475,2.452003200615086,2.4648979108785776,2.7274889334086376,2.5897366120261105,3.4060900321771435
Elf4,ENSMUSG00000031103,1.4595289530264028,1.4412080035283785,1.3403829235275533,1.9976959210938279,2.195976198671576,3.069704079282266
Elk3,ENSMUSG00000008398,3.2200673043874803,3.48995536253355,3.2548784585079895,3.0596418311690226,3.3882860230366156,4.2997824089491115
Epas1,ENSMUSG00000024140,6.6031103381962355,6.483971551225873,6.631157484403294,6.503601278202617,6.1577621852033815,5.429869229232635
Ercc3,ENSMUSG00000024382,2.698278728935059,2.7709651706937546,2.828336620588755,2.806508852073513,3.1750401069291523,3.272533476718356
Erf,ENSMUSG00000040857,3.671792397876949,3.685474259845387,3.787275444821365,4.166869872278441,4.310866111266872,4.84529947364769
Erg,ENSMUSG00000040732,3.8290217430042466,3.806929732903497,3.6691343972817037,3.796099596692418,3.7764058227074324,4.041060551210277
Esrra,ENSMUSG00000024955,6.62368771760803,6.695461127839104,6.745357173403498,6.242994222693238,6.429031032746924,5.962993690814326
Esrrb,ENSMUSG00000021255,2.6057795536798567,2.529167476625898,2.675552248123631,2.525158488858852,2.408895472725883,1.6290620395944235
Esrrg,ENSMUSG00000026610,2.272855125713086,2.607435715240922,2.467985253961787,2.1520637024234985,1.9899271278726574,1.7296667959547454
Ets1,ENSMUSG00000032035,3.514617675329994,3.7053706885798814,3.412314480339618,3.4362710616605323,3.5976315689574703,4.0508874589736905
