GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Zfp120,0.37781692,-0.38228443,0.35104203,-0.3633664,0.32834417,-0.48178732,0.33127552,-0.4809036,0.33135045,-0.47864044,0.3284191,-0.47952417,0.29820877,-0.3136168
Zfp13,0.41771978,0.16967915,0.41771972,0.16967915,0.41771972,0.16967918,0.41771978,0.16967914,0.41771972,0.16967921,0.41771966,0.16967915,0.41771972,0.16967916
Zfp143,1.0673726,-0.01773288,1.0669698,-0.23841804,1.0334121,-0.4162445,1.034861,-0.4025924,1.0381652,-0.37893048,1.0298388,-0.37792137,1.0813016,-0.22796112
Zfp148,1.0118278,0.23534326,1.0133026,-0.25743005,1.0130367,-0.26545796,1.0181532,-0.25926888,1.0184193,-0.251241,1.0133028,-0.25743005,1.0174816,-0.14438538
Zfp161,0.76946175,0.27519184,0.7617774,0.29410997,0.7617774,0.29410997,0.7617774,0.2941099,0.7617773,0.29410994,0.7617773,0.29410994,0.7613262,0.2804833
Zfp182,0.91177833,0.0786783,0.90349853,-0.04253181,0.90460324,-0.06455382,0.90460324,-0.06455378,0.90349865,-0.042531807,0.90349853,-0.042531826,0.9026036,-0.035903808
Zfp184,0.9124353,0.25010073,0.8844334,-0.44366565,0.90504444,-0.23871954,0.88854134,-0.43358216,0.8988478,-0.4458139,0.89742815,-0.3747038,0.87724054,-0.42100865
Zfp191,0.53215945,0.2952819,0.5160801,0.029405018,0.5160799,0.029404974,0.5160799,0.029405015,0.51608,0.02940501,0.51607996,0.029405026,0.51608,0.029405018
Zfp2,0.44296128,0.30505788,0.42322725,-0.04792232,0.42743963,-0.037534155,0.42322725,-0.04792227,0.4268614,-0.054990977,0.42686152,-0.05499097,0.42686158,-0.054990992
Zfp217,1.0195311,0.35623026,1.1852934,0.005560547,1.2705806,0.10805994,1.1782262,-0.13891289,1.270774,0.10914762,1.2705808,0.10805988,1.286026,0.41434607
Zfp239,0.8948467,-0.15055051,1.0779887,0.0052285604,1.0779886,0.0052285455,1.0898912,0.093055874,1.0898914,0.09305583,1.0898916,0.093055874,1.0915024,0.025391204
Zfp26,1.0904115,-0.5319084,0.95035374,-1.4343655,0.9442259,-1.3793097,0.9594375,-1.4749583,0.951597,-1.366322,0.94228363,-1.3790749,0.943341,-0.96695524
Zfp260,0.1379008,-0.2904471,0.11065081,-0.23896754,0.11065084,-0.23896755,0.11065078,-0.23896752,0.11065078,-0.23896755,0.11065081,-0.23896752,0.08912057,-0.16255943
Zfp263,0.63937134,0.3072323,0.6393712,0.30723232,0.63937134,0.30723235,0.63937134,0.30723235,0.63937134,0.30723232,0.63937134,0.30723232,0.6393713,0.3072323
Zfp276,0.08875412,-0.22106035,0.029966384,-0.3520317,0.029966354,-0.35203174,0.037368685,-0.35016534,0.037368685,-0.3501654,0.029966384,-0.35203174,0.04911256,-0.2704099
Zfp28,0.72419584,0.3318346,0.72419596,0.3318346,0.72419584,0.33183464,0.72419584,0.33183467,0.72419584,0.33183458,0.72419584,0.3318346,0.72419596,0.33183464
Zfp280c,0.86938345,-0.21212986,0.738019,-1.118522,0.7020872,-1.3785077,0.708024,-1.3694048,0.7514112,-1.3168914,0.7031793,-1.3288208,0.7732109,-1.1221939
Zfp280d,0.6315405,-0.27408284,0.5776177,-0.35761613,0.57627934,-0.41482994,0.5776375,-0.4233856,0.576225,-0.38284272,0.576225,-0.38284275,0.5618689,-0.21690935
Zfp281,1.6251844,0.31723997,1.6251845,0.31723985,1.624772,0.30478805,1.6247724,0.30478814,1.6247722,0.30478802,1.6247718,0.30478805,1.6255858,0.29191148
Zfp292,1.2154963,-0.15414518,1.113954,-0.79356295,1.1138551,-0.8292699,1.1193452,-0.8329975,1.1176362,-0.7813484,1.1129873,-0.78747505,1.1326803,-0.55668586
Zfp295,-0.095029265,0.035828352,-0.095029235,0.035828337,-0.095029265,0.035828352,-0.095029294,0.03582836,-0.095029294,0.03582836,-0.095029294,0.03582836,-0.095029265,0.035828352
Zfp3,0.05216521,0.08186777,0.05216524,0.081867814,0.05216521,0.08186778,0.05216524,0.081867814,0.05216524,0.081867814,0.05216521,0.081867814,0.05216521,0.08186777
Zfp30,0.40082574,0.15321766,0.39672416,-0.07103922,0.39822203,-0.025799243,0.39672416,-0.07103925,0.39672416,-0.0710392,0.397734,-0.040538445,0.39796048,0.06667942
Zfp316,-0.02304563,0.085699186,-0.0230456,0.08569923,-0.0230456,0.08569923,-0.02304563,0.08569926,-0.02304563,0.085699275,-0.02304563,0.085699216,-0.0230456,0.08569923
Zfp319,0.044267207,0.058697447,0.044267237,0.058697432,0.044267237,0.058697432,0.044267237,0.058697425,0.044267237,0.058697447,0.044267237,0.058697447,0.044267237,0.058697447
Zfp322a,0.36556047,-0.65688205,0.2803653,-1.3324349,0.26786137,-1.3086354,0.27706355,-1.393794,0.27638763,-1.335665,0.26464552,-1.3458205,0.24397361,-1.1070658
Zfp326,1.34243,-0.333876,1.2475626,-1.1579162,1.2494247,-1.1236839,1.2644941,-1.1491657,1.2646362,-1.1260989,1.2482736,-1.1368225,1.2762129,-0.8600071
Zfp329,0.97304904,-0.07430392,0.8908634,-0.7220301,0.88984406,-0.72552437,0.89539576,-0.72762096,0.89396095,-0.7086668,0.8896364,-0.71430004,0.9104568,-0.3571114
Zfp35,0.11659181,0.043758377,0.11659178,0.04375834,0.11607987,0.028297244,0.11607987,0.028297259,0.11659178,0.043758377,0.11659178,0.04375837,0.11659178,0.043758385
