Zic5,Zic5
Angpt1,Angpt1
Teddm1,Teddm1
Trim67-As1,Trim67-As1
Gabrg1,Gabrg1
Panx2,Panx2
Znf114,Znf114
Ccdc27,Ccdc27
Cfap161,Cfap161
Rbmy2Fp,Rbmy2Fp
Neurod2,Neurod2
Linc02899,Linc02899
Linc00208,Linc00208
Dnah6,Dnah6
Lrrc15,Lrrc15
Cfap46,Cfap46
B3Gnt7,B3Gnt7
Cbll2,Cbll2
Zmym6,Zmym6
Sgcz,Sgcz
Linc02551,Linc02551
Wnt9B,Wnt9B
Dnajb13,Dnajb13
Cnpy3,Cnpy3
Scamp1,Scamp1
Linc00471,Linc00471
Has3,Has3
Fgf4,Fgf4
Slc30A8,Slc30A8
Loc439933,Loc439933
C11Orf65,C11Orf65
Garin5B,Garin5B
Or5P2,Or5P2
Dydc1,Dydc1
Il27,Il27
Iqcf1,Iqcf1
Defb125,Defb125
Wfdc10B,Wfdc10B
Pkhd1,Pkhd1
Pkd1L1,Pkd1L1
Adgrg4,Adgrg4
Tenm1,Tenm1
Rexo1L1P,Rexo1L1P
Cntnap5,Cntnap5
Recql4,Recql4
Adgrf3,Adgrf3
Tmc2,Tmc2
Smcr5,Smcr5
Bicd2,Bicd2
Zim3,Zim3
Nox5,Nox5
Daoa-As1,Daoa-As1
Adgrg6,Adgrg6
Klhl4,Klhl4
Gpr156,Gpr156
Suox,Suox
Adgrf4,Adgrf4
Il31Ra,Il31Ra
Sytl5,Sytl5
Sdccag8,Sdccag8
Adgrf2,Adgrf2
Syn2,Syn2
Asb10,Asb10
Htr3C,Htr3C
Nfkbid,Nfkbid
Cd300Lf,Cd300Lf
Gja10,Gja10
Wnt9A,Wnt9A
Gal3St2,Gal3St2
Pip4K2B,Pip4K2B
Odf3,Odf3
Wfdc13,Wfdc13
Ccdc197,Ccdc197
Slfn5,Slfn5
Serpinb12,Serpinb12
Gipc3,Gipc3
Pglyrp3,Pglyrp3
Pskh2,Pskh2
Or6W1P,Or6W1P
Mogat1,Mogat1
Gpr78,Gpr78
H1-8,H1-8
Taar9,Taar9
Gnrhr2,Gnrhr2
Myoz3,Myoz3
Bnipl,Bnipl
Asb11,Asb11
Ofcc1,Ofcc1
Sdr9C7,Sdr9C7
Or5P3,Or5P3
Trim40,Trim40
Csn1S2Ap,Csn1S2Ap
Wfdc12,Wfdc12
Crygn,Crygn
Stard6,Stard6
C11Orf40,C11Orf40
Zbtb7C-As2,Zbtb7C-As2
Bcl2L11,Bcl2L11
Defb119,Defb119
Tac4,Tac4
Tigd1,Tigd1
Alkbh5,Alkbh5
Ccdc69,Ccdc69
Nfx1,Nfx1
Dsg2,Dsg2
C5Orf24,C5Orf24
