Gene,6H,12H,18H,24H,48H
Olfm2,36.48,43.11333333,43.10333333,44.56,40.39666667
Usp30,153.97,156.01,142.5,164.66,130.2
Rnf112,42.17,39.34,44.85333333,33.96666667,60.51
Slc25A18,79.195,94.19,90.90333333,64.53666667,75.63
Ropn1L,12.44,11.81666667,11.31,11.53666667,12.48333333
Sema5B,57.575,65.28333333,58.34,56.80333333,73.63
Lnx1,147.695,139.8866667,113.5066667,214.8466667,226.9366667
Abi3,75.59,79.58666667,88.22333333,77.41666667,83.99
Znf649,73.405,75.33666667,87.35666667,83.21,90.44666667
Atad3B,706.905,685.46,808.6966667,725.5066667,727.1266667
Gpr34,9.115,8.53,9.36,9.186666667,9.86
Ecrg4,10.23,9.466666667,10.13,9.716666667,10.21666667
Zfand4,18.93,18.06333333,20.59666667,19.53666667,19.32
Hycc1,335.985,303.3,350.1533333,312.4366667,304.1066667
Ifi27L2,105.425,101.7366667,116.1333333,97.17,110.3733333
Mex3B,33.64,25.99,32.17,26.71666667,24.81
Tmem191A,63.73,83.72666667,69.84,70.39,62.85
Pcdhb5,633.575,442.4266667,526.21,332.02,233.09
Rnf32-Dt,204.92,114.0966667,157.6266667,124.6766667,126.76
C19Orf33,249.905,255.4166667,299.4233333,247.0933333,256.8033333
Rasd2,13.385,15.85333333,17.37333333,15.94333333,15.82666667
Zmynd12,14.895,15.97666667,15.39666667,18.30666667,20.59
Fhip1B,215.75,257.5066667,206.0966667,236.2833333,163.6666667
Polr1H,366.41,293.6633333,438.22,359.3633333,348.6466667
Hcst,48.555,51.94,50.77,49.98333333,55.22333333
Zic2,41.77,29.60666667,41.42333333,45.17333333,43.28666667
Crygs,30.41,24.5,23.12333333,22.97,20.55333333
Hscb,278.91,331.3,342.28,390.12,445.5066667
Slc25A39,740.555,622.1066667,823.99,688.9766667,559.39
As3Mt,179.635,259.1666667,174.1933333,191.69,145.7633333
Celf4,20.825,20.8,21.65666667,21.02333333,21.23666667
Cd163L1,40.775,31.22333333,49.78666667,30.00333333,39.40333333
Tmem234,146.13,138.6733333,116.98,112.3966667,100.4933333
Fam167B,22.82,24.16,24.83333333,23.81,27.05666667
Kcnk6,11.335,12.64333333,13.10666667,11.71666667,11.87
Tmprss13,32.2,34.59,28.98,30.48666667,33.83666667
Ddx59,115.47,105.5,93.26,83.95,91.48666667
Ccdc88B,158.08,167.8766667,154.71,149.6366667,153.8733333
Actrt3,224.455,195.8433333,205.79,177.72,142
Fkbp7,17.61,19.22,20.73333333,14.69666667,14.84666667
Hemgn,6.685,6.866666667,7.416666667,7.446666667,6.756666667
Sgip1,7.975,8.356666667,8.1,7.84,8.136666667
Znf607,113.465,86.34333333,127.37,99.59666667,99.67
Eif1Ad,134.565,135.9266667,142.11,166.11,192.3
Zmynd15,26.94,27.72666667,30.14,26.28666667,30.07666667
Ly6K,26.965,23.97333333,25.84,24.28666667,28.09666667
Igf2Bp1,275.72,311.2033333,346.65,447.0333333,514.7066667
Rgs22,14.99,12.88333333,12.36333333,12.93333333,12.81333333
Radil,42.91,51.67333333,43.46,45.55666667,45.34666667
C9Orf64,945.28,1060.023333,958.7466667,1219.616667,1468.756667
Cndp1,10.645,11.72333333,11.82333333,10.63333333,12.79666667
Mnd1,66.305,98.73333333,73.89333333,131.0166667,145.6233333
Lrmda,97.87,114.7333333,151.5766667,168.0433333,183.75
Dmrt2,7.93,8.876666667,7.72,9.143333333,9.736666667
Gpbp1,1108.4,1189.326667,1094.373333,943.5166667,907.8366667
C22Orf23,20.71,18.54666667,20.12666667,19.14666667,20.52333333
C1Qtnf4,9.04,10.91666667,11.06,10.55333333,12.25
Wnt10A,35.215,40.25,32.75,35.74333333,39.58
Ccl26,18.2,16.29333333,19.54,14.97,15.72666667
Znf256,153.765,126.6966667,194.2633333,139.94,143.6
Acrbp,23.85,26.68,24.95,25.55,25.91
Rtbdn,32.395,30.53666667,34.15333333,31.87,35.49666667
Spink7,13.475,15.06333333,15.47333333,14.11333333,14.72
Linc00852,46.575,45.21666667,55.13333333,47.27666667,64.50666667
Kcnh3,46.82,55.96666667,56.23,52.60333333,57.32
Cecr2,113.19,126.4,110.9366667,115.12,99.32666667
Gpc6,423.745,275.77,455.0966667,292.4166667,355.9766667
Slc23A1,21.085,23.95,21.92333333,19.42666667,17.48333333
Mgarp,31.06,38.14333333,34.61666667,33.95666667,40.8
Arl6,47.725,51.67666667,42.90666667,40.28666667,23.72
Chst9,284.045,299.2933333,254.07,354.6766667,299.03
Pgm2,199.86,195.8333333,181.4033333,199.36,243.2966667
Agpat4-It1,35.66,31.55,32.53333333,29.93333333,34.61333333
Ttyh2,27.995,24.63666667,22.27,28.67,26.39666667
C16Orf95,14.94,18.09666667,17.21,16.43,17.25666667
Slc4A11,165.095,239.0766667,150.36,154.9033333,85.74
C1Qtnf2,18.04,18.29,13.44333333,20.45666667,22.40666667
Tlr10,12.68,13.40666667,13.96333333,12.62666667,13.45333333
Cfc1,12.635,13.37,14.06666667,14.02666667,14.68333333
C2Orf88,102.715,145.6666667,132.8966667,143.7733333,150.83
Kirrel2,15.1,16.78666667,16.31,16.32,18.68333333
Haspin,67.98,54.48666667,63.03,67.86333333,72.01666667
Fgf19,208.755,489.9366667,230.3366667,308.24,129.4666667
Gpr84,13.425,11.61666667,14.33,12.36,15.12333333
Ssr4P1,50.39,47.26333333,42.39666667,49.52333333,48.93333333
Mri1,133.51,136.4266667,131.8466667,134.93,152.27
Snhg12,934.46,513.1,1154.606667,584.5033333,629.83
Ddx11L2,49.745,50.23666667,46.88666667,55.04666667,56.20333333
Kif9,44.71,47.1,45.30666667,44.86,46.21
Adh4,71.27,77.46666667,78.00333333,66.04666667,60.07666667
Tinag,13.26,11.94666667,14.54666667,12.46,14.10333333
Dbil5P,17.48,15.92666667,17.5,19.15,18.80666667
Cltrn,439.22,314.2966667,289.6066667,464.32,1083.916667
Chst6,16.415,16.69,18.18666667,15.43666667,17.79333333
Katnal1,60.86,51.64333333,47.37666667,45.48333333,38.9
Znf2,120.94,132.5333333,151.1433333,140.1466667,132.23
Loc114224,80.955,78.91,64.56333333,53.89666667,41.88666667
Slc41A2,120.145,144.54,111.2566667,186.4933333,183.2033333
Msantd4,111.365,119.5966667,120.06,120.37,108.48
Thumpd3,832.4,966.2566667,742.5066667,744.1,634.63
Osbpl6,227.885,333.0133333,234.4666667,455.4333333,461.0466667
Napsa,74.9,68.27,76.91,69.43333333,73.88
Rgs18,9.965,9.59,10.29666667,9.283333333,10.06666667
Klhl1,7.915,7.276666667,7.85,7.636666667,7.496666667
Fam178B,74.6,73.76666667,68.33333333,79.65666667,81.96666667
Cep95,17.73,14.09,16.06666667,15.49333333,15.09
Slc46A2,11.325,10.9,10.99,11.01,12.08666667
Lrriq1,8.73,10.37,8.8,10.43333333,10.70333333
Rbp5,107.375,90.60333333,116.4833333,93.64333333,83.41333333
Ric1,8.845,11.83333333,9.253333333,10.92,9.693333333
Tnfrsf19,48.695,64.06666667,36.88333333,58.68333333,29.69333333
Lgals12,17.915,18.03,16.47,16.52666667,18.34666667
Tktl2,13.03,11.53,12.21333333,12.24333333,14.15666667
Capns2,32.445,32.68666667,35.28,27.79666667,36.66333333
Cd274,28.14,27.50666667,31.10333333,29.41333333,28.66666667
Otp,10.225,8.97,10.51333333,10.12666667,11.89666667
Fgfbp2,9.975,9.516666667,10.05333333,8.77,9.37
Spata9,8.29,8.926666667,9.116666667,8.353333333,9.91
Ergic1,539.87,508.6766667,575.45,506.1766667,651.96
Mov10,405.35,510.4666667,451.6033333,627.6066667,429.94
Tnfrsf18,28.145,29.85666667,30.85,28.80666667,33.09
Stk40,574.25,663.0233333,614.1966667,651.44,387.71
Bves,56.4,57.28,38.79666667,75.72,78.57333333
Pcdhb10,19.89,17.86333333,19.64666667,18.83333333,18.46333333
Hormad1,8.87,7.556666667,8.096666667,8.03,7.466666667
Ghrl,24.635,24.82333333,23.58666667,29.12,24.95
Ankrd30A,9.575,8.736666667,9.98,8.906666667,9.996666667
Armc2,10.51,10.74666667,8.356666667,8.253333333,8.283333333
Tekt3,9.18,8.35,9.193333333,8.906666667,9.576666667
Sost,9.415,9.89,11.38333333,9.823333333,10.16666667
Fbxw10,23.57,17.62,18.93,18.29,19.25666667
Ing5,95.615,106.6133333,89.35333333,111.9566667,109.5366667
Actr3C,69.485,83.61,69.78666667,53.49333333,48.35333333
Epc1,61.815,66.06,78.44,70.67333333,79.47333333
Spata16,16.945,16.04,16.94666667,14.33333333,16.53666667
C1Qtnf7,14.815,15.43,17.04333333,16.37333333,13.35
Stk31,18.09,17.99,18.54333333,16.06333333,15.78
Optc,35.87,30.88333333,28.55,29.54333333,33.53333333
Kcnq5,10.18,9.68,9.31,9.623333333,9.533333333
Enam,42.185,39.22,31.38333333,49.42,39.67333333
Fksg29,17.57,16.12333333,17.80333333,15.86666667,18.99
Znf670,130.48,145.55,161.25,111.9333333,135.6733333
Syt3,19.28,18.9,18.48666667,15.45333333,18.93666667
Tlr9,30.94,31.73333333,31.94,32.21666667,35.25666667
Prkag3,32.87,33.72666667,35.15333333,27.94,38.9
Drc7,45.5,41.07333333,39.70333333,41.56666667,43.23666667
Tex101,23.695,21.45333333,20.82666667,20.27333333,20.56
Pinx1,225.705,238.55,246.38,261.7733333,250.1566667
Stub1-Dt,94.96,104.5333333,94.45333333,91.89333333,104.1866667
Mir7-3Hg,10.82,12.49333333,11.61333333,10.92666667,12.75333333
Slc39A3,609.075,532.7633333,709.88,555.6333333,542.6266667
Meikin,9.115,9.68,9.566666667,9.58,8.956666667
Gba2,420.075,422.0733333,436.31,452.6766667,363.6866667
Odad4,15.345,15.47,13.82333333,14.43666667,12.89
Mtpn,16.095,14.28333333,18.88,17.82333333,17.62333333
Kif2B,12.245,11.49,12.46,13.85,15.02333333
Pcdhb9,22.26,21.35666667,22.36,22.07333333,24.61333333
Guca1C,10.61,10.64,10.93666667,11.01,11.52666667
Trpm5,14.17,14.43333333,14.60333333,14.75,16.38333333
