TF,gene,Confidence
ARNTL2,VAC14-AS1,Low
ARNTL2,WWC1,Low
ARX,LINC01467,Low
ARX,C1orf94,High
ARX,CASC16,High
ARX,CECR3,High
ARX,DAB1-AS1,High
ARX,DNAJB8-AS1,High
ARX,LINC00354,High
ARX,UNC5D,Low
ARX,LINC00347,Low
ARX,ARX,High
ARX,EMX2,High
ARX,HOXC4,High
ARX,PAGE1,Low
ARX,LINC01019,High
ARX,FAM19A3,Low
ARX,DLX6,Low
ARX,ELAVL2,Low
ARX,EMX2OS,Low
ARX,LHX8,Low
ARX,OTP,Low
ARX,PENK,Low
ARX,SALL3,Low
ARX,SP9,Low
ARX,VAX1,Low
ARX,AA06,Low
ARX,ARHGAP36,Low
ARX,FOXG1,Low
ARX,GDF5,Low
ARX,LINC01309,Low
ARX,ANGPTL5,Low
ARX,CHGA,Low
ARX,GRID2,Low
ARX,IRS4,Low
ARX,LINC00202-2,Low
ARX,11-Mar,Low
ARX,TUNAR,Low
ARX,ALX3,Low
ARX,CDH18,Low
ARX,CT55,Low
ARX,DLX2-AS1,Low
ARX,DRD2,Low
ARX,KERA,Low
ARX,LINC00703,Low
ARX,NEURL1-AS1,Low
ARX,NR0B1,Low
ARX,TEX37,Low
ARX,LINC00620,Low
ARX,MIR3976HG,Low
ARX,CHEK2P2,Low
ARX,HTR1E,Low
ARX,LINC00559,Low
ARX,LINC00564,Low
ARX,LINC01541,Low
ARX,MAGEA4,Low
ARX,PEX5L-AS2,Low
ARX,DIAPH3-AS2,Low
ARX,KIF4B,Low
ARX,LINC00879,Low
ARX,LINC01411,Low
ARX,LINC01568,Low
ARX,LINC00463,Low
ARX,PSMA8,Low
ASCL2,FAM212A,Low
ASCL2,FREM1,Low
ASCL2,GATA3,Low
ASCL2,TNFRSF17,Low
ASCL2,WARS2-IT1,Low
ASCL2,CX3CR1,Low
ASCL2,TNN,Low
ASCL2,VAT1L,Low
ASCL2,XCL2,Low
ASCL2,ANKRD55,High
ASCL2,APLNR,High
ASCL2,CD4,High
ASCL2,CXCL14,High
ASCL2,FCRLB,High
ASCL2,IGBP1P1,High
ASCL2,KAZN,High
ASCL2,LRRN3,High
ASCL2,PDGFB,High
ASCL2,PNMAL2,High
ASCL2,POU3F2,High
ASCL2,RCOR2,High
ASCL2,RNF222,High
ASCL2,RSPO3,High
ASCL2,RUFY4,High
ASCL2,SLC17A8,High
ASCL2,SPTSSB,High
ASCL2,SYT6,High
ASCL2,SYTL5,High
ASCL2,TMPRSS4-AS1,High
ASCL2,TRPC3,High
ASCL2,HLA-DOA,Low
ASCL2,SEMA6D,Low
ASCL2,AMHR2,Low
ASCL2,C3orf84,Low
ASCL2,GNG2,Low
ASCL2,GPR137C,High
ASCL2,HHIP-AS1,High
ASCL2,IL16,High
ASCL2,NAPSB,High
ASCL2,SESN3,High
ASCL2,SIGLEC1,High
ASCL2,SPN,High
ATF1,ABI1,Low
ATF1,ACBD3,Low
ATF1,ADARB1,Low
ATF1,ADNP,Low
ATF1,ADO,Low
ATF1,AGTR1,Low
ATF1,AKAP2,Low
ATF1,AKIRIN2,Low
ATF1,AMD1,Low
ATF1,ANKRD1,Low
ATF1,ANKRD42,Low
ATF1,AP1AR,Low
ATF1,AP5M1,Low
ATF1,APTX,Low
ATF1,ARCN1,Low
ATF1,ARFGEF1,Low
ATF1,ARFIP1,Low
ATF1,ARL14EP,Low
ATF1,ARL17B,Low
ATF1,ARPC5L,Low
ATF1,ATF2,Low
ATF1,ATF4,Low
ATF1,ATF5,Low
ATF1,ATG5,Low
ATF1,B3GNT2,Low
ATF1,B4GALT3,Low
ATF1,BACH1,Low
ATF1,BANF1,Low
ATF1,BBIP1,Low
ATF1,BCL10,Low
ATF1,BDP1,Low
ATF1,BMI1,Low
ATF1,BTBD10,Low
ATF1,C11orf57,Low
ATF1,C14orf119,Low
ATF1,C16orf72,Low
ATF1,C19orf25,Low
ATF1,C2orf49,Low
ATF1,C3orf38,Low
ATF1,CAB39,Low
ATF1,CACYBP,Low
ATF1,CAMK2N1,Low
ATF1,CAPN7,Low
ATF1,CAPZA2,Low
ATF1,CBLL1,Low
ATF1,CBX1,Low
ATF1,CCDC126,Low
ATF1,CCNI,Low
ATF1,CCP110,Low
ATF1,CDC42EP4,Low
ATF1,CDKN2AIP,Low
ATF1,CEBPG,Low
ATF1,CELSR3-AS1,Low
ATF1,CEP350,Low
ATF1,CEP41,Low
ATF1,CETN3,Low
ATF1,CGGBP1,Low
ATF1,CHMP5,Low
ATF1,CHUK,Low
ATF1,CIDECP,Low
ATF1,CLINT1,Low
ATF1,CLIP1,Low
ATF1,CLOCK,Low
ATF1,CNOT3,Low
ATF1,COG3,Low
ATF1,CPEB4,Low
ATF1,CREB3,Low
ATF1,CRIPT,Low
ATF1,CRKL,Low
ATF1,CSGALNACT2,Low
ATF1,CSNK1A1,Low
ATF1,CSNK1G1,Low
ATF1,CSNK1G3,Low
ATF1,CTCF,Low
ATF1,CTDSPL2,Low
ATF1,CYP1B1,Low
ATF1,DAXX,Low
ATF1,DCAF12,Low
ATF1,DCP2,Low
ATF1,DNAJA1,Low
ATF1,DNAJB14,Low
ATF1,DNAJB9,Low
ATF1,DNAL1,Low
ATF1,DNMT3A,Low
ATF1,DPY19L1,Low
ATF1,DYRK1A,Low
ATF1,EFNA5,Low
ATF1,EIF1AD,Low
ATF1,EIF2S2,Low
ATF1,EIF2S3,Low
ATF1,EIF4A2,Low
ATF1,EIF4E,Low
ATF1,EIF4E2,Low
ATF1,EIF5A2,Low
ATF1,ELK4,Low
ATF1,ELOF1,Low
ATF1,ESCO1,Low
ATF1,ETV1,Low
ATF1,EVA1A,Low
ATF1,EXOC2,Low
ATF1,EXOC5,Low
ATF1,EXOC6,Low
ATF1,EXOSC6,Low
ATF1,FAM107B,Low
ATF1,FAM122A,Low
ATF1,FAM160B1,Low
ATF1,FAM172A,Low
ATF1,FAM212B,Low
ATF1,FBXO28,Low
ATF1,FKBP2,Low
ATF1,FNDC3A,Low
ATF1,FNDC3B,Low
ATF1,FRS2,Low
ATF1,FUBP3,Low
ATF1,G2E3,Low
ATF1,G3BP2,Low
ATF1,GABPA,Low
ATF1,GAR1,Low
ATF1,GAS2L3,Low
ATF1,GDAP2,Low
ATF1,GID4,Low
ATF1,GNAI3,Low
ATF1,GNAS,Low
ATF1,GOLGA3,Low
ATF1,GPBP1,Low
ATF1,GREM2,Low
ATF1,GSE1,Low
ATF1,GTF2H3,Low
ATF1,GZF1,Low
ATF1,HERPUD2,Low
ATF1,HIPK1,Low
ATF1,HIPK3,Low
ATF1,HIST1H4D,Low
ATF1,HMX1,Low
ATF1,HNRNPH3,Low
ATF1,HSP90B1,Low
ATF1,HUS1,Low
ATF1,ICE1,Low
ATF1,ICK,Low
ATF1,ING2,Low
ATF1,INIP,Low
ATF1,INSIG2,Low
ATF1,IRF2,Low
ATF1,ISG20L2,Low
ATF1,ISY1,Low
ATF1,ITGB1BP1,Low
ATF1,KDM1B,Low
ATF1,KIF5B,Low
ATF1,KIF5C,Low
ATF1,KLHL15,Low
ATF1,KLHL28,Low
ATF1,KRCC1,Low
ATF1,KRR1,Low
ATF1,LAMTOR3,Low
ATF1,LARP4,Low
ATF1,LATS2,Low
ATF1,LBR,Low
ATF1,LEMD3,Low
ATF1,LIN9,Low
ATF1,LLPH,Low
ATF1,LMBRD2,Low
ATF1,LYRM7,Low
ATF1,LYST,Low
ATF1,MAGOH,Low
ATF1,MAP2K4,Low
ATF1,MAP3K7,Low
ATF1,MAPK7,Low
ATF1,MAPKAPK3,Low
ATF1,MARK2,Low
ATF1,MDFIC,Low
ATF1,MED10,Low
ATF1,MEPCE,Low
ATF1,METTL21A,Low
ATF1,METTL5,Low
ATF1,MFN1,Low
ATF1,MFSD4B,Low
ATF1,MGA,Low
ATF1,MIER1,Low
ATF1,MINPP1,Low
ATF1,MKKS,Low
ATF1,MKX,Low
ATF1,MOB4,Low
ATF1,MORC2,Low
ATF1,MOXD2P,Low
ATF1,MPZL3,Low
ATF1,MTERF1,Low
ATF1,MTF1,Low
ATF1,MTG2,Low
ATF1,MTMR9,Low
ATF1,MYNN,Low
ATF1,NAA15,Low
ATF1,NAA35,Low
ATF1,NCOA5,Low
ATF1,NEK6,Low
ATF1,NEK7,Low
ATF1,NEK9,Low
ATF1,NFE2L2,Low
ATF1,NFYA,Low
ATF1,NGRN,Low
ATF1,NIPBL,Low
ATF1,NKRF,Low
ATF1,NMNAT1,Low
ATF1,NORAD,Low
ATF1,NRF1,Low
ATF1,NUDCD3,Low
ATF1,NUDT21,Low
ATF1,NUFIP2,Low
ATF1,NUP35,Low
ATF1,NUP62,Low
ATF1,OSBPL11,Low
ATF1,OSTM1,Low
ATF1,OTUD4,Low
ATF1,OXSR1,Low
ATF1,PAFAH1B2,Low
ATF1,PARD6B,Low
ATF1,PDCD10,Low
ATF1,PDCD6,Low
ATF1,PDE12,Low
ATF1,PDRG1,Low
ATF1,PHF20L1,Low
ATF1,PHF23,Low
ATF1,PIK3CA,Low
ATF1,PJA1,Low
ATF1,POLDIP3,Low
ATF1,POLR2K,Low
ATF1,POLR2M,Low
ATF1,POU4F1,Low
ATF1,PPM1B,Low
ATF1,PPP2CB,Low
ATF1,PPP2R5E,Low
ATF1,PRDM10,Low
ATF1,PRKAR2A,Low
ATF1,PROX1,Low
ATF1,PRPF38A,Low
ATF1,PRPF4B,Low
ATF1,PTPN12,Low
ATF1,PURA,Low
ATF1,PURB,Low
ATF1,PXDC1,Low
ATF1,QKI,Low
ATF1,RAB18,Low
ATF1,RAB2A,Low
ATF1,RAB3IP,Low
ATF1,RAB5A,Low
ATF1,RAD21,Low
ATF1,RALA,Low
ATF1,RAP1B,Low
ATF1,RASSF8,Low
ATF1,RBBP5,Low
ATF1,RBM12,Low
ATF1,RBM15,Low
ATF1,RBM34,Low
ATF1,RBM47,Low
ATF1,RBPMS2,Low
ATF1,RCHY1,Low
ATF1,RCOR1,Low
ATF1,RFK,Low
ATF1,RHEB,Low
ATF1,RIOK3,Low
ATF1,RNF139,Low
ATF1,RNF168,Low
ATF1,RNF2,Low
ATF1,RNF216P1,Low
ATF1,ROCK1,Low
ATF1,RPE,Low
ATF1,RPF1,Low
ATF1,RPL13AP3,Low
ATF1,SALL1,Low
ATF1,SAMD8,Low
ATF1,SATB2,Low
ATF1,SBDS,Low
ATF1,SBDSP1,Low
ATF1,SBF1P1,Low
ATF1,SCYL2,Low
ATF1,SDE2,Low
ATF1,SDF2,Low
ATF1,SDR42E1,Low
ATF1,SEC24A,Low
ATF1,SENP1,Low
ATF1,7-Sep,Low
ATF1,SERBP1,Low
ATF1,SERF2,Low
ATF1,SERINC1,Low
ATF1,SERINC5,Low
ATF1,SETX,Low
ATF1,SF3B6,Low
ATF1,SGMS2,Low
ATF1,SH3RF1,Low
ATF1,SLAIN2,Low
ATF1,SLC25A46,Low
ATF1,SLC30A6,Low
ATF1,SLC4A4,Low
ATF1,SLC4A7,Low
ATF1,SLF2,Low
ATF1,SLMAP,Low
ATF1,SMG7,Low
ATF1,SMIM15,Low
ATF1,SMNDC1,Low
ATF1,SNTB2,Low
ATF1,SNX25,Low
ATF1,SOCS5,Low
ATF1,SOS2,Low
ATF1,SPECC1L,Low
ATF1,SPOP,Low
ATF1,SPRED2,Low
ATF1,SPRY2,Low
ATF1,SPRY4,Low
ATF1,SPTY2D1,Low
ATF1,SSU72,Low
ATF1,STAG2,Low
ATF1,STAU1,Low
ATF1,STON2,Low
ATF1,STXBP5,Low
ATF1,SUB1,Low
ATF1,SUDS3,Low
ATF1,SUGT1,Low
ATF1,SUMO1,Low
ATF1,TAF12,Low
ATF1,TAF13,Low
ATF1,TAF1A,Low
ATF1,TANK,Low
ATF1,TBPL1,Low
ATF1,THAP11,Low
ATF1,THAP2,Low
ATF1,THAP5,Low
ATF1,THAP6,Low
ATF1,TIMM10B,Low
ATF1,TIMMDC1,Low
ATF1,TIPRL,Low
ATF1,TM9SF3,Low
ATF1,TMEM128,Low
ATF1,TMEM167A,Low
ATF1,TMEM33,Low
ATF1,TMEM41B,Low
ATF1,TMF1,Low
ATF1,TOMM6,Low
ATF1,TOMM70,Low
ATF1,TPP2,Low
ATF1,TRAPPC6B,Low
ATF1,TRIM4,Low
ATF1,TRMT10A,Low
ATF1,TRMT112,Low
ATF1,TSPAN1,Low
ATF1,TVP23B,Low
ATF1,TXLNG,Low
ATF1,TXNL1,Low
ATF1,TXNL4B,Low
ATF1,UBE2E1,Low
ATF1,UBE2E1-AS1,Low
ATF1,UBE2J2,Low
ATF1,UBE2Q1,Low
ATF1,UBE2W,Low
ATF1,UBE2Z,Low
ATF1,UBFD1,Low
ATF1,UBL3,Low
ATF1,UBLCP1,Low
ATF1,UGGT1,Low
ATF1,UHMK1,Low
ATF1,UMAD1,Low
ATF1,USP6NL,Low
ATF1,USP7,Low
ATF1,VEZF1,Low
ATF1,VMA21,Low
ATF1,VPS4B,Low
ATF1,VPS53,Low
ATF1,VTA1,Low
ATF1,WAPL,Low
ATF1,WASF1,Low
ATF1,WDR44,Low
ATF1,WIPF2,Low
ATF1,YES1,Low
ATF1,YKT6,Low
ATF1,YTHDF1,Low
ATF1,YWHAG,Low
ATF1,YY1,Low
ATF1,ZBED4,Low
ATF1,ZBTB1,Low
ATF1,ZBTB11,Low
ATF1,ZBTB6,Low
ATF1,ZBTB7A,Low
ATF1,ZCCHC9,Low
ATF1,ZFAND3,Low
ATF1,ZFAND6,Low
ATF1,ZFAT,Low
ATF1,ZFHX3,Low
ATF1,ZFP91,Low
ATF1,ZIC2,Low
ATF1,ZKSCAN5,Low
ATF1,ZMAT3,Low
ATF1,ZMPSTE24,Low
ATF1,ZNF22,Low
ATF1,ZNF24,Low
ATF1,ZNF322,Low
ATF1,ZNF468,Low
ATF1,ZNF480,Low
ATF1,ZNF503,Low
ATF1,ZNF503-AS2,Low
ATF1,ZNF557,Low
ATF1,ZNF644,Low
ATF1,ZNF649,Low
ATF1,ZNF668,Low
ATF1,ZNF787,Low
ATF1,ZNF845,Low
ATF1,ZNRF3,Low
ATF1,ZRANB2-AS2,Low
ATF1,ZSCAN5A,Low
ATF1,AFTPH,High
ATF1,ATF1,High
ATF1,C18orf32,High
ATF1,C1D,High
ATF1,CD2AP,High
ATF1,FAM91A1,High
ATF1,LYSMD3,High
