GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Tmem8,0.18324304,-0.034895543,0.19996327,0.08997752,0.19086814,0.12257889,0.19552958,0.1351259,0.19237185,0.16441378,0.19237185,0.16441377,0.19237185,0.1644138
Tmem86a,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279,0.01480329,0.12060279
Tmem88,0.16512406,-0.20236526,0.16470224,-0.09096894,0.15141481,-0.007364396,0.15018335,0.056454483,0.15627396,0.121993214,0.1562739,0.121993214,0.15627393,0.121993214
Tmem97,-0.02749303,0.0940606,-0.02749306,0.094060585,-0.027493045,0.094060585,-0.027493045,0.094060585,-0.027493045,0.094060585,-0.027493045,0.094060585,-0.027493045,0.094060585
Tmem9b,0.18975532,0.11290574,0.2157551,-0.15288985,0.2197808,-0.1033529,0.21588776,-0.15128027,0.22684884,-0.1694887,0.22204036,-0.12542436,0.20221752,-0.13114479
Tmod2,0.2100138,0.23570503,0.2100138,0.23570503,0.2100138,0.23570503,0.21001378,0.235705,0.2100138,0.23570503,0.2100138,0.23570506,0.2100138,0.23570503
Tmod3,0.187727,-0.10742684,0.12671468,0.22429337,0.13718608,0.17073561,0.14322338,0.024727415,0.17833897,-0.033605903,0.14322338,0.02472743,0.15381157,0.20597865
Tmsb10,-0.6416011,-1.4636031,-0.3425599,-1.4539186,-0.35871208,-1.2961432,-0.35871208,-1.2961432,-0.35871208,-1.2961432,-0.35871208,-1.2961432,-0.35871208,-1.2961432
Tmsb4x,0.26844168,-0.023352183,-0.65080094,-0.622177,-0.65080094,-0.622177,-0.38969314,0.16595377,-0.38969317,0.16595377,-0.38969317,0.16595377,-0.046559602,0.08277401
Tmtc3,-0.07118201,0.067580596,-0.07118204,0.067580596,-0.07118203,0.067580596,-0.07118203,0.06758061,-0.07118201,0.067580625,-0.07118201,0.06758061,-0.07118201,0.067580625
Tmx1,0.23593915,-0.098836616,0.24724114,-0.28455636,0.23465687,-0.16163337,0.24369311,-0.24863519,0.24306554,-0.24250533,0.2386356,-0.20049685,0.21267638,-0.16715582
Tmx3,-0.061796993,0.069914415,-0.061796978,0.069914445,-0.061796978,0.069914415,-0.061796993,0.06991443,-0.061796963,0.06991446,-0.061796978,0.06991443,-0.061796993,0.06991443
Tnc,-0.11598301,-0.90516603,0.08753073,0.027295735,0.07958946,0.04039671,0.08493301,0.05477972,0.081332,0.08848706,0.08133203,0.08848715,0.08133203,0.08848713
Tnfaip1,0.0033070445,0.1128466,0.0033070445,0.1128466,0.0033070147,0.11284658,0.0033070445,0.11284661,0.0033070445,0.1128466,0.0033070147,0.11284658,0.0033070445,0.1128466
Tnfaip2,-0.016320169,0.09980784,-0.016320169,0.09980784,-0.016320169,0.09980784,-0.016320169,0.09980784,-0.016320169,0.09980784,-0.016320169,0.09980784,-0.016320169,0.09980784
