GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Faap24,0.36221415,-0.6998305,-0.26646274,0.5856302,0.35450253,-0.69453204,-0.3887235,0.047922727,0.26781723,0.16526024
Fos,-0.07652474,1.0127475,-1.0115649,-0.62512845,0.024981257,0.5122637,-0.6868045,-0.993937,0.26358563,0.10781199
Fosb,-0.12970668,0.7551802,-0.9650265,-0.6829591,0.23347485,0.4420723,-0.59255385,-0.9891145,0.42692068,0.5302087
Fosl1,0.0037676618,0.7380874,-0.47385925,-1.036236,0.58291847,0.54282254,0.11067813,-1.2531623,0.79635787,1.2470442
Fosl2,0.22612384,1.079239,-0.9930595,-1.1941947,0.24664652,0.8968201,-0.63989294,-1.6461354,0.09909956,0.742828
Foxa1,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,0.6127853,-0.6160981
Foxa2,-0.4420343,-0.043347027,-0.29412842,0.041986246,-0.7047976,-0.22057357,0.098892465,0.30482358,-0.101000704,-0.973441
Foxc1,0.01003518,0.53916776,-0.042249173,-0.07649353,-0.05347193,0.07857132,0.006250724,0.35042125,0.40827018,0.7322972
Foxd1,0.47579044,-0.15779793,-1.459194,0.35937563,0.47579044,-0.15779793,0.47579044,-0.15779793,-0.6036092,-0.23836677
Foxd2,-0.36842275,-0.09043145,-0.36842275,-0.09043145,-0.36842275,-0.09043145,-0.36842275,-0.09043145,-0.36842275,-0.09043145
Foxf1,0.39619505,-0.04050159,-0.27065587,-0.49263918,-0.35044473,-0.6040081,-0.0077805296,-0.52088994,-0.015777886,0.20030236
Foxj3,0.5685673,-0.5640134,0.3841468,-0.40768605,-0.38313478,-1.2787795,0.50799257,-0.665731,-0.4756477,0.31974053
Foxn3,0.1153535,0.115933165,0.4368912,0.15289159,0.23151112,0.19416876,0.67990744,0.50328326,0.062141832,0.22862028
Foxo1,-0.4079827,0.33637065,-1.0592874,-0.7364461,-0.6925654,-0.104750514,-0.4400097,-0.5483784,-0.19251949,0.38333312
Foxo3,-0.334962,0.42704052,0.015836406,-0.32561988,-0.05300656,0.5577533,-0.65972644,-0.29951942,-0.17687297,-0.38256246
Foxo4,0.21273619,0.10023931,0.11344725,0.05838239,0.17800674,0.18528862,0.132115,-0.020695142,-0.19241178,-0.4524638
