0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.61911154,-0.61790544,-0.6303443,-0.6246556,-0.6303443,-0.6246556,-0.6311815,-0.6354313,-0.63118136,-0.63543135,-0.6303443,-0.62465566,-0.6280196,-0.62945765
-0.80549765,-0.443076,-0.80549777,-0.443076,-0.80549765,-0.44307607,-0.8054975,-0.44307607,-0.8054979,-0.4430762,-0.80549765,-0.443076,-0.80549777,-0.44307613
-0.40571198,-0.23133765,-0.40508917,-0.2327383,-0.4081073,-0.23229386,-0.40427968,-0.2323123,-0.4072977,-0.2318679,-0.40810725,-0.23229386,-0.4140207,-0.28368646
-0.2346749,0.00094406307,-0.24093571,-0.031069912,-0.24093565,-0.031069905,-0.24093565,-0.031069912,-0.2409356,-0.031069912,-0.24093565,-0.03106992,-0.24093565,-0.031069912
-0.8163291,-0.760447,-0.7916683,-0.88994217,-0.7916684,-0.8899421,-0.7900516,-0.89953786,-0.79005146,-0.89953774,-0.7916683,-0.8899422,-0.776222,-0.8888411
-0.8256918,-0.4521528,-0.82919276,-0.45787865,-0.83087957,-0.45763022,-0.8281038,-0.4581886,-0.8297905,-0.45794022,-0.83087957,-0.45763016,-0.8305756,-0.47486484
-0.65198517,-0.4033761,-0.6519853,-0.40337598,-0.6519853,-0.40337604,-0.6519853,-0.40337604,-0.65198517,-0.40337604,-0.6519853,-0.40337598,-0.6519853,-0.40337604
-0.4432802,0.08578203,-0.4432802,0.085782036,-0.4432802,0.08578202,-0.4432802,0.08578202,-0.44328025,0.08578202,-0.4432802,0.08578202,-0.4432802,0.08578202
-0.0979397,0.021895815,-0.09793973,0.021895844,-0.09793973,0.021895811,-0.09793973,0.021895813,-0.09793976,0.021895826,-0.09793973,0.021895828,-0.09793973,0.021895833
-0.9105203,-0.77164626,-0.9322587,-0.7901358,-0.9362395,-0.7895494,-0.94485617,-0.8295353,-0.9488369,-0.82894903,-0.93623924,-0.7895495,-0.94200015,-0.8261485
-1.0878968,-1.2775503,-1.0956206,-1.2794017,-1.0965785,-1.2792608,-1.0960001,-1.2873745,-1.096958,-1.287233,-1.0965784,-1.27926,-1.0963323,-1.3022122
-0.3270274,-0.0793947,-0.3417544,-0.09586562,-0.34175447,-0.09586562,-0.34023705,-0.099507615,-0.34023717,-0.099507585,-0.3417544,-0.09586562,-0.33410797,-0.10381916
-0.7297777,-0.102128446,-0.7338538,-0.106202126,-0.7338536,-0.10620214,-0.7336223,-0.10872981,-0.73362255,-0.10872981,-0.7338538,-0.10620208,-0.73255086,-0.106756225
-0.7193085,-0.10381104,-0.7203636,-0.13620526,-0.73009443,-0.13477223,-0.7194122,-0.13983712,-0.729143,-0.13840418,-0.73009443,-0.13477227,-0.7273669,-0.13525042
-0.31831762,0.14289871,-0.31831762,0.14289868,-0.31831762,0.14289868,-0.31831762,0.1428987,-0.31831762,0.14289868,-0.31831762,0.14289868,-0.31751397,0.14116125
-0.054141432,0.061584573,-0.054141432,0.061584577,-0.05414146,0.061584562,-0.05414146,0.061584562,-0.05414146,0.061584562,-0.054141432,0.061584573,-0.05414146,0.061584562
-0.42401114,0.19332714,-0.42401114,0.19332713,-0.42401108,0.19332711,-0.42401126,0.1933271,-0.42401108,0.19332716,-0.42401114,0.19332713,-0.42401114,0.19332711
