GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Fktn,0.13026345,-0.021660957,0.12118873,-0.035417873,0.11108574,-0.06254715,0.109734476,-0.07146865,0.111037344,-0.0673015,0.110993445,-0.06732337,0.092826635,-0.0609554
Flii,0.0605976,0.09367441,0.0605976,0.09367441,0.0605976,0.09367439,0.06059763,0.09367441,0.0605976,0.09367442,0.06059766,0.093674436,0.06059763,0.093674436
Flna,-0.43121523,-1.2374344,-0.08853434,-0.47762084,-0.11323756,-0.42737263,0.052503288,-0.10712701,0.11271143,0.098588645,0.11271149,0.09858864,0.11271149,0.09858864
Flnb,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416
Flnc,-0.43252438,-1.10671,-0.033239618,-0.4188547,-0.035207167,-0.29588795,0.07577345,-0.12716474,0.13598162,0.07855093,0.13598162,0.078550905,0.13598159,0.07855095
Flot1,0.11207414,0.08266804,0.11207408,0.08266802,0.11207408,0.08266802,0.11207408,0.08266802,0.11207408,0.08266802,0.11207408,0.08266802,0.11207408,0.08266802
Flot2,0.06329095,0.08328889,0.06329095,0.08328889,0.06329095,0.08328889,0.06329095,0.08328891,0.06329095,0.08328891,0.06329095,0.08328891,0.06329095,0.08328891
Flrt2,-0.2589649,-0.93252075,-0.084935784,-0.65940475,-0.061759517,-0.5332246,0.023515016,-0.41458097,0.13394326,-0.14776818,0.11620471,-0.20167173,0.11521804,-0.21182291
Flrt3,0.0024411976,-0.21377228,0.06631535,0.11140746,0.06814492,0.03214729,-0.0067602396,-0.118276924,0.026878625,-0.16862775,-0.0067602694,-0.118276894,0.097599566,0.07228988
Flt1,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416
Flt4,0.1302166,0.09216736,0.1099568,-0.09545067,0.10995683,-0.09545067,0.118041515,-0.05330048,0.118041486,-0.05330052,0.11682886,-0.05406757,0.10912132,-0.080519825
Flywch2,-0.06303945,-0.09892483,-0.18872347,-0.29899988,-0.14571884,-0.36336938,-0.18872349,-0.2989999,-0.14571886,-0.36336935,-0.14571887,-0.36336935,-0.14571884,-0.36336935
Fmn1,0.10252038,0.0068076774,0.102520406,0.006807644,0.10252038,0.006807644,0.10252038,0.0068076663,0.102520406,0.0068076663,0.114801586,0.061443925,0.102520406,0.0068076886
Fmn2,-0.07460672,-0.2631853,0.03905061,0.10400762,0.03905061,0.10400758,0.03905061,0.10400758,0.03905061,0.10400758,0.03905061,0.10400758,0.03905058,0.1040076
Fmnl2,0.041354924,-0.075829536,0.061627507,-0.10617359,0.090859115,-0.012678314,0.11391115,0.07676865,0.11391115,0.07676866,0.11391112,0.076768614,0.11391115,0.07676866
Fmnl3,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416,0.31723005,0.07333416
Fmo1,0.20160934,0.08990256,0.20160934,0.089902565,0.20160934,0.08990255,0.20160934,0.08990255,0.20160928,0.089902565,0.20160931,0.089902595,0.20160931,0.089902595
Fmod,-0.195294,-0.6851136,0.19000122,-0.14072998,0.21962121,-0.0052899756,0.233277,0.051239368,0.23692739,0.07463973,0.23692736,0.07463974,0.23692742,0.07463977
Fmr1,0.07525343,0.025178974,0.045466214,-0.08003071,0.045027465,-0.09305212,0.04286313,-0.08915223,0.051334262,-0.06868519,0.04794067,-0.08373439,0.021981359,-0.16722386
Fmr1nb,0.10647458,0.06848092,0.10464749,0.06053159,0.09741831,0.035235018,0.09741831,0.035235014,0.10464749,0.0605315,0.10464752,0.060531534,0.095994234,0.03736649
Fn1,-0.7734667,-0.44594803,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403,0.07475692,0.10387403,0.07475692,0.10387404,0.07475692,0.10387403
Fn3k,-0.16799802,-0.29385948,-0.040675074,-0.13143677,-0.040675074,-0.13143678,0.030301869,0.10627447,0.030301869,0.106274486,0.030301869,0.106274486,0.03030181,0.10627447
Fnbp1,0.08957785,0.09753908,0.08957791,0.09753908,0.08957788,0.09753908,0.08957788,0.09753908,0.08957788,0.09753907,0.08957788,0.09753907,0.08957785,0.09753907
Fnbp1l,-0.017278373,0.10238248,-0.017278373,0.10238245,-0.017278373,0.102382466,-0.017278403,0.10238245,-0.017278373,0.10238245,-0.017278373,0.102382466,-0.017278403,0.10238245
Fnbp4,0.14550215,0.002960369,0.0875251,-0.18305364,0.071785,-0.23339729,0.07346058,-0.2323374,0.089200675,-0.18199375,0.08752507,-0.18305369,0.062066585,-0.2669686
Fndc3b,-0.039332032,-0.40754965,0.092825055,0.09215075,0.092825055,0.09215077,0.092825055,0.09215079,0.092825055,0.09215076,0.092825055,0.09215078,0.092825055,0.09215078
Fndc4,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903,0.121682405,0.08461903
Fnip1,0.007899582,0.09162089,0.007899582,0.09162089,0.007899582,0.09162092,0.007899582,0.09162091,0.007899582,0.09162094,0.007899582,0.09162089,0.007899582,0.09162092
Fnta,0.16984904,-0.10756059,0.087357074,-0.40529156,0.13145271,-0.25169608,0.090672284,-0.36872932,0.15802914,-0.1687677,0.12447506,-0.27401367,0.07011151,-0.31460395
Foxd1,-0.20049179,-0.59563905,0.09437567,-0.02956115,0.0943757,-0.029561166,0.12044433,0.07190872,0.1204443,0.0719087,0.12044433,0.07190873,0.1204443,0.07190868
Foxd3,0.056297123,0.07493212,0.035133183,0.00483723,0.035133153,0.004837211,0.019800246,0.027787559,0.017279148,-0.020913687,-0.061932936,-0.11608885,-0.07418175,-0.14195044
Foxf1,-0.043259665,-0.56648064,0.21866643,0.04453693,0.2186665,0.044537023,0.2186665,0.04453703,0.2186665,0.044537034,0.2186665,0.044537075,0.2186665,0.044537053
Foxg1,0.125996,0.088826194,0.1273224,0.07926487,0.13041091,0.099063456,0.1273224,0.07926485,0.1273224,0.07926488,0.13041091,0.099063456,0.13041091,0.09906347
Foxn4,0.09642097,0.19804697,-0.04500431,-0.09087041,-0.04500431,-0.09087032,-0.04500431,-0.090870366,-0.045004323,-0.09087038,-0.045004323,-0.09087041,-0.045004323,-0.09087038
