GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Creb3l4,1.3053806,0.11426208,1.3053806,0.11426208,1.3053806,0.11426208,1.3053806,0.1142621,1.3053806,0.1142621,1.3053806,0.1142621,1.3053806,0.1142621
Crebbp,0.44704992,0.28377905,0.44939017,0.2742948,0.44690907,0.28200063,0.44690913,0.28200063,0.44690907,0.2820006,0.44690913,0.28200066,0.44988233,0.27677044
Crebl2,0.6833454,0.181986,0.6742201,0.25527334,0.6705631,0.26028162,0.674751,0.25821483,0.674751,0.25821492,0.6743367,0.25498116,0.6287493,0.34007815
Crebzf,0.38578838,0.8176196,0.26102644,1.0045619,0.24705833,1.0236915,0.22118211,1.018091,0.25798023,1.0088915,0.26102638,1.0045617,0.35173142,0.8536995
Crem,0.4901057,0.040087543,0.4901057,0.040087543,0.4901057,0.04008753,0.49010563,0.04008753,0.35457778,0.27049074,0.4901057,0.040087543,0.49010563,0.04008753
Cry1,0.08141035,0.038847454,0.06665775,0.14640066,0.06665775,0.14640066,0.072562665,0.14358014,0.072562665,0.14358011,0.06665778,0.14640066,0.074833214,0.10941962
Cry2,0.53488415,0.89755327,0.66430444,0.7137589,0.66430426,0.7137589,0.66523594,0.7147567,0.66523576,0.71475667,0.6643044,0.71375895,0.6629388,0.71531916
Csda,0.1773923,0.39870808,0.10494259,0.67073256,0.24041685,0.31363994,0.13966918,0.6232057,0.24050173,0.31355646,0.24883634,0.29517916,0.24834037,0.29547405
Csdc2,0.18918747,0.004807554,0.18918747,0.004807554,0.18918747,0.0048075467,0.18918747,0.0048075467,0.18918747,0.0048075467,0.18918747,0.004807487,0.18918747,0.004807502
Csde1,0.5561989,-0.003152959,0.5561989,-0.003152974,0.5561989,-0.0031529516,0.55619895,-0.0031529441,0.55619895,-0.0031529367,0.55619895,-0.0031529441,0.55619895,-0.0031529516
Csrnp1,0.36963284,-0.045254923,0.36676157,-0.023286805,0.3667615,-0.023286805,0.3679539,-0.022009477,0.36795396,-0.022009462,0.36676157,-0.023286797,0.36941075,-0.031531252
Csrnp2,0.4110062,-0.03351266,0.41100615,-0.033512652,0.41100615,-0.033512644,0.41100615,-0.033512644,0.41100615,-0.033512644,0.41100615,-0.033512652,0.41100615,-0.03351266
Ctcf,0.8144927,1.3285491,0.82629275,1.2217602,0.75058615,1.2545447,0.6873913,1.3729227,0.7543434,1.2561548,0.7588141,1.234248,0.8348286,1.0316217
Ctnnb1,0.36643845,0.30934507,0.5921436,0.0861612,0.59214365,0.0861612,0.5921436,0.08616125,0.5921436,0.086161174,0.5921436,0.0861612,0.59214354,0.08616122
Cux1,0.39920104,-0.095543236,0.39920098,-0.095543236,0.39920098,-0.095543236,0.39920092,-0.09554322,0.39920092,-0.09554322,0.39920104,-0.09554323,0.39920098,-0.095543236
Cux2,0.7168868,0.4896039,0.66396695,0.603731,0.63815975,0.66606075,0.6381597,0.6660607,0.6381597,0.66606057,0.6381597,0.66606057,0.63815963,0.66606057
Cxxc1,0.6263787,0.38291505,0.6729259,0.2963227,0.67292583,0.29632273,0.6729259,0.29632267,0.67292595,0.29632273,0.67389345,0.2939009,0.67389345,0.29390094
Dbp,0.08956772,-0.06299103,0.08831754,-0.054016896,0.08831754,-0.054016896,0.08881211,-0.05450356,0.08881211,-0.054503553,0.08831754,-0.05401689,0.08960742,-0.058023028
Ddx1,0.77107143,0.014908098,0.7710713,0.014908113,0.77107143,0.014908098,0.77107143,0.014908113,0.77107143,0.014908113,0.7710713,0.014908113,0.7710713,0.014908098
Ddx20,1.6263375,0.73682505,1.5842735,1.0514014,1.5651451,1.0775986,1.513817,1.1844858,1.5209236,1.1742609,1.5291029,1.1296341,1.5702716,1.0184641
Ddx41,0.47364497,0.17313054,0.4736449,0.17313051,0.4736449,0.17313051,0.47364503,0.17313054,0.47364497,0.17313051,0.47364503,0.17313054,0.47797728,0.16719726
Ddx58,0.6027526,0.057521068,0.64305246,-0.020091884,0.6430525,-0.020091891,0.62521523,0.0214509,0.6430524,-0.020091869,0.64305246,-0.020091891,0.63346285,0.0022422299
Deaf1,0.15283418,0.14812258,0.14967501,0.15244916,0.14967498,0.15244916,0.14967501,0.15244916,0.14967501,0.15244916,0.15198785,0.14665988,0.15198785,0.14665988
Dedd,0.23365483,0.012820907,0.23365477,0.012820937,0.2336548,0.012820907,0.2336548,0.012820877,0.2336548,0.012820892,0.2336548,0.012820922,0.23365486,0.012820922
Dedd2,0.07367459,0.075221576,0.13857207,-0.011376739,0.14843094,-0.024878912,0.14843097,-0.024878904,0.14843097,-0.024878897,0.14843094,-0.024878904,0.14843097,-0.02487892
Dhx33,1.2535473,0.5397666,1.2249196,0.70544016,1.2065117,0.73065025,1.160025,0.8314372,1.0463722,1.0178928,1.2084829,0.7119659,1.2297192,0.66624045
Dlx1,0.09721732,-0.044521935,0.09721732,-0.044521935,0.09721732,-0.044521935,0.09721732,-0.044521935,0.09721732,-0.044521935,0.09721732,-0.044521935,0.09721732,-0.044521935
Dmap1,0.7800813,0.8669536,0.79001296,0.85335165,0.7885684,0.85532975,0.7885686,0.8553299,0.7885685,0.8553298,0.7900131,0.8533517,0.7924311,0.85004026
Dmrt1,0.4081611,0.007874034,0.4081611,0.007874019,0.4081611,0.007874019,0.40816116,0.007874019,0.40816116,0.007874005,0.40816116,0.007874019,0.38892907,0.046441026
Dmrta1,0.87164485,0.346753,0.871645,0.34675306,0.87164485,0.34675306,0.871645,0.34675306,0.87164485,0.34675303,0.871645,0.34675306,0.871645,0.34675306
Dmrta2,0.48439574,0.92355925,0.4952708,0.90866524,0.49527085,0.90866536,0.49527085,0.90866536,0.4952709,0.90866524,0.49527085,0.90866524,0.49527097,0.90866536
Dmtf1,1.1054884,0.6258985,1.1030214,0.6345781,1.0886011,0.6583739,1.0368446,0.7611036,1.097933,0.64385086,1.1018664,0.638253,1.1564014,0.546526
Dnajb6,0.46654648,0.67487466,0.46654654,0.67487466,0.46455216,0.67760605,0.46455222,0.67760605,0.4645521,0.677606,0.46654648,0.6748747,0.46654648,0.6748746
