GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
Bmi1,-0.74326724,0.31794065,-0.2608467,0.5589419,-0.032035794,0.44229126,-0.4647401,0.22901021,0.59783286,-0.27227697,0.6084096,-0.20976256,0.51429784,-0.32622254,0.5571148,-0.28847992,-0.79494125,0.3120143,-0.7663385,0.32848504
Bptf,-0.7273615,-0.5363802,-0.023017257,-0.6686478,-0.3100206,-0.3546115,-0.029647585,-0.10200114,0.35788023,-0.46202192,-0.31806302,-0.36725703,0.13412724,-0.5696119,0.2647862,-0.68189776,0.46980262,-0.385173,0.39323866,-0.4475602
Brd4,-0.44496793,-0.33894417,0.088214755,-0.5124358,-0.2928359,-0.14685127,-0.30763623,0.31411073,0.18480994,-0.27647993,-0.24161278,-0.13129406,-0.06494062,-0.20214614,0.22981958,-0.44530937,0.18523607,-0.21979271,0.2202255,-0.286815
Brd7,-0.18524526,0.31370234,-0.18524526,0.31370234,-0.089176446,0.30644554,-0.18524526,0.31370234,-0.18524526,0.31370234,-0.1929677,0.30491015,-0.22285463,0.2944572,-0.18524526,0.31370234,-0.18524526,0.31370234,-0.18524526,0.31370234
C1d,-0.23125564,-0.33483133,-0.23055734,-0.47672477,-0.17667767,0.14596538,0.09632258,-0.34508696,0.16386126,-0.21064962,-0.18519418,-0.11052102,0.10612832,-0.23330927,0.15968616,-0.3493159,0.18378378,-0.2530641,0.21198215,-0.29246578
Calcoco1,0.42089307,-0.0643417,-0.017689768,0.3406421,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421
Camta2,-0.39875203,0.24803677,-0.3812033,0.13699718,0.108110026,-0.31600788,-0.26324075,0.37453356,-0.35379982,0.16459674,-0.39294606,0.26890394,-0.27846524,0.19540341,-0.29672527,0.1730091,-0.31601703,0.066199474,-0.31601703,0.066199474
Carhsp1,-0.43803293,0.12322342,-0.30747607,0.05103048,-0.29552853,0.23819946,-0.18316431,0.15973705,-0.18316431,0.15973705,-0.18316431,0.15973705,0.60219455,0.07402176,0.60219455,0.07402176,0.51299375,-0.037676826,-0.18316431,0.15973705
Carm1,0.16273625,0.29258433,0.16273625,0.29258433,-0.6733122,0.2710829,0.43952733,0.18360369,0.16273625,0.29258433,-0.5284319,0.49950352,-0.59420985,0.5154617,0.16273625,0.29258433,0.08223648,0.23016255,0.16273625,0.29258433
Cbfb,0.23446628,-0.49488935,0.06744001,0.3198242,-0.49498785,0.34045622,0.06858529,0.1478342,-0.021731984,0.37966976,0.09259497,-0.117501505,-0.03418998,0.2744447,-0.0055841543,0.23971166,-0.05466156,0.072713494,0.07447879,0.1419049
Cbx2,0.22955327,-0.20053975,0.19166695,0.68048805,0.19166695,0.68048805,0.07685684,-0.3069283,0.22955327,-0.20053975,0.1340486,-0.0063519785,0.22955327,-0.20053975,0.22955327,-0.20053975,0.1340486,-0.0063519785,0.1340486,-0.0063519785
Cc2d1a,0.19981828,-0.5603992,0.08828133,-0.34396124,-0.21949233,-0.02801522,-0.31230712,0.41293135,0.11315027,-0.22573319,-0.0011265539,-0.2052277,0.22016613,-0.36061642,-0.14657827,-0.3706738,0.23305006,-0.544964,0.14766167,-0.459057
Cc2d1b,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056,0.34417245,-0.111265056
Ccnt1,-0.14863227,-0.1408943,-0.076205134,-0.17384155,-0.3704064,0.020222893,0.13743563,-0.35531434,0.17771591,-0.35762137,0.12661174,-0.2673778,-0.2928552,-0.00909301,0.3555816,-0.46278986,0.02278218,-0.3016031,-0.04025608,-0.24999215
Cdc5l,-0.33577752,0.16284493,-0.23771839,-0.026728535,-0.23347913,-0.28200352,-0.41789007,-0.110636644,-0.3565549,-0.0033270468,-0.26871166,-0.18023004,-0.19905539,-0.27304983,-0.2191272,-0.117550105,-0.24761452,0.19548891,-0.24711613,0.21061555
Cdk9,0.19143179,-0.041521616,-0.4363104,0.20065336,0.20432572,0.9412153,0.18503776,-0.50275314,-0.012271527,-0.2923581,0.024941098,-0.18437259,0.13114329,-0.46478546,0.18503776,-0.50275314,0.1303003,-0.39324382,0.19143179,-0.041521616
Cebpa,0.051411975,0.24083236,-0.04634023,0.06118784,-0.34837425,0.1888778,0.8244432,0.067592174,-0.03808401,0.28776333,0.033135053,0.35847285,0.29557735,0.01068963,0.6410245,0.0883267,-0.16529162,0.19058529,-0.4364095,0.44254878
Cebpb,0.4112255,0.4352318,-0.01158493,-0.20107968,-0.30610213,0.2899681,0.8280474,-0.30078712,0.5708196,-0.021959634,-0.36654308,-0.019873912,-0.046197187,0.16433904,0.7684245,-0.25340056,0.3441134,0.14716244,-0.49184418,0.38744214
Cebpg,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417
Cenpb,-0.37740266,-0.0916302,-0.45951295,0.027891738,0.24750032,-0.29456592,-0.5173094,-0.1475092,-0.052234452,-0.46604097,-0.17944184,-0.30652842,-0.04447223,-0.44437873,-0.06973001,-0.33485034,-0.021698058,-0.41714832,-0.5966884,-0.09978384
Cggbp1,-0.26340947,0.41306922,-0.2532894,-0.27291945,-0.30945906,-0.16258281,0.00057388097,-0.4089604,-0.2245002,-0.060490556,-0.32622254,0.15497667,-0.09586172,-0.21022658,-0.032529403,-0.30966038,-0.1687113,-0.34032026,-0.14188962,0.14239283
Chd1,-0.5663528,-0.24351777,-0.739027,-0.31952876,-0.5583301,-0.5326952,0.12932351,-0.6932855,0.14673837,-0.86374414,-0.27602422,-0.057082087,0.0362087,-0.42682317,0.43505988,-0.7780592,0.03930351,-0.47678614,0.05339373,-0.28457528
Chd4,-0.47093004,-0.34910786,-0.030665439,-0.4018435,-0.17590196,-0.32552144,0.02995633,0.05350839,0.24800332,-0.50433373,-0.031225462,-0.40450677,0.15077351,-0.59097767,0.28374314,-0.6566698,0.24136849,-0.37822142,0.27546287,-0.44882044
Chd7,0.6279499,1.3197587,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.6279499,1.3197587,0.6279499,1.3197587
Chd8,-0.37892973,-0.24297805,-0.25947574,-0.45428857,0.10492064,-0.35772803,-0.25088114,-0.046021067,0.28828132,-0.25743845,-0.30832112,-0.20342682,0.12144329,-0.3401966,0.31715146,-0.36871666,0.33140764,-0.2203694,0.3459048,-0.25532022
Chd9,-0.09324081,-0.1923537,0.037316035,-0.2645466,0.029738158,0.32060766,0.1616278,-0.15584005,0.1616278,-0.15584005,0.1616278,-0.15584005,0.1783918,-0.20703737,0.1783918,-0.20703737,0.2984431,-0.1528828,0.1616278,-0.15584005
Churc1,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536
Cic,0.053455062,-0.2678847,-0.15319069,-0.29192436,-0.0039752945,-0.23457934,0.03494919,0.16952726,-0.017335102,0.048320208,0.024885703,0.030418126,-0.04483762,0.11624948,-0.31248114,0.34304458,0.0853851,-0.39102575,0.0853851,-0.39102575
Clock,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,0.42089307,-0.0643417,-0.017689768,0.3406421,0.42089307,-0.0643417,0.42089307,-0.0643417,-0.017689768,0.3406421,-0.017689768,0.3406421
Cnbp,-0.099981904,-0.22304726,-0.23359026,0.29910085,-0.11278531,0.04855469,-0.28997964,0.18064441,-0.1554117,0.04307613,-0.28415757,-0.30777228,-0.25681424,0.13919973,-0.35846326,0.28729153,-0.0973566,0.112604,-0.21141593,0.25433004
Creb1,-0.37444103,-0.5652785,-0.6447751,-0.44937542,-0.24208389,-0.66996115,0.29323587,-0.8967655,0.3916453,-0.802371,-0.17266546,-0.4125171,0.2919456,-0.48205057,0.36978978,-0.49087766,0.19416457,-0.6051308,0.2186038,-0.658486
Creb3,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,-0.36757624,0.20280598,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417
Creb3l2,-0.017689768,0.3406421,0.06306182,-0.2232536,0.42089307,-0.0643417,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,0.42089307,-0.0643417,0.42089307,-0.0643417,-0.017689768,0.3406421,-0.017689768,0.3406421
Creb3l3,-0.548244,0.29902133,0.8498799,0.032075033,-0.24182339,0.6077563,-0.14778844,0.39787015,0.18386166,0.42168885,0.587937,-0.104793556,0.26944998,-0.069071196,0.059527893,0.22556221,-0.60351914,0.5002994,-0.66743594,0.64403456
Crebbp,-0.39375535,-0.466014,0.17108217,-0.51121736,-0.2694307,-0.28540435,0.1234422,-0.029451301,0.3700027,-0.51006836,-0.048551586,-0.42841145,0.14723787,-0.66408044,0.26782984,-0.75118554,0.3636694,-0.40851688,0.38776237,-0.51195693
