Source,Target,PValue
Rxra,Coro2A,4.9709687876214345e-34
Etv6,Mak16,5.366797320865912e-34
Kdm5A,Ap4S1,7.140737752528494e-34
Elk4,Snx30,7.338497146672366e-34
Ubtf,Orc5,1.0505804197072891e-33
Rbbp5,Hps1,1.3320870406380883e-33
Nr1I3,Pfkfb1,1.4383890901149946e-33
Hnf4A,C11Orf42,1.734000410599978e-33
Rbbp5,Csnk2A1,1.888197194832045e-33
Sp1,Tlr5,2.2202026719673677e-33
Gata6,Crim1,2.236165894983631e-33
Rbbp5,Mkks,3.893373201724885e-33
Atf4,Csnk1D,4.349268033459094e-33
Rbbp5,Wdfy3,4.553129564042872e-33
Hnf1B,Apoc2,5.534812063693914e-33
Taf1,Hnrnpa1,7.472852483218922e-33
Hnf4A,Vwa8,8.892725392022626e-33
Znf143,Pex2,1.2696243123281308e-32
Sp1,Tcf12,1.3185338849026593e-32
Gtf2F1,Pgp,1.4307242258878283e-32
Taf1,Ncbp3,1.6961338654876626e-32
Znf384,Ubxn7,2.3194609600487726e-32
Tbp,Setd5,2.453660280521881e-32
Cebpb,Chac1,2.6773622899477033e-32
Znf384,Dnmt3A,3.013397382182437e-32
Jund,Cga,3.4049833624832016e-32
Elk3,Spint1,3.567077052033959e-32
Smad5,Rictor,3.6822617189177414e-32
Foxo4,Gpr146,5.11417513160573e-32
Pbx3,Cdh2,6.827557558494072e-32
Elk4,Bcl9L,8.93528834626844e-32
Gabpa,Lztfl1,9.61885497569243e-32
E2F8,Klf14,1.1888789168215939e-31
Fosl1,Pdlim7,1.4856612666738328e-31
Znf384,Agfg2,1.5410699271663388e-31
Kdm5A,Papolg,1.5622278994369461e-31
Tfdp1,Rnf2,1.7002058406426011e-31
Zbtb7A,Bcl9L,4.231201079910716e-31
Batf,C11Orf86,4.647704412504527e-31
Hnf4A,Dgcr2,4.878408795119381e-31
Hand1,Prdm13,5.072000971694237e-31
Creb3,Psd,5.240187014765687e-31
Irf9,Ucn3,5.867677854258665e-31
Znf384,Zmat4,6.293358571099093e-31
Fosl1,C11Orf86,8.598332920854663e-31
Thap1,Znf813,1.2487119453454812e-30
Ppara,Rbfox2,1.3042057203098755e-30
Znf143,Mtif3,1.449977899984669e-30
Znf76,Atxn1,1.5310800006423007e-30
Znf384,Tmem86A,2.1092418139244074e-30
Nfyb,Kcnj16,2.2932888400929543e-30
Rb1,Elmod2,2.318884273894681e-30
Nfyb,Cnst,2.357560176379656e-30
Rb1,Nucb1,2.3954740800262957e-30
Ubtf,Pop5,3.727518025535383e-30
Cebpg,Gtf2Ird1,4.494962806523729e-30
Ppara,Ltbp3,4.7104762523040806e-30
Ubtf,Cdkn2Aip,5.08531975569613e-30
Znf787,Ascc2,6.0583385245291145e-30
Rbbp5,Trrap,6.509037956794702e-30
Sp1,Taf5,7.497213961871959e-30
Etv6,Morf4L2,9.720906746896127e-30
Sp1,Agfg2,1.482683143868669e-29
Elk4,Nudt12,1.529443878735572e-29
Znf384,Iqck,1.706851723378452e-29
Creb3L2,Map7D2,2.1848667740560363e-29
Ep300,Ubtf,2.8881437565031704e-29
Gmeb2,Actg1,3.413972419664048e-29
Stat2,Thtpa,3.6793853094198727e-29
Elk4,Slc22A23,3.8523922774399167e-29
Thap1,Qki,3.993339250115739e-29
Klf4,Prr29,4.3760005891582827e-29
Yy1,C14Orf28,8.504150140461646e-29
Gmeb2,Fam222A,1.3360042019077754e-28
Gabpa,Lamtor3,1.5384950824109572e-28
Smad5,Fam107B,1.6466381861815513e-28
Rxra,Tunar,2.1611092908253754e-28
Elk3,Adgrg2,2.171575751046949e-28
Rara,Smco4,2.427380230845822e-28
Rbbp5,Pphln1,2.688235221803954e-28
Nfyb,Mical3,3.833233059171633e-28
Hnf4A,Epb41L4B,4.427481566512905e-28
Ubtf,Fnbp1L,4.945189749586623e-28
Znf441,Stim2,5.570849725221481e-28
Ep300,Sos2,5.972205407289035e-28
Tfdp1,Fdx1,8.708615443246804e-28
Tfdp1,Coq3,8.708615443246804e-28
Taf1,Tlx2,8.941405252598073e-28
Rb1,Zbtb41,1.0078679852232901e-27
Taf1,Mef2A,1.2247913736546677e-27
Ubtf,Lmf1,1.2459868065571838e-27
Maz,Wiz,1.5801549906722898e-27
Znf787,Cdk2Ap2,2.088881571058644e-27
Atf4,Ddx49,2.2804044315691204e-27
Znf143,Ccdc137,3.34634879477214e-27
Foxc1,Bhlhe41,3.4109327169939104e-27
Nfyc,Slc3A1,3.451647580756772e-27
Ubtf,Bloc1S4,4.029953711006737e-27
Taf1,Vav2,5.504037774582969e-27
Clock,Tmem126B,8.237404891272021e-27
Ubtf,Stx18,8.369579614140996e-27
Taf7,Mrps21,8.881159272569618e-27
Hnf4A,Tmco4,8.961646217162998e-27
Hnf4A,Fmo6P,9.05905829464213e-27
Sp1,Spop,1.0009913234358076e-26
