0,1,2,3,4,5,6,7,8,9
0.030009411,0.7547046,-1.2103146,-1.2579327,-0.021819472,0.29128808,-0.31833574,-1.5053557,0.084412105,0.38460618
-0.10732896,0.13450266,-0.56884325,-1.0765142,0.113348715,-0.038642634,0.2654707,-0.9480132,0.35251004,0.8085242
0.37095025,0.14090185,0.85519546,-0.6535222,0.014962252,-1.2564683,0.6615201,-0.12211682,0.2084812,0.002665516
0.54028773,0.5848177,-0.23553586,0.73372173,-0.12090083,0.71726424,0.4256527,0.60127527,0.25560552,0.23424299
-0.9876729,0.16018489,-0.9876729,0.16018489,-0.9876729,0.16018489,0.58828986,-0.15234312,-0.9876729,0.16018489
0.33393583,0.2389444,-0.2359367,-1.2838707,0.4838516,-0.011377905,0.1560305,-1.5379431,0.22372293,0.7034364
0.43855065,0.64190227,0.6923379,0.18724525,1.068799,0.68179494,0.7556516,-0.09342936,1.0666974,0.66703224
0.7386185,0.4477133,1.0362959,0.2103764,0.4291199,-0.22152366,0.9675425,0.75598603,0.32352015,-0.18964823
0.062152565,0.5152503,0.096384235,-0.6330719,0.65225315,0.32038677,0.52620655,-0.69075,1.0180576,0.9540508
0.6318319,0.37695476,0.8123292,-0.4499454,0.09335834,-1.1273443,0.5557066,0.26379144,0.19478434,-0.24954481
-0.1083127,1.1560636,-1.2217463,-1.170601,0.03842532,0.7249974,-0.27824762,-1.2585137,0.581302,1.0156455
0.1824229,0.26176184,-0.47194546,-0.7491125,0.3866178,-0.040439162,0.033223268,-0.6872268,0.59817356,0.84685266
-0.5439357,0.053760212,-0.16117075,-0.04160415,-0.4487586,0.18465535,-0.21090889,0.70414853,0.22566953,0.6310878
0.93732953,0.5032753,1.1979314,0.33463275,-0.09479409,-0.44713134,0.94679886,0.51699996,-0.0032251999,-0.54144466
0.48793972,0.39525443,0.52747554,0.37997958,0.18721089,0.20910229,0.39073807,0.6209001,-0.14434421,0.150959
-0.56547105,-1.3518187,0.035509046,-0.07955687,0.24312815,-0.3622337,0.22064042,-0.43768096,0.4453995,-0.3696661
0.23282975,-0.07629897,0.52350223,-0.7610277,-0.2935122,-1.7986107,0.41408622,-0.31142375,-0.31506178,-0.08498444
-0.3743552,0.26834998,-0.10199364,0.1219316,-0.4614538,-0.17562005,0.33799785,0.4773711,-0.02501285,0.07244862
-0.69623667,0.084456876,-0.6962367,0.084456876,-0.6962367,0.084456876,-0.29232508,0.007328432,-0.19276756,0.098916516
0.26028696,0.45143715,-0.10388806,0.40727746,0.3022224,0.7194954,-0.046489738,0.28821227,0.011921667,0.33373627
0.021595493,0.23263143,0.1433917,0.9340238,0.37714928,0.7556578,0.38472256,1.392876,0.3217142,0.85694623
0.30222356,0.16125041,0.28848833,0.17618363,0.5413211,0.37808597,0.3757636,0.6003622,0.19811946,0.5124904
0.31141087,0.30977827,0.76255643,0.1942213,0.11505854,-0.099391386,0.62985224,0.47515962,0.1443131,-0.26495522
-0.034512974,0.12876658,0.16229248,0.2688144,0.1601401,0.5427481,0.2551059,0.6875051,0.093245305,0.5909191
0.1450493,0.4711714,0.337627,0.9318899,0.46871883,1.0343245,0.5861734,1.2871687,0.4218079,1.1146498
0.14173156,0.40917552,-0.0034989044,0.24657133,-0.164063,0.21655463,-0.16008765,0.19438057,-0.60196424,-0.30922455
-0.2948611,0.68129027,-0.9963982,-0.9333249,-0.07126748,0.413555,-0.755805,-1.1443487,0.2803287,0.22017536
-0.1251593,0.19659244,-0.34022766,-0.08530404,-0.58124167,-0.80362403,-0.06539821,-0.4453218,0.10532808,-0.0063990764
-0.24004602,0.5241179,-0.0415498,-0.19268262,0.4071763,0.38644686,0.26058173,-0.5443187,0.86374426,0.64504594
-0.00023717433,0.10852699,0.33887178,0.102476224,0.48927936,0.5880693,0.72512645,0.67147976,0.48348728,1.0979639
-0.59990585,-0.35621515,-0.69216454,-0.36312583,-0.48627836,-0.47169423,-0.29799864,-0.37780714,0.05109988,-0.102087304
0.6127853,-0.6160981,0.6127853,-0.6160981,0.6127853,-0.6160981,0.6127853,-0.6160981,0.6127853,-0.6160981
-0.22226226,0.09121156,0.106557034,-0.1041076,0.16550648,-0.13233413,0.5680579,0.5119423,0.7381063,1.0834314
0.7420873,0.31926677,0.977697,0.14206606,0.055668913,-0.38956147,0.83469594,0.38064915,0.0690233,-0.60972476
0.09737778,-0.039857697,-0.38872996,-0.21296354,-0.07414765,0.29866078,-0.19534537,0.13752437,-0.09570979,0.096769705
0.8738096,0.32983786,0.94203603,0.7701484,0.3479201,0.111915916,0.7868849,0.6600187,-0.24407482,-0.10727696
-0.48170465,-0.43347403,-0.023100346,0.870474,-0.23684269,0.11882515,-0.1932737,0.22021079,-0.0136436,-0.16979207
0.03134904,0.67362195,-0.68947184,-0.53645736,0.28159505,0.23356026,-0.25013718,-0.7265118,0.42003587,0.57262605
0.07527943,0.34678113,0.3087252,-0.045279045,-0.015669174,-0.31022888,0.36943975,0.29026425,0.15122384,-0.6714649
0.37186518,0.73384047,-0.12324681,-0.4064613,0.45945278,0.5241518,0.33292595,-0.4104963,0.43034086,0.8003763
-0.9198482,0.03580586,-0.378966,-0.11225502,-0.36400628,0.23930028,-0.91726285,-0.33412927,-0.46769637,0.13669957
0.4858215,-0.29563642,0.5585477,-0.18717694,0.45845765,-0.26973835,0.9354916,0.24860285,0.32238752,-0.57327044
-0.1639668,0.7134092,0.06681798,-0.8765832,0.20183891,0.46023455,0.44475254,-0.5903284,0.9464797,0.77765465
-0.4360478,0.47881225,-0.12908468,-0.28267232,-0.071077205,0.72179437,0.7895261,0.18877889,0.63802576,0.7578176
0.36221427,-0.69983035,-0.26646262,0.58563006,0.35450262,-0.69453204,-0.38872337,0.047922622,0.26781723,0.16526015
-0.0765247,1.0127475,-1.0115647,-0.62512845,0.024981227,0.5122635,-0.68680435,-0.993937,0.26358554,0.1078119
-0.12970665,0.75518,-0.96502626,-0.68295896,0.23347473,0.442072,-0.5925537,-0.9891144,0.42692056,0.5302085
0.0037676916,0.73808736,-0.4738592,-1.0362362,0.5829183,0.54282236,0.110678196,-1.2531621,0.7963577,1.2470438
0.22612384,1.0792387,-0.9930595,-1.1941948,0.24664634,0.89681995,-0.63989276,-1.6461353,0.09909953,0.7428279
-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,0.6127853,-0.6160981
-0.44203413,-0.043347094,-0.2941283,0.04198619,-0.70479727,-0.22057341,0.09889258,0.30482343,-0.101000585,-0.9734405
