0,1,2,3,4,5,6,7,8,9,10,11
Atf5,Atf5,6.896723792978316,6.329722198424402,6.084660498854504,6.798032012932606,7.506987414761229,6.661349493027597,7.016052736104081,7.047475097054064,6.94314893277173,6.662682611936205
Atf6b,Atf6b,2.6909166026835045,2.7430746289359065,2.0545718146426037,2.7396729113804668,3.0918145515068765,2.5958890042733462,3.38594289417261,3.284544611309244,3.06410159930447,2.98997963648652
Atf7,Atf7,2.698777629629958,1.8095647091288167,1.9518701976938164,2.2215204252022964,2.0846882760296785,2.1256103249006384,1.9279456017327,1.8857904816447,2.132720228937347,2.01360717122225
Atoh8,Atoh8,2.5590416583310067,2.8021407010179256,1.8613221222529104,3.365112047923707,2.48687027285518,2.0603249415462983,2.1755276284232403,0.6402902223477324,1.7983424110554531,1.61115493624285
Atxn1l,Atxn1l,0.9497601164658572,1.1516711318815946,1.2106772782478066,1.383564585582242,1.41921179922457,1.0942617056195836,1.457811259594846,1.42585314958849,1.4474505995230935,1.408210881150785
Bach1,Bach1,2.094994300192756,2.3644113591223586,3.382509773784713,2.683716097989233,2.1973717108218502,2.322045107683784,2.35622983614263,2.57896984438936,2.4061313135530966,2.6695623104885
Bahd1,Bahd1,0.8693961850284475,0.7368417533908808,0.2462890547190686,1.5530396129061632,1.1539498911778416,1.90766607637201,1.524486057733808,1.2174854425221566,1.1058586650518567,1.1398804459865248
Baz2a,Baz2a,1.5921087453505778,1.45874949981521,1.27278510781702,2.010740873252061,2.049023176128973,1.8625533093844,1.92279567336337,2.114965857542943,2.16354411364208,2.030930444450195
Bcl3,Bcl3,2.584465381846452,3.1992268490551266,5.511529379754276,3.5604352102060552,4.159298515642038,4.247543956742465,4.133816799017282,4.292490395787422,3.3012693146248964,2.65838657908032
Bclaf1,Bclaf1,2.7135925968122465,2.725790289286587,2.7985089643240264,2.3251194573640834,3.051230902908255,2.607412241868837,2.866429658548154,2.6225922836446234,2.55815192150925,2.5622709153545298
