Source,Target
Actl6a,Dnmt1
Actl6a,Hdac1
Actl6a,Smarca5
Actl6a,Fubp1
Actl6a,Tmpo
Actl6a,Tardbp
Actl6a,Rbmxl1
Actl6a,Taf1d
Actl6a,Sfpq
Actl6a,Zfp217
Actl6a,Taf5
Aimp1,Med6
Aimp1,Sap30
Aimp1,Tfdp1
Aimp1,Npm1
Aimp1,Taf9
Anp32b,Cbfb
Anp32b,Mybbp1a
Anp32b,Smarce1
Anp32b,Hmgb1
Anp32b,Hmgb2
Anp32b,Ssrp1
Anp32b,Atf1
Anp32b,Prdx5
Anp32b,Sarnp
Anp32b,Pa2g4
Anp32b,Set
Anp32b,Nolc1
Anp32b,Srrt
Anp32b,Hnrnpab
Anp32b,Hdac2
Anp32b,Hdac1
Anp32b,Tfdp1
Anp32b,E2f8
Anp32b,Cggbp1
Anp32b,Tmpo
Anp32b,Npm1
Anp32b,Ppargc1a
Anp32b,Rbmxl1
Anp32b,Pcna
Anp32e,Hnrpdl
Anp32e,Cbfb
Anp32e,Bcor
Anp32e,Smarce1
Anp32e,Zzz3
Anp32e,Hnrnpk
Anp32e,Nfyb
Anp32e,Zfp280c
Anp32e,Zfp161
Anp32e,Nono
Anp32e,Hmgb1
Anp32e,Zfp524
Anp32e,Ssrp1
Anp32e,Atf1
Anp32e,Sarnp
Anp32e,Ctcf
Anp32e,Hnrnpab
Anp32e,Hdac2
Anp32e,Cnbp
Anp32e,Rtf1
Anp32e,Tmpo
Anp32e,Tardbp
Anp32e,Zfp422
Anp32e,Sfpq
Anp32e,Irf3
Apex1,Rps3
Apex1,Tmem9b
Apex1,Tapbp
Apex1,H2-Ab1
Apex1,Cd74
Apex1,Tmcc3
Apex1,H2-Aa
Apex1,4930420K17Rik
Apex1,4933426M11Rik
Apex1,Lmo7
Apex1,Prr14
Apex1,2410018M08Rik
Apex1,2810004N23Rik
Apex1,Aaas
Apex1,Alg8
Apex1,Bms1
Apex1,C1qbp
Apex1,Cacybp
Apex1,Cbx1
Apex1,Cct2
Apex1,Cct3
Apex1,Cct5
Apex1,Cct6a
Apex1,Cct7
Apex1,Cdca4
Apex1,Cdk4
Apex1,Cenpt
Apex1,Cfdp1
Apex1,Cirh1a
Apex1,Cks1b
Apex1,Clns1a
Apex1,Cse1l
Apex1,Cstf2
Apex1,Ctps
Apex1,D19Bwg1357e
Apex1,Dcaf13
Apex1,Ddx11
Apex1,Dis3
Apex1,Dnmt1
Apex1,Drg1
Apex1,Dtymk
Apex1,Dut
Apex1,Ecd
Apex1,Eef1d
Apex1,Eftud2
Apex1,Eif3g
Apex1,Elp2
Apex1,Elp3
Apex1,Fbl
Apex1,Fen1
Apex1,Fkbp3
Apex1,Gar1
Apex1,Gart
Apex1,Gcsh
Apex1,Gemin6
Apex1,Gnl3
Apex1,Grpel1
Apex1,Grwd1
Apex1,Hdac2
Apex1,Hirip3
Apex1,Hnrnpm
Apex1,Ikbkap
Apex1,Ilf3
Apex1,Impdh2
Apex1,Ipo5
Apex1,Ipo9
Apex1,Kars
Apex1,Lage3
Apex1,Lars
Apex1,Lrrc40
Apex1,Mak16
Apex1,Mcm4
Apex1,Mcm5
Apex1,Mcm7
Apex1,Mios
Apex1,Mki67ip
Apex1,Mphosph10
Apex1,Mrpl11
Apex1,Mrrf
Apex1,Nap1l1
Apex1,Ncapd2
Apex1,Nme1
Apex1,Nmral1
Apex1,Nob1
Apex1,Noc4l
Apex1,Nop56
Apex1,Npm1
Apex1,Nsun2
Apex1,Nucks1
Apex1,Nufip1
Apex1,Nup107
Apex1,Nup133
Apex1,Nup155
Apex1,Nup37
Apex1,Nup43
Apex1,Nup62
Apex1,Nup85
Apex1,Nup93
Apex1,Orc6
Apex1,Pa2g4
Apex1,Parn
Apex1,Pfas
Apex1,Polr1c
Apex1,Polr2b
Apex1,Ppan
Apex1,Prim1
Apex1,Prim2
Apex1,Prpf19
Apex1,Prpf3
Apex1,Psma5
Apex1,Psmd12
Apex1,Psmg1
Apex1,Ptrh2
Apex1,Pus7
Apex1,Pwp2
Apex1,Ran
Apex1,Rbbp5
Apex1,Rbbp7
Apex1,Rbm14
Apex1,Rbm17
Apex1,Rbmxl1
Apex1,Rcc2
Apex1,Rfc5
Apex1,Rnps1
Apex1,Rpl15
Apex1,Rpl31
Apex1,Rrp15
Apex1,Rrp8
Apex1,Rrs1
Apex1,Ruvbl1
Apex1,Shq1
Apex1,Smyd2
Apex1,Snrpa1
Apex1,Snrpe
Apex1,Snrpf
Apex1,Srm
Apex1,Ssbp1
Apex1,Ssrp1
Apex1,Tada2a
Apex1,Tcp1
Apex1,Tex10
Apex1,Tfdp1
Apex1,Thoc3
Apex1,Timm22
Apex1,Timm23
Apex1,Trim27
Apex1,Trim28
Apex1,Tsn
Apex1,Tsr1
Apex1,Ttc13
Apex1,Ttc27
Apex1,Tubb5
Apex1,Uba2
Apex1,Ung
Apex1,Usp39
Apex1,Utp14a
Apex1,Utp15
Apex1,Utp20
Apex1,Wdr3
Apex1,Wdr43
Apex1,Wdr74
Apex1,Wdr75
Apex1,Xpo1
Apex1,Ythdf1
Apex1,Zfp330
Apex1,Zmynd19
Apex1,Znhit6
Apex1,Nr1d1
Apex1,Rbl2
Apex1,Smarcc1
Apex1,E2f3
Apex1,Dhx33
Apex1,Smad2
Apex1,Ddx20
Bms1,Ahctf1
Bms1,Sin3a
Bms1,Rfc1
Bms1,Nfx1
Bms1,Xrcc6
Bms1,Trim27
Bms1,Trim33
Bms1,Kdm3a
Bms1,Ssrp1
Bms1,Atf1
Bms1,Thoc1
Bms1,Cnbp
Bms1,Npm1
Bms1,Tardbp
Bms1,Gtf2e1
Bms1,Gtf2e2
Bms1,Tada2a
Bms1,Ddx1
Bms1,Dnajc2
Bms1,Taf13
Bms1,Ddx20
Bms1,Taf5
Bub3,Med1
Bub3,Med6
Bub3,Dmtf1
Bub3,Cbfb
Bub3,Rfc1
Bub3,Smarce1
Bub3,Suz12
Bub3,Nfyb
Bub3,Nkap
Bub3,Xrcc6
Bub3,Bptf
Bub3,Creb1
Bub3,Kdm5a
Bub3,Ctcf
Bub3,Nkrf
Bub3,Thoc1
Bub3,Aebp2
Bub3,Hnrnpab
Bub3,Msl3
Bub3,Bdp1
Bub3,Smarca5
Bub3,Foxn2
Bub3,Zfp292
Bub3,Bclaf1
Bub3,Gtf2e1
Bub3,Chd8
Cbx1,Cenpb
Cbx1,Stat3
Cbx1,Zfp36
Cbx1,Smarce1
Cbx1,Nr1d1
Cbx1,Rbl2
Cbx1,Trim27
Cbx1,Rbmx
Cbx1,Pa2g4
Cbx1,Hnrnpab
Cbx1,Tfdp1
Cbx1,Tmpo
Cbx1,Tardbp
Cbx1,Smad2
Cbx1,Irf9
Cbx1,Taf9
Cbx1,Ddx20
Cct2,Med6
Cct2,Zfp36
Cct2,Ilf2
Cct2,Ilf3
Cct2,Rfc1
Cct2,Smarce1
Cct2,Psip1
Cct2,Nfx1
Cct2,Zfp553
Cct2,Kdm1a
Cct2,Ruvbl2
Cct2,Nr3c2
Cct2,Xrcc6
Cct2,Trim28
Cct2,Trim27
Cct2,Ssrp1
Cct2,Prdm4
Cct2,Nr1h3
Cct2,Sarnp
Cct2,Pa2g4
Cct2,Set
Cct2,Adnp2
Cct2,Nolc1
Cct2,Nkrf
Cct2,Dnmt1
Cct2,Hnrnpab
Cct2,Hdac2
Cct2,Tfdp1
Cct2,Msl3
Cct2,Smarca5
Cct2,Smarcc1
Cct2,Dhx33
Cct2,Gabpb1
Cct2,Npm1
Cct2,Tardbp
Cct2,Rbmxl1
Cct2,Gtf2f1
Cct2,Pcna
Cct2,Gtf2e1
Cct2,Gtf2e2
Cct2,Taf1d
Cct2,Mlxipl
Cct2,Tada2a
Cct2,Ddx1
Cct2,Dnajc2
Cct2,Sfpq
Cct2,Ddx20
Cct2,Taf5
Cct2,Taf2
Cct5,Ppara
Cct5,Stat3
Cct5,Zfp36
Cct5,Ilf2
Cct5,Ilf3
Cct5,Rfc1
Cct5,Smarce1
Cct5,Psip1
Cct5,Hnrnpk
Cct5,Zfp553
Cct5,Kdm1a
Cct5,Nr3c2
Cct5,Nr1d1
Cct5,Trim28
Cct5,Trim27
Cct5,Ssrp1
Cct5,Prdm4
Cct5,Nr1h3
Cct5,Sarnp
Cct5,Pa2g4
Cct5,Set
Cct5,Adnp2
Cct5,Nkrf
Cct5,Dnmt1
Cct5,Hnrnpab
Cct5,Hdac2
Cct5,Tfdp1
Cct5,Msl3
Cct5,Cebpa
Cct5,Rbbp5
Cct5,Smarcc1
Cct5,Cnbp
Cct5,Dhx33
Cct5,Zbtb7b
Cct5,Npm1
Cct5,Rbmxl1
Cct5,Rxra
Cct5,Zfp422
Cct5,Gtf2e1
Cct5,Gtf2e2
Cct5,Tada2a
Cct5,Smad2
Cct5,Ddx1
Cct5,Sfpq
Cct5,Ddx58
Cct5,Taf9
Cct5,Ddx20
Cct6a,Ilf2
Cct6a,Kdm1a
Cct6a,Pa2g4
Cct6a,Set
Cct6a,Nolc1
Cct6a,Nkrf
Cct6a,Hnrnpab
Cct6a,Hdac2
Cct6a,Tfdp1
Cct6a,Smarcc1
Cct6a,Npm1
Cct6a,Rbmxl1
Cct6a,Tada2a
Cct6a,Ddx1
Cct7,Ilf2
Cct7,Ilf3
Cct7,Psip1
Cct7,Kdm1a
Cct7,Ruvbl2
Cct7,Nr3c1
Cct7,Trim28
Cct7,Ssrp1
Cct7,Prdm4
Cct7,Hdac2
Cct7,Cebpa
Cct7,Zbtb7b
Cct7,Gtf2f1
Cct7,Gtf2e2
Cct7,Tada2a
Cct7,Dmap1
Cct7,Ddx1
Cct7,Taf11
Cdc123,Vps72
Cdc123,Drap1
Cdc123,Smarce1
Cdc123,Klf13
Cdc123,Trim33
Cdc123,Zfp326
Cdc123,Atf1
Cdc123,Hnrnpab
Cdc123,Gtf2e2
Cdc123,Rfxap
Cdc123,Ddx1
Cdca4,Ppara
Cdca4,Rps3
Cdca4,Cbfb
Cdca4,Klf9
Cdca4,Smarce1
Cdca4,Zzz3
