Source,Target
Apex1,Trim27
Apex1,Trim28
Apex1,Trip13
Apex1,Tsn
Apex1,Tsr1
Apex1,Tubb5
Apex1,Uba2
Apex1,Ung
Apex1,Usp39
Apex1,Utp14a
Apex1,Wdr3
Apex1,Wdr43
Apex1,Wdr75
Apex1,Xpo1
Apex1,Ythdf1
Apex1,Zfp330
Apex1,Zmynd19
Apex1,Znhit6
Apex1,Nr1d1
Apex1,Smarcc1
Apex1,E2f3
Apex1,Smad2
Arhgap11a,Uhrf1
Arhgap11a,Stat5b
Arhgap11a,Klf9
Arhgap11a,Top2a
Arhgap11a,Hmgb2
Arhgap11a,Atoh8
Arhgap11a,Mybl2
Arhgap11a,Klf15
Arhgap11a,Ssrp1
Arhgap11a,Ezh2
Arhgap11a,Hells
Arhgap11a,Dnmt1
Arhgap11a,Hnrnpab
Arhgap11a,Hdac1
Arhgap11a,Tfdp1
Arhgap11a,Rbbp8
Arhgap11a,E2f1
Arhgap11a,E2f3
Arhgap11a,Cggbp1
Arhgap11a,Tmpo
Arhgap11a,Npm1
Arhgap11a,Pcna
Arhgap11a,Zbtb20
Arhgap11a,Zbtb16
Arhgap11a,Mxd3
Arhgap11a,Sfpq
Aurka,Uhrf1
Aurka,Topors
Aurka,Psmc3ip
Aurka,Klf9
Aurka,Top2a
Aurka,Ruvbl2
Aurka,Hmgb2
Aurka,Mybl2
Aurka,Nolc1
Aurka,Ezh2
Aurka,Hells
Aurka,Sap30
Aurka,Hdac3
Aurka,Tfdp1
Aurka,Rbbp8
Aurka,Smarcc1
Aurka,E2f1
Aurka,Foxm1
Aurka,Tmpo
Aurka,Gtf2f1
Aurka,Pcna
Aurka,Gtf2e2
Aurka,Ppp1r8
Aurka,Zbtb20
Aurka,Mxd3
Aurkb,Uhrf1
Aurkb,Klf9
Aurkb,Top2a
Aurkb,Ruvbl2
Aurkb,Hmgb2
Aurkb,Mybl2
Aurkb,Ssrp1
Aurkb,Pa2g4
Aurkb,Ezh2
Aurkb,Hells
Aurkb,Dnmt1
Aurkb,Hnrnpab
Aurkb,Hdac1
Aurkb,Tfdp1
Aurkb,Rbbp8
Aurkb,Smarcc1
Aurkb,E2f1
Aurkb,E2f3
Aurkb,Foxm1
Aurkb,Tmpo
Aurkb,Npm1
Aurkb,Pcna
Aurkb,Ppp1r8
Aurkb,Zbtb20
Aurkb,Mxd3
Aurkb,Sfpq
Bms1,Psmc3ip
Bms1,Rfc1
Bms1,Trim27
Bms1,Ssrp1
Bms1,Atf1
Bms1,Thoc1
Bms1,Zc3h8
Bms1,Cnbp
Bms1,Npm1
Bms1,Tardbp
Bms1,Gtf2e2
Bms1,Tada2a
Bms1,Ddx1
Bms1,Dnajc2
Bms1,Taf13
Bub1b,Med6
Bub1b,Uhrf1
Bub1b,Psmc3ip
Bub1b,Rfc1
Bub1b,Klf9
Bub1b,Top2a
Bub1b,Ruvbl2
Bub1b,Hmgb2
Bub1b,Mybl2
Bub1b,Trim28
Bub1b,Ssrp1
Bub1b,Pa2g4
Bub1b,Set
Bub1b,Ezh2
Bub1b,Hells
Bub1b,Dnmt1
Bub1b,Hnrnpab
Bub1b,Hdac1
Bub1b,Tfdp1
Bub1b,Smarca5
Bub1b,Rbbp8
Bub1b,Smarcc1
Bub1b,E2f1
Bub1b,Foxm1
Bub1b,Tmpo
Bub1b,Npm1
Bub1b,Gtf2f1
Bub1b,Pcna
Bub1b,Gtf2e2
Bub1b,Ppp1r8
Bub1b,Zbtb20
Bub1b,Mxd3
Bub3,Med6
Bub3,Cbfb
Bub3,Rfc1
Bub3,Smarce1
Bub3,Suz12
Bub3,Nfyb
Bub3,Ctcf
Bub3,Thoc1
Bub3,Aebp2
Bub3,Hnrnpab
Bub3,Msl3
Bub3,Smarca5
Bub3,Foxn2
Bub3,Bclaf1
C330027C09Rik,Med6
C330027C09Rik,Uhrf1
C330027C09Rik,Klf9
C330027C09Rik,Top2a
C330027C09Rik,Hmgb2
C330027C09Rik,Calcoco1
C330027C09Rik,Mybl2
C330027C09Rik,Ezh2
C330027C09Rik,Hells
C330027C09Rik,Sap30
C330027C09Rik,Tfdp1
C330027C09Rik,Rbbp8
C330027C09Rik,E2f1
C330027C09Rik,Foxm1
C330027C09Rik,Tmpo
C330027C09Rik,Pcna
C330027C09Rik,Taf1d
C330027C09Rik,Zbtb20
C330027C09Rik,Mxd3
C330027C09Rik,Sfpq
Cbx1,Sox12
Cbx1,Cenpb
Cbx1,Stat3
Cbx1,Zfp36
Cbx1,Smarce1
Cbx1,Nr1d1
Cbx1,Trim27
Cbx1,Rbmx
Cbx1,Pa2g4
Cbx1,Hells
Cbx1,Hnrnpab
Cbx1,Tfdp1
Cbx1,Tmpo
Cbx1,Tardbp
Cbx1,Smad2
Cbx1,Irf9
Ccdc34,Uhrf1
Ccdc34,Stat5b
Ccdc34,Top2a
Ccdc34,Hmgb2
Ccdc34,Ezh2
Ccdc34,Hells
Ccdc34,Sap30
Ccdc34,Dnmt1
Ccdc34,Hdac1
Ccdc34,Tfdp1
Ccdc34,Smarca5
Ccdc34,Rbbp8
Ccdc34,Tmpo
Ccdc34,Npm1
Ccdc34,Sfpq
Ccnb1,Med6
Ccnb1,Uhrf1
Ccnb1,Topors
Ccnb1,Ilf2
Ccnb1,Psmc3ip
Ccnb1,Rfc1
Ccnb1,Klf9
Ccnb1,Top2a
Ccnb1,Ruvbl2
Ccnb1,Hmgb2
Ccnb1,Mybl2
Ccnb1,Trim28
Ccnb1,Ssrp1
Ccnb1,Pa2g4
Ccnb1,Set
Ccnb1,Nolc1
Ccnb1,Ezh2
Ccnb1,Hells
Ccnb1,Dnmt1
Ccnb1,Hnrnpab
Ccnb1,Hdac1
Ccnb1,Tfdp1
Ccnb1,Smarca5
Ccnb1,Rbbp8
Ccnb1,Smarcc1
Ccnb1,E2f1
Ccnb1,Foxm1
Ccnb1,Tmpo
Ccnb1,Npm1
Ccnb1,Gtf2f1
Ccnb1,Pcna
Ccnb1,Gtf2e2
Ccnb1,Ppp1r8
Ccnb1,Zbtb20
Ccnb1,Mxd3
Ccnb1,Sfpq
Ccnb1,Taf2
Ccne1,Uhrf1
Ccne1,Klf9
Ccne1,Top2a
Ccne1,Mybl2
Ccne1,Trim28
Ccne1,Pa2g4
Ccne1,Nolc1
Ccne1,Hells
Ccne1,Tfdp1
Ccne1,Smarcc1
Ccne1,E2f1
Ccne1,E2f3
Ccne1,Foxm1
Ccne1,Zbtb20
Ccne1,Tada2a
Ccne1,Mxd3
Ccne2,Uhrf1
Ccne2,Stat3
Ccne2,Nfix
Ccne2,Top2a
Ccne2,Ezh2
Ccne2,Hells
Ccne2,Sap30
Ccne2,Tfdp1
Ccne2,Smarca5
Ccne2,Rbbp8
Ccne2,Tmpo
Ccne2,Gtf2e2
Ccne2,Mxd3
Ccne2,Sfpq
Cct2,Med6
Cct2,Uhrf1
Cct2,Zfp36
Cct2,Ilf2
Cct2,Ilf3
Cct2,Psmc3ip
Cct2,Rfc1
Cct2,Smarce1
Cct2,Psip1
Cct2,Top2a
Cct2,Kdm1a
Cct2,Ruvbl2
Cct2,Nr3c2
Cct2,Mybl2
Cct2,Trim28
Cct2,Trim27
Cct2,Ssrp1
Cct2,Prdm4
Cct2,Nr1h3
Cct2,Sarnp
Cct2,Pa2g4
Cct2,Set
Cct2,Nolc1
Cct2,Ezh2
Cct2,Hells
Cct2,Dnmt1
Cct2,Hnrnpab
Cct2,Hdac2
Cct2,Tfdp1
Cct2,Msl3
Cct2,Smarca5
Cct2,Smarcc1
Cct2,E2f1
Cct2,Npm1
Cct2,Tardbp
Cct2,Rbmxl1
Cct2,Gtf2f1
Cct2,Pcna
Cct2,Gtf2e2
Cct2,Taf1d
Cct2,Tada2a
Cct2,Ddx1
Cct2,Dnajc2
Cct2,Sfpq
Cct2,Taf2
Cct5,Ppara
Cct5,Stat3
Cct5,Zfp36
Cct5,Ilf2
Cct5,Ilf3
Cct5,Psmc3ip
Cct5,Rfc1
Cct5,Smarce1
Cct5,Psip1
Cct5,Hnrnpk
Cct5,Top2a
Cct5,Kdm1a
Cct5,Nr3c2
Cct5,Nr1d1
Cct5,Trim28
Cct5,Trim27
Cct5,Ssrp1
Cct5,Prdm4
Cct5,Nr1h3
Cct5,Sarnp
Cct5,Pa2g4
Cct5,Set
Cct5,Ezh2
Cct5,Hells
Cct5,Dnmt1
Cct5,Hnrnpab
Cct5,Hdac2
Cct5,Tfdp1
Cct5,Msl3
Cct5,Cebpa
Cct5,Rbbp5
Cct5,Smarcc1
Cct5,E2f1
Cct5,Cnbp
Cct5,Zbtb7b
Cct5,Npm1
Cct5,Rbmxl1
Cct5,Rxra
Cct5,Zfp422
Cct5,Gtf2e2
Cct5,Tada2a
Cct5,Smad2
Cct5,Ddx1
Cct5,Sfpq
Cct5,Ddx58
Cct6a,Ilf2
Cct6a,Kdm1a
Cct6a,Pa2g4
Cct6a,Set
Cct6a,Nolc1
Cct6a,Hnrnpab
Cct6a,Hdac2
Cct6a,Tfdp1
Cct6a,Smarcc1
Cct6a,Npm1
Cct6a,Rbmxl1
Cct6a,Tada2a
Cct6a,Ddx1
Cct7,Ilf2
Cct7,Ilf3
Cct7,Psmc3ip
Cct7,Psip1
Cct7,Kdm1a
Cct7,Ruvbl2
Cct7,Nr3c1
Cct7,Trim28
Cct7,Ssrp1
Cct7,Prdm4
Cct7,Hdac2
Cct7,Cebpa
Cct7,Zbtb7b
Cct7,Gtf2f1
Cct7,Gtf2e2
Cct7,Tada2a
Cct7,Ddx1
Cct7,Taf11
Cdc123,Vps72
Cdc123,Drap1
Cdc123,Smarce1
Cdc123,Klf13
Cdc123,Atf1
Cdc123,Hnrnpab
Cdc123,Gtf2e2
Cdc123,Ddx1
Cdc45,Uhrf1
Cdc45,Stat3
Cdc45,Psmc3ip
Cdc45,Rfc1
Cdc45,Klf9
Cdc45,Top2a
Cdc45,Ruvbl2
Cdc45,Hmgb2
Cdc45,Mybl2
Cdc45,Pa2g4
Cdc45,Nolc1
Cdc45,Ezh2
Cdc45,Hells
Cdc45,Hdac1
Cdc45,Tfdp1
Cdc45,Rbbp8
Cdc45,E2f1
Cdc45,Foxm1
Cdc45,Tmpo
Cdc45,Gtf2f1
Cdc45,Pcna
Cdc45,Ppp1r8
Cdc45,Mxd3
Cdc6,Med6
Cdc6,Uhrf1
Cdc6,Stat3
Cdc6,Psmc3ip
Cdc6,Rfc1
Cdc6,Klf9
Cdc6,Top2a
Cdc6,Ruvbl2
Cdc6,Hmgb2
Cdc6,Mybl2
Cdc6,Trim28
Cdc6,Ssrp1
Cdc6,Pa2g4
Cdc6,Set
Cdc6,Nolc1
Cdc6,Ezh2
Cdc6,Hells
Cdc6,Dnmt1
Cdc6,Hnrnpab
Cdc6,Hdac1
Cdc6,Tfdp1
Cdc6,Smarca5
Cdc6,Rbbp8
Cdc6,Smarcc1
Cdc6,E2f1
Cdc6,Foxm1
Cdc6,Tmpo
Cdc6,Npm1
Cdc6,Tardbp
Cdc6,Rbmxl1
Cdc6,Pcna
Cdc6,Gtf2e2
Cdc6,Taf1d
Cdc6,Ppp1r8
Cdc6,Zbtb20
Cdc6,Mxd3
Cdc6,Sfpq
Cdca2,Uhrf1
Cdca2,Topors
Cdca2,Psmc3ip
Cdca2,Rfc1
Cdca2,Klf9
Cdca2,Top2a
Cdca2,Ruvbl2
Cdca2,Hmgb2
Cdca2,Mybl2
Cdca2,Trim28
Cdca2,Ssrp1
Cdca2,Pa2g4
Cdca2,Ezh2
Cdca2,Hells
Cdca2,Dnmt1
Cdca2,Hdac1
Cdca2,Tfdp1
Cdca2,Smarca5
Cdca2,Rbbp8
Cdca2,Smarcc1
Cdca2,Foxm1
Cdca2,Tmpo
Cdca2,Pcna
Cdca2,Gtf2e2
Cdca2,Zbtb20
Cdca2,Mxd3
Cdca4,Uhrf1
Cdca4,Ppara
Cdca4,Rps3
Cdca4,Cbfb
Cdca4,Klf9
Cdca4,Smarce1
Cdca4,Hnrnpk
Cdca4,Top2a
Cdca4,Nr3c2
Cdca4,Hmgb2
Cdca4,Nr1d1
Cdca4,Klf15
Cdca4,Trim28
Cdca4,Trim27
Cdca4,Ssrp1
Cdca4,Pa2g4
Cdca4,Set
Cdca4,Ezh2
Cdca4,Hells
Cdca4,Dnmt1
Cdca4,Hnrnpab
Cdca4,Hdac1
Cdca4,Rbbp8
Cdca4,E2f1
Cdca4,Cggbp1
Cdca4,Tmpo
Cdca4,Npm1
Cdca4,Ppargc1a
Cdca4,Rbmxl1
Cdca4,Pcna
Cdca4,Zbtb20
Cdca5,Uhrf1
Cdca5,Psmc3ip
Cdca5,Rfc1
Cdca5,Klf9
Cdca5,Top2a
Cdca5,Ruvbl2
Cdca5,Hmgb2
Cdca5,Mybl2
Cdca5,Trim28
Cdca5,Ssrp1
Cdca5,Pa2g4
Cdca5,Set
Cdca5,Ezh2
Cdca5,Hells
Cdca5,Dnmt1
Cdca5,Hnrnpab
Cdca5,Hdac1
Cdca5,Tfdp1
Cdca5,Rbbp8
Cdca5,Smarcc1
Cdca5,E2f1
Cdca5,E2f3
Cdca5,Foxm1
Cdca5,Tmpo
Cdca5,Npm1
Cdca5,Pcna
Cdca5,Gtf2e2
Cdca5,Zbtb20
Cdca5,Mxd3
Cdca5,Cry2
Cdca7,Uhrf1
Cdca7,Stat5b
Cdca7,Top2a
Cdca7,Hmgb2
Cdca7,Mybl2
Cdca7,Pa2g4
Cdca7,Set
Cdca7,Ezh2
Cdca7,Hells
Cdca7,Csrnp1
Cdca7,Sp1
Cdca7,Dnmt1
Cdca7,Hnrnpab
Cdca7,Hdac1
Cdca7,Tfdp1
Cdca7,Smarca5
Cdca7,Smarcc1
Cdca7,Tmpo
Cdca7,Tardbp
Cdca7,Pcna
Cdca7,Taf1d
Cdca7,Zbtb20
Cdca7,Mxd3
Cdca7,Cry2
Cdca8,Uhrf1
Cdca8,Psmc3ip
Cdca8,Rfc1
Cdca8,Klf9
Cdca8,Top2a
Cdca8,Ruvbl2
Cdca8,Hmgb2
Cdca8,Mybl2
Cdca8,Trim28
Cdca8,Ssrp1
Cdca8,Pa2g4
Cdca8,Set
Cdca8,Ezh2
Cdca8,Hells
Cdca8,Dnmt1
Cdca8,Hnrnpab
Cdca8,Hdac1
Cdca8,Tfdp1
Cdca8,Rbbp8
Cdca8,Smarcc1
Cdca8,E2f1
Cdca8,E2f3
Cdca8,Foxm1
Cdca8,Tmpo
Cdca8,Npm1
Cdca8,Gtf2f1
Cdca8,Pcna
Cdca8,Gtf2e2
Cdca8,Zbtb20
Cdca8,Zbtb16
Cdca8,Mxd3
Cdca8,Sfpq
Cdk4,Uhrf1
Cdk4,Ilf3
Cdk4,Psmc3ip
Cdk4,Mybbp1a
Cdk4,Klf9
Cdk4,Smarce1
Cdk4,Ruvbl2
Cdk4,Hmgb1
Cdk4,Trim28
Cdk4,Ssrp1
Cdk4,Pa2g4
Cdk4,Set
Cdk4,Nolc1
Cdk4,Ezh2
Cdk4,Tead2
Cdk4,Dnmt1
Cdk4,Hnrnpab
Cdk4,Tfdp1
Cdk4,Smarcc1
Cdk4,E2f1
Cdk4,Tmpo
Cdk4,Npm1
Cdk4,Rbmxl1
Cdk4,Pcna
Cdk4,Ppp1r8
Cdk4,Tcf3
Cdk4,Mxd3
Cdt1,Uhrf1
Cdt1,Cdk9
Cdt1,Pml
Cdt1,Klf9
Cdt1,Suz12
Cdt1,Top2a
