Genesymbol	0	1	2	3	4	5	6
Dedd2	2.711383333	4.298176667	5.230686667	8.134283333	9.151993333	8.52091	8.0589
Dhx33	14.92396667	26.13316667	29.77606667	27.67216667	30.71873333	23.0652	32.08796667
Dmap1	16.55896667	23.25486667	22.3475	23.2175	23.9386	25.18513333	24.89633333
Dmrt1	0.0	0.0	0.0	0.014661733	0.238616667	0.840063667	8.91988
Dmtf1	20.19116667	17.4308	22.18396667	21.1891	20.44243333	21.01786667	28.9598
Dnajb6	35.2861	28.69133333	30.89766667	32.8178	32.95576667	40.37706667	57.69703333
Dnajc2	34.49053333	63.52813333	61.44446667	77.65326667	75.7885	80.67536667	98.04466667
Dnmt1	27.4451	109.9716667	101.5466667	91.7695	91.46746667	85.04536667	66.50226667
Dnmt3a	7.21641	13.4702	17.24973333	11.6844	14.8649	18.63546667	57.20263333
Dnmt3b	0.571001	4.842936667	11.04476667	16.6995	47.5245	39.11486667	204.9636667
Dr1	18.8541	21.65653333	21.35513333	22.0425	19.2577	19.8717	27.2619
Drap1	233.3383333	125.8043333	110.357	116.5176667	112.0743333	124.6246667	86.08276667
E2f1	16.82863333	16.57793333	14.96826667	16.3091	15.2589	14.6225	13.69453333
E2f2	0.561374333	6.77183	5.382353333	6.05082	4.772056667	3.936473333	2.321923333
E2f3	20.0797	25.68703333	30.409	29.69703333	21.47513333	12.6114	19.34416667
E2f4	33.1319	46.43753333	49.2908	53.61906667	57.792	59.58713333	72.88526667
E2f5	12.00436667	12.2209	13.52636667	12.2788	13.5689	17.7241	26.8867
E2f6	39.30946667	39.30913333	33.8272	33.11786667	28.10656667	23.83996667	24.70316667
E2f7	5.05714	10.61582667	10.05716	9.623416667	6.59677	5.432226667	9.50023
E2f8	6.563556667	8.786823333	7.766423333	9.641653333	7.061366667	6.16287	14.4282
E4f1	6.870736667	8.436423333	8.996596667	9.902366667	9.340166667	11.514	6.892546667
Ebf1	4.788323333	0.611219	0.086374867	0.308924667	0.244353667	0.140313667	0.69045
Ebf2	2.951366667	0.107779067	0.006097933	0.0355348	0.039084333	0.026172567	0.0655394
Ebf3	3.953956667	6.791196667	5.43121	1.227093333	0.143695167	0.1076453	0.112455333
Edf1	191.8866667	115.5576667	97.8688	123.827	121.3266667	135.7203333	119.89
