Source,Target
Cds1,Tfcp2
Cds1,Klf5
Cds1,Jarid2
Cds1,Ovol2
Cds1,Zfp281
Cds1,Cc2d1a
Cds1,Relb
Cds1,Smad1
Cds1,Elf3
Cds1,Rb1
Ceacam1,Tcf7l2
Ceacam1,Pparg
Ceacam1,Mier1
Ceacam1,Satb2
Ceacam1,Tfcp2l1
Ceacam1,Zbtb7a
Ceacam1,Mlx
Ceacam1,Elf3
Chmp4c,Zkscan17
Chmp4c,Klf5
Chmp4c,Atf5
Chmp4c,Lass6
Chmp4c,Hinfp
Chmp4c,Jarid2
Chmp4c,Elf3
Chmp4c,Irf6
Ckmt1,Myb
Ckmt1,Klf5
Ckmt1,Esrra
Ckmt1,Plagl2
Ckmt1,Satb2
Ckmt1,Lass6
Ckmt1,Ascl2
Ckmt1,Jarid2
Ckmt1,Tfcp2l1
Ckmt1,Hhex
Ckmt1,Ovol2
Ckmt1,Zfp281
Ckmt1,Cc2d1a
Ckmt1,Smad1
Ckmt1,Elf3
Ckmt1,Irf6
Ckmt1,Rb1
Cldn3,Foxa2
Cldn3,Tfcp2l1
Cldn3,Elf3
Cldn3,Irf6
Cldn4,Klf5
Cldn4,Elf3
Cldn4,Irf6
Cldn7,Klf4
Cldn7,Klf5
Cldn7,Plagl2
Cldn7,Klf12
Cldn7,Atf5
Cldn7,Fos
Cldn7,Jarid2
Cldn7,Tfcp2l1
Cldn7,Ovol2
Cldn7,Elf3
Cldn7,Irf6
Crb3,Phtf2
Crb3,Elf3
Crb3,Irf6
Cyb561,Fos
Cyb561,Irf6
Cyp2s1,Trim16
Cyp2s1,Sox13
Cyp2s1,Elf3
Dpep1,Trim16
Dpep1,Epas1
Dpep1,Relb
Dsg2,Sox9
Dsg2,Nr5a2
Dsg2,Zbtb7a
Dsg2,Bcl6b
Dsg2,Elf3
Dsg2,Irf6
Dsp,Gatad1
Dsp,Cdkn2a
Dsp,Irf6
Dsp,Zfp217
Edn2,Ppard
Edn2,Zkscan17
Edn2,Klf5
Edn2,Lass6
Edn2,Ascl2
Edn2,Ovol2
Edn2,Elf3
Elf3,Myb
Elf3,Ppard
