TF	Gene	Input
Baiap2l1	Irf6	1
Bcas1	Myb	1
Bcas1	Ppard	1
Bcas1	Satb2	1
Bcas1	Fosl2	1
Bcas1	Ascl2	1
Bcas1	Tfcp2l1	1
Bcas1	Grhl2	1
Bcas1	Smad1	1
Bcas1	Elf3	1
Bspry	Tfcp2	1
Bspry	Klf5	1
Bspry	Satb2	1
Bspry	Atf5	1
Bspry	Jarid2	1
Bspry	Tfcp2l1	1
Bspry	Ovol2	1
Bspry	Smad1	1
Bspry	Elf3	1
C77080	Spata24	1
C77080	Zbtb7b	1
C77080	Elf3	1
C77080	Irf6	1
Car4	Trim16	1
Car4	Sox13	1
Car4	Lass4	1
Car4	Elf3	1
Cblc	Ppard	1
Cblc	Zfp184	1
Cblc	Zbtb7a	1
Cblc	Mlx	1
Cblc	Bcl6b	1
Cblc	Elf3	1
Cblc	Irf6	1
Ccdc68	Pml	1
Ccdc68	Fosl2	1
Ccdc68	E2f6	1
Ccdc68	Elf1	1
Ccdc68	Elf3	1
Ccdc68	Irf6	1
Cdcp1	Mafg	1
Cdcp1	Atf5	1
Cdcp1	Ets2	1
Cdcp1	Elf3	1
Cdcp1	Irf6	1
Cdcp1	Zfp217	1
Cdh1	Elk1	1
Cdh1	Gatad1	1
Cdh1	Klf5	1
Cdh1	Cbx2	1
Cdh1	Tfcp2l1	1
Cdh1	Cdkn2a	1
Cdh1	Elf3	1
Cdh1	Irf6	1
Cdh1	Zfp217	1
Cds1	Myb	1
Cds1	Tfcp2	1
Cds1	Klf5	1
Cds1	Jarid2	1
Cds1	Ovol2	1
Cds1	Zfp281	1
Cds1	Cc2d1a	1
Cds1	Relb	1
Cds1	Smad1	1
Cds1	Elf3	1
Cds1	Rb1	1
Ceacam1	Tcf7l2	1
Ceacam1	Pparg	1
Ceacam1	Mier1	1
Ceacam1	Satb2	1
Ceacam1	Tfcp2l1	1
Ceacam1	Zbtb7a	1
Ceacam1	Mlx	1
Ceacam1	Elf3	1
Chmp4c	Zkscan17	1
Chmp4c	Klf5	1
Chmp4c	Atf5	1
Chmp4c	Lass6	1
Chmp4c	Hinfp	1
Chmp4c	Jarid2	1
Chmp4c	Elf3	1
Chmp4c	Irf6	1
Ckmt1	Myb	1
Ckmt1	Klf5	1
Ckmt1	Esrra	1
Ckmt1	Plagl2	1
Ckmt1	Satb2	1
Ckmt1	Lass6	1
Ckmt1	Ascl2	1
Ckmt1	Jarid2	1
Ckmt1	Tfcp2l1	1
Ckmt1	Hhex	1
Ckmt1	Ovol2	1
Ckmt1	Zfp281	1
Ckmt1	Cc2d1a	1
Ckmt1	Smad1	1
Ckmt1	Elf3	1
Ckmt1	Irf6	1
Ckmt1	Rb1	1
Cldn3	Foxa2	1
Cldn3	Tfcp2l1	1
Cldn3	Elf3	1
Cldn3	Irf6	1
Cldn4	Klf5	1
Cldn4	Elf3	1
Cldn4	Irf6	1
Cldn7	Klf4	1
Cldn7	Klf5	1
Cldn7	Plagl2	1
Cldn7	Klf12	1
Cldn7	Atf5	1
Cldn7	Fos	1
Cldn7	Jarid2	1
Cldn7	Tfcp2l1	1
Cldn7	Ovol2	1
Cldn7	Elf3	1
Cldn7	Irf6	1
Crb3	Phtf2	1
Crb3	Elf3	1
Crb3	Irf6	1
Cyb561	Fos	1
Cyb561	Irf6	1
Cyp2s1	Trim16	1
Cyp2s1	Sox13	1
Cyp2s1	Elf3	1
Dpep1	Trim16	1
Dpep1	Epas1	1
Dpep1	Relb	1
Dsg2	Sox9	1
Dsg2	Nr5a2	1
Dsg2	Zbtb7a	1
Dsg2	Bcl6b	1
Dsg2	Elf3	1
Dsg2	Irf6	1
Dsp	Gatad1	1
Dsp	Cdkn2a	1
Dsp	Irf6	1
Dsp	Zfp217	1
Edn2	Ppard	1
Edn2	Zkscan17	1
Edn2	Klf5	1
Edn2	Lass6	1
Edn2	Ascl2	1
Edn2	Ovol2	1
Edn2	Elf3	1
Elf3	Myb	1
Elf3	Ppard	1
Elf3	Klf5	1
Elf3	Plagl2	1
Elf3	Satb2	1
Elf3	Fosl2	1
Elf3	Ascl2	1
Elf3	Jarid2	1
Elf3	Tfcp2l1	1
Elf3	Ovol2	1
Elf3	Grhl2	1
Elf3	Zfp281	1
Elf3	Creb3l1	1
Elf3	Smad1	1
Elf3	Ghr	1
Elf3	Lifr	1
Elf3	0610010O12Rik	1
Elf3	9130008F23Rik	1
Elf3	Abcb1a	1
Elf3	Ahcyl2	1
Elf3	Aim1l	1
Elf3	B3gnt7	1
Elf3	BC046404	1
Elf3	Bcl2l14	1
Elf3	Cgn	1
Elf3	Cgref1	1
Elf3	Cnnm4	1
Elf3	Coro1b	1
Elf3	Cs	1
Elf3	Elmo3	1
Elf3	Elovl7	1
Elf3	Epcam	1
Elf3	Eps8	1
Elf3	Eps8l2	1
Elf3	Erbb2	1
Elf3	Erbb3	1
Elf3	Espn	1
Elf3	F2rl1	1
Elf3	Fam83h	1
Elf3	Fam98c	1
Elf3	Fbxo25	1
Elf3	Frk	1
Elf3	Fzd5	1
Elf3	Gale	1
Elf3	Galnt12	1
Elf3	Galnt3	1
Elf3	Galnt6	1
Elf3	Galnt7	1
Elf3	Gipc2	1
Elf3	Glod5	1
Elf3	Gmds	1
Elf3	Gna11	1
Elf3	Golm1	1
Elf3	Gpa33	1
Elf3	Gpr160	1
Elf3	Gpx2	1
Elf3	Grb7	1
Elf3	Hook2	1
Elf3	Igsf9	1
Elf3	Ildr1	1
Elf3	Itga3	1
Elf3	Itgb4	1
Elf3	Itpr3	1
Elf3	Kcnk1	1
Elf3	Kcnn4	1
Elf3	Krt18	1
Elf3	Krt19	1
Elf3	Krt20	1
Elf3	Krt7	1
Elf3	Krt8	1
Elf3	Krtcap3	1
Elf3	Lad1	1
Elf3	Liph	1
Elf3	Llgl2	1
Elf3	Lrrc31	1
Elf3	Mal2	1
Elf3	Mapk13	1
Elf3	Marveld3	1
Elf3	Metrnl	1
Elf3	Mfsd4	1
Elf3	Mgat3	1
Elf3	Mgat4a	1
Elf3	Mgat5	1
Elf3	Mgst2	1
Elf3	Mtmr11	1
Elf3	Myh14	1
Elf3	Myo1a	1
Elf3	Myo5c	1
Elf3	Ocln	1
Elf3	Oit1	1
Elf3	Pak1	1
Elf3	Pak4	1
Elf3	Pde9a	1
Elf3	Pglyrp1	1
Elf3	Pkp3	1
Elf3	Pla2g10	1
Elf3	Plcb3	1
Elf3	Plch1	1
Elf3	Plek2	1
Elf3	Plekha7	1
Elf3	Plekhb2	1
Elf3	Plekhh1	1
Elf3	Pllp	1
Elf3	Pls1	1
Elf3	Ppfia3	1
Elf3	Prr13	1
Elf3	Prss32	1
Elf3	Prss8	1
Elf3	Pycard	1
Elf3	Rab11fip1	1
Elf3	Rab25	1
Elf3	Rassf6	1
Elf3	Rassf7	1
Elf3	Rfk	1
Elf3	Rhpn2	1
Elf3	Scamp2	1
Elf3	Sdcbp2	1
Elf3	Serinc2	1
Elf3	Sfn	1
Elf3	Shroom3	1
Elf3	Slc25a24	1
Elf3	Slc26a2	1
Elf3	Slc35c1	1
Elf3	Slc37a1	1
Elf3	Slc39a4	1
Elf3	Slc6a8	1
Elf3	Spink3	1
Elf3	Spint1	1
Elf3	Spint2	1
Elf3	St14	1
Elf3	Stap2	1
Elf3	Styk1	1
Elf3	Sult2b1	1
Elf3	Tjp3	1
Elf3	Tmc4	1
Elf3	Tmem102	1
Elf3	Tmem20	1
Elf3	Tmem238	1
Elf3	Tmem30b	1
Elf3	Tmem54	1
Elf3	Tmem79	1
Elf3	Tnk1	1
Elf3	Tpd52	1
Elf3	Tprn	1
Elf3	Trim40	1
Elf3	Trpm4	1
Elf3	Tspan8	1
Elf3	Ush1c	1
Elf3	Usp43	1
Elf3	Vasp	1
Elf3	Vsig10	1
Elf3	Zdhhc13	1
Elmo3	Sarnp	1
Elmo3	Ezh1	1
Elmo3	Irf6	1
Elovl7	Stat5b	1
Elovl7	Gtf2i	1
Elovl7	Klf5	1
Elovl7	Satb2	1
Elovl7	Klf15	1
Elovl7	Jarid2	1
Elovl7	Ovol2	1
Elovl7	Taf1c	1
Elovl7	Smad1	1
Elovl7	Irf6	1
Elovl7	Tnfaip3	1
Endod1	Mecom	1
Endod1	Rcor1	1
Endod1	Satb2	1
Endod1	Tfcp2l1	1
Endod1	Gm98	1
Endod1	Creb3l1	1
Endod1	Smad1	1
Epcam	Nfic	1
Epcam	Klf5	1
Epcam	Plagl2	1
Epcam	Atf5	1
Epcam	Jarid2	1
Epcam	Ovol2	1
Epcam	Grhl2	1
Epcam	Ets2	1
Epcam	Creb3l1	1
Epcam	Irf6	1
Eps8	Klf5	1
Eps8	Plagl2	1
Eps8	Atf5	1
Eps8	Jarid2	1
Eps8l2	Zfp639	1
Eps8l2	Spata24	1
Eps8l2	Irf6	1
Erbb2	Myb	1
Erbb2	Trim16	1
Erbb2	Klf5	1
Erbb2	Zfp367	1
Erbb2	Cux1	1
Erbb2	Fosl2	1
Erbb2	Hes1	1
Erbb2	Grhl2	1
Erbb2	Relb	1
Erbb3	Rreb1	1
Erbb3	Zbtb7b	1
Erbb3	Bmi1	1
Erbb3	Irf6	1
Esrp1	Nfic	1
Esrp1	Mafg	1
Esrp1	Klf5	1
Esrp1	Atf5	1
Esrp1	Irf6	1
Esrp2	Tcea3	1
Esrp2	Zfp750	1
Esrp2	Irf6	1
Esrp2	Taf1	1
F2rl1	Klf5	1
F2rl1	Plagl2	1
F2rl1	Purb	1
F2rl1	Klf15	1
F2rl1	Fos	1
F2rl1	Hhex	1
F2rl1	Ovol2	1
F2rl1	Taf1c	1
F2rl1	Irf6	1
F2rl1	Tnfaip3	1
