source,target,p-value,model
Nkrf,Dcp2,8.308092577563088e-12,-1
Tada2a,Lrrc40,1.0660346162746192e-11,1
Tfdp1,Nup205,1.1707893268183796e-11,-1
Ercc6,Cdk12,1.2422961145382357e-11,-1
Zfp746,Nmnat1,1.3597476858304747e-11,-1
Tfdp1,Eftud2,1.481391679314441e-11,-1
Trp53,Thap6,1.6461566970624846e-11,1
Mta3,Ndufs2,1.6508589346702885e-11,1
Mysm1,Riok1,1.6569892799004572e-11,1
Taf12,2310045N01Rik,1.9813534913838883e-11,-1
Zfp800,Zfp935,2.0501957610749357e-11,-1
Grlf1,Nudt18,2.2318579975677825e-11,-1
Med26,Scp2,2.2863570919410257e-11,-1
Klf15,Aass,2.2866940099425796e-11,-1
Mta3,Sema4b,2.565073036183586e-11,1
Cbfb,Anp32b,2.795524733519852e-11,-1
Dmap1,Bnip1,3.066602186848777e-11,-1
Tada2a,Polr2b,3.089559038797374e-11,-1
Etv3,Mvp,3.1150056207266533e-11,-1
Dhx33,Wdr74,3.2154195846467484e-11,-1
Mier1,Rod1,3.838621122340547e-11,-1
Mtf1,Gucy1b3,4.456289894538975e-11,-1
Nr2c2,Mllt10,4.594618405950076e-11,-1
Tada2a,Nup93,5.6646732446066535e-11,-1
Cbfb,Hnrpdl,6.229042952356672e-11,1
Elf1,Slc35b3,6.285134020361796e-11,-1
Bptf,Zc3h13,7.368773561863098e-11,1
Sall1,Igfbp1,7.567898803658626e-11,-1
Zfp800,Akap9,7.743806002938527e-11,-1
Mta3,Copb2,7.792121076102815e-11,-1
Nr1i3,Ugt2b5,7.872914217173968e-11,-1
Naca,Rpl28,8.336588191241382e-11,1
Hmg20a,Srrm2,8.433410830531217e-11,1
Tcf12,Rfx7,8.463555003904081e-11,1
Tmpo,Anp32e,9.303754989307652e-11,-1
Zfp865,Gtpbp1,9.566688411304292e-11,-1
Nfat5,Erbb2ip,1.0559073541514822e-10,-1
Etv3,Erbb2ip,1.1353980253028859e-10,-1
Mysm1,Huwe1,1.1685945117446219e-10,-1
Dmap1,Alkbh7,1.1833490966729697e-10,-1
Zfp143,Pus3,1.203501004512616e-10,-1
Tcf12,Ppp1r12a,1.2042084946555697e-10,-1
Nr1i3,Apoa1,1.2246399745440687e-10,-1
Smarcc2,Mrps9,1.2503908603139028e-10,-1
Ptges2,Ndufs2,1.3571878373387037e-10,-1
Chd4,Zc3h15,1.3826678609201735e-10,-1
Bdp1,Zw10,1.4104958710284553e-10,-1
Dhx33,Wdr5,1.5259777887643624e-10,-1
Mier1,Ccng2,1.6548757638158711e-10,-1
Mysm1,Rbm25,1.6701839609551973e-10,-1
Mysm1,Nisch,1.7487649187548568e-10,-1
Tcf3,Ctdnep1,1.832209348948574e-10,-1
Mta3,Cd81,1.8429358325771965e-10,1
Prdm4,Cct7,2.2045254973813156e-10,1
Ubp1,Atad2b,2.5074988302529896e-10,-1
Gtf3a,Ppp1ca,2.6106023845253296e-10,1
Rcor3,Ndufa1,2.837974180719255e-10,1
Ahctf1,Ythdc1,2.860014371490407e-10,-1
Bptf,Msi2,3.1782007831163125e-10,-1
Epas1,9430020K01Rik,3.2605441907555057e-10,-1
Med26,Nup188,3.353509865334914e-10,-1
Set,Hmgn2,3.7183593591437606e-10,-1
Dmap1,Dph3,3.8562840825298627e-10,-1
Kdm5c,Pds5a,3.944870784064603e-10,-1
Kdm5a,Zc3h15,5.603532728301528e-10,-1
Dmap1,Rnaseh2a,5.634692578773964e-10,-1
Nr2c2,Vps13a,5.906736016552653e-10,-1
Hnrnpk,Oaz1,6.336208862762629e-10,-1
Zkscan6,Ercc3,6.372266134033036e-10,-1
Ercc3,Zkscan6,6.372266134033252e-10,-1
Dhx33,Noc4l,6.4036368916472e-10,-1
Zfp865,Hgs,6.543604493315685e-10,1
Bach1,Ankfy1,7.058552498558593e-10,1
Zfp800,Zc3h15,7.141557359454285e-10,-1
Sall1,Inhbe,7.171655753742191e-10,-1
Gtf3a,Kdm1a,7.72558127931766e-10,1
Drap1,Nosip,7.986980312691585e-10,-1
Pcna,Cnot6,8.307385758780652e-10,-1
Ahctf1,Ranbp2,8.362950736020305e-10,-1
Hinfp,Tgs1,8.734796749258922e-10,-1
Nfic,Tspan4,8.892219878068255e-10,-1
Dhx33,Shq1,9.415114322258423e-10,-1
Camta2,Mnd1,1.018248356457154e-09,-1
Nr1i3,Abcg5,1.0967220380137246e-09,-1
Foxk1,Mtor,1.1502183945112498e-09,-1
Mysm1,Prpf38b,1.2634485300104046e-09,-1
Nfat5,Ambra1,1.420777849789321e-09,1
Dhx33,Nup43,1.5580272980040843e-09,-1
Fubp3,Snrnp40,1.6074845877553599e-09,-1
Zfp191,Sox13,1.645345525312036e-09,1
Zfp292,Rfx7,1.680689184080001e-09,-1
Tada2a,Nufip1,1.8691597819367855e-09,-1
Rtf1,Edc3,1.877521262847241e-09,-1
Rbmxl1,Fnta,1.9666440657459163e-09,-1
Mybbp1a,Pabpc4,2.0517792048990705e-09,1
Sp1,Crlf3,2.0724183562202816e-09,-1
Ahctf1,Pan3,2.152491437007789e-09,-1
Gtf2f1,Nudc,2.3008413915310103e-09,1
Nr1i3,Nr1i2,2.3263367113243315e-09,-1
Nr1i2,Nr1i3,2.3263367113244966e-09,-1
Fubp1,Rbm39,2.332692296777291e-09,-1
Foxp4,Ube2m,2.4224363573830025e-09,-1
Kdm5c,Gabpb2,2.4926509764291323e-09,-1
Bcor,Rpl30,2.526470902134703e-09,-1
Rbbp8,Rcan2,2.641419349971186e-09,1
Topors,Atrx,3.225111491488146e-09,-1
Tcf12,L3mbtl3,3.415862118835009e-09,1
Dhx33,Gnl3,3.75519034280042e-09,-1
Zbtb7b,Rxra,3.907621949656311e-09,-1
Mysm1,Actr2,4.007482335781802e-09,1
Gtf3a,Snrpd2,4.138402213362752e-09,1
Kdm5c,Zfp292,4.4157187747471645e-09,-1
Zfp292,Kdm5c,4.415718774747383e-09,-1
Gtf3a,Kars,4.551677572042763e-09,1
Nkrf,Eif3c,4.655662211594662e-09,-1
Bcor,Anp32e,5.080690864895739e-09,1
Mysm1,Itsn2,5.0868605901355855e-09,-1
Hmg20a,Cpsf7,5.244793925345503e-09,1
Tcf12,Cpsf7,5.244794317949714e-09,1
Mtf1,Tmem8,5.305542478758737e-09,1
Mta3,Tmem8,5.305542478758737e-09,1
Smarca4,Ints3,5.330181945106588e-09,-1
Ercc6,Srrm1,5.610529725550654e-09,-1
Bcor,Zfp292,5.641617408756053e-09,-1
Tmpo,Ppp1cc,5.723794656974183e-09,-1
Nfat5,Herc4,5.792111114345329e-09,-1
Rcor1,C030046E11Rik,6.412056756886346e-09,-1
Rcor1,Ahcyl2,6.412056756886346e-09,-1
Cbfb,Ythdf1,6.424797203213623e-09,-1
Mysm1,Birc6,6.984282881101614e-09,-1
Zfp553,Paxip1,7.303870008387583e-09,-1
Atf4,Qsox2,7.657934811566919e-09,-1
Hmg20a,Zcchc7,8.271953782106822e-09,1
Tcf12,Zcchc7,8.271954248520472e-09,1
Zfp93,Dcaf10,8.303895091542799e-09,-1
Ercc6,Zfp207,8.504263339317925e-09,1
Dmap1,Mphosph8,8.951460866395773e-09,1
Zfp574,Bcas3,9.142942523971394e-09,-1
Rxra,Kdm1a,9.625784200488151e-09,1
Zfp800,Rod1,9.818771858896319e-09,-1
Dhx33,H2-Ab1,1.0166199520161032e-08,-1
Ercc6,Birc6,1.0195188866214197e-08,-1
Prdm4,Nup93,1.024337460893521e-08,1
Sfpq,Dhx15,1.0561567731669971e-08,-1
Mecp2,Rsbn1,1.1377877606924198e-08,-1
Irf9,Dock8,1.1688776270519593e-08,-1
Bcor,Phf6,1.1702685354235895e-08,-1
Tada2a,Xpo1,1.2057369919952065e-08,-1
Taf4a,Zfp143,1.2353423024017102e-08,-1
Zfp143,Taf4a,1.2353423024019506e-08,-1
Zfp553,Scaf8,1.2375360100068127e-08,-1
Ubp1,Zcchc11,1.2661825506737064e-08,1
Dhx33,Klhdc10,1.3096288115232631e-08,-1
Ssrp1,Ruvbl1,1.3393650567250595e-08,-1
