Source,Target,PValue
Rbbp8,Tmem176a,0.00012441917068199693
Ubp1,Drap1,0.00012443237831452394
Drap1,Ubp1,0.0001244323783145279
Irf5,C6,0.00012652413493564348
Hinfp,Mdh2,0.00013092718046082475
Thoc1,Smchd1,0.0001368976992236108
Bptf,Thoc1,0.0001381633482988184
Stat3,1700029F09Rik,0.00013894768903312057
Stat3,Dtymk,0.0001409746967636892
Lass2,Lbp,0.00014169936669994373
Ldb1,Mdh1,0.00014262076859190595
Hes6,1300018J18Rik,0.00014299238264679914
Rbmx,Fen1,0.0001441553529606261
Tmf1,Strbp,0.00014584331330978748
Bptf,Ythdc1,0.00014968215579210054
Tcea3,Ces1f,0.00015027490787839452
Srebf2,Ltbr,0.00015925354120595536
Gata6,Plac8,0.00016048352507357745
Med1,Rnmt,0.0001608407540176759
Rbbp5,Mak16,0.00016088318699347963
Cebpa,Vbp1,0.00016647184052992727
Zzz3,Actl6a,0.0001690042885698345
Stat5b,Dcaf8,0.00017444552439311925
Pus1,Polr1b,0.00017498069693189957
Foxa2,Baiap2l1,0.00017550444175402907
Irf5,Cp,0.00017687861444330672
Ldb1,Pgk1,0.00018292057747237023
Epas1,Ptprb,0.00018645094843952763
Cic,Samd4b,0.00018817710779724526
Trim33,Map2k3,0.00018881006386129166
Zfp593,Rnf220,0.00018964100967060535
Creb1,Sumo1,0.00018986194478534522
Trim33,Sumo1,0.00019283886889597096
Sp1,Prpf38b,0.00019304666332066865
Ncor2,Ndufa9,0.00019656453273523034
Zfp292,Luc7l3,0.00019759780696609747
Cdc5l,Nat6,0.00019809144549766034
Nolc1,2310008H09Rik,0.00019986123501491748
Nkrf,Srm,0.0002060296194446865
Epas1,Cldn5,0.00020684943242833102
Klf2,Cdh5,0.00020723989589159923
Med6,Hat1,0.00021090251995575676
Bclaf1,Dek,0.00021158086778621886
Sox18,Bcam,0.00021183375534870142
Rbmx,Tcerg1,0.00021402676921656284
Pa2g4,Dctpp1,0.000215595147680432
Tfdp1,Ncapd3,0.00021583113012259606
Nfkb1,Gstm5,0.0002160856520960424
Trim33,Thoc1,0.00021653536480704215
Thoc1,Trim33,0.00021653536480704215
Rbck1,Fzr1,0.00021705529067398866
Tmpo,Nop58,0.00021842262373532412
Irf5,Pon1,0.00021932026129217231
Rbmx,Topbp1,0.00022229939320352724
Tada2a,Ikbkap,0.00022452443163418088
Nono,Hnrnpm,0.000234507112338311
Mbd3,Pin1,0.00023626811687142544
Maf1,Etnk2,0.000237631713556519
Irf5,F7,0.0002401909866523895
Bcl6,Cd302,0.00024522625076254335
Kdm5a,Smc6,0.0002492815772281449
Tfam,Prmt3,0.00025040296100665283
Nkrf,Exosc1,0.00025284157408280713
Nr1i2,Akr1c12,0.0002629999714180917
Creb1,Gstm5,0.0002680099680314034
Irf5,Rtp3,0.0002743701714568175
Zzz3,Rrs1,0.00027445437921462225
Ncor2,Sdhd,0.0002752417474485711
Mbd3,Med27,0.0002794568311817561
Lass2,Lrg1,0.00028072521547206647
Thoc1,Gtpbp4,0.00028427355831364676
Mafk,Tpra1,0.0002888117509336135
Zbtb16,Fzd4,0.0002933652621664243
Creb1,Smndc1,0.0003046309627593526
Rbmx,Cnot6,0.00030870978650311773
Smarca5,Oplah,0.00031259899221369725
Pus1,Grwd1,0.0003192048624162659
Gabpb2,Sp1,0.00032179450118322776
Sp1,Gabpb2,0.0003217945011832295
Zzz3,Upf3b,0.0003239854071067003
Stat3,Mad2l1,0.00032832454147972327
Kdm5a,Luc7l3,0.0003332943564527246
Zfp593,Noc3l,0.0003335260351009617
Klf2,Gja4,0.0003386284721197383
Gatad1,Mtap,0.00034472937746936273
Zfp292,Ythdc1,0.00034769951992034677
Dnajc2,Noc4l,0.00034861587544182063
Cebpb,Cmas,0.0003488892103085595
Rtf1,Fkbp8,0.0003508875926105807
Terf2ip,Gpaa1,0.00035258691545061457
Ctcf,G3bp2,0.00036212641806287246
Rbbp5,Sumo2,0.00036458124531297084
Hinfp,Pold3,0.0003645827209002765
Irf5,Hp,0.00036568273857561585
Rbbp5,Elp2,0.0003666824923090777
Ddx58,Epha2,0.00037312474578487875
Zfp36,Psmd12,0.00037431373334359167
Mlx,Plxnb1,0.0003791332358216973
Thoc1,Nbn,0.00038583099604956746
Pus1,Wdr74,0.00039759030779105953
Zfp593,Ddx21,0.00039785525652808053
Nr0b2,Rgn,0.00039885902084136026
Chd4,Thoc2,0.000401651560440189
Zfp367,Rpap2,0.0004030865207874871
Sfpq,Utp15,0.0004051737085704249
Lass2,Itih4,0.00040572597359117253
Atxn1l,Smcr7l,0.00042091492017858723
Smarce1,Nup62,0.00042220765579422287
Mef2d,Gsk3a,0.00042286080166506506
Trim33,Mkl1,0.00042454378788222245
Smarce1,D19Bwg1357e,0.00043626157467213357
Nr2f2,Il6st,0.00043744685157340557
Atf6b,Mlf2,0.0004443596933247328
Taf5,Nek2,0.0004465122519182273
Ptges2,Golt1a,0.0004538312912631731
Stat1,Dhx58,0.00045770369533122067
Rbmx,Npm1,0.00045814296321079816
Stat3,Wdr36,0.00045976049746744276
Irf5,Tnfrsf1b,0.00046370143267551755
Zzz3,Etaa1,0.00046393769392908204
Rbmx,Dis3,0.0004783479410851053
Gtf2b,Dcxr,0.00048005294752283246
Ldb1,Ddx39,0.00048164120463907846
Nr1i3,Mbl2,0.0004828391509343612
Lass2,Rin3,0.0004906124052294396
Maf1,Masp1,0.0004929876634536998
Sox18,Egfl7,0.0004930756671971641
Foxa3,Slc39a4,0.0004992751496426381
Srebf2,Map3k11,0.0005096137819390583
Taf13,Tnpo2,0.0005096501125059995
Tcea3,Pdk4,0.0005177081007911334
Hmgb2,Mcrs1,0.0005177419218264924
Rbck1,Skiv2l,0.0005233398987300196
Tcea3,AI464131,0.000530886042409278
Smarce1,Nup85,0.0005371087754070513
Rbmx,Mtf2,0.0005440458664508918
Bptf,Ankrd10,0.0005522712496741424
Irf5,Rin3,0.0005606197033487353
Irf5,Hc,0.0005627706826934068
Ptges2,Pdhb,0.0005654916400709044
Hnrnpd,Eif1ax,0.0005669855787423342
Stat3,Rpa2,0.0005790935822674142
Safb,Arfgef2,0.0005803076581235682
Pbrm1,Zzz3,0.0005906442504109063
E2f8,Lmnb2,0.0005910322111475995
Irf5,C4b,0.000592191344448316
Aebp2,Kin,0.0005924434241219824
Rbl2,Kctd3,0.0005956387240321547
Sp1,Kdm6a,0.0005994581846742163
Rbbp5,Ilf3,0.0006142762021585311
Irf6,Sel1l3,0.0006177402717961145
Zbtb42,Trub1,0.0006202615596055094
Mafk,Nup43,0.0006222374532412888
Rbmx,Mad2l1,0.0006276476440463065
Pa2g4,Timm8a1,0.0006297480776467606
Mybbp1a,Prpf8,0.0006410272981315142
Kdm5a,Rif1,0.0006446421458733413
Pbrm1,Luc7l3,0.0006513661227029649
Clock,Lrba,0.0006586164659850268
Prox1,Serpina10,0.0006692136020747932
Apex1,Rbbp5,0.0006736990634688484
Rbbp5,Apex1,0.0006736990634688484
Irf5,Ly6e,0.0006739534935671387
Clock,Tbc1d8b,0.0006786220008542425
Zbtb16,H6pd,0.0006846453977984656
Zzz3,Chchd10,0.0006912448801869299
Zfp593,Wdr43,0.0006975841419330106
Esr1,Mmp19,0.0007001615985998189
Rybp,Sepx1,0.0007187961176621817
Taf5,Gm2a,0.0007329594428287275
Thoc1,Llph,0.000756006662618564
Tmpo,Smpd4,0.0007611045070274275
Mynn,Paxip1,0.0007632437371679911
Ldb1,Mlf2,0.0007656597271122262
Edf1,Hmgn1,0.0007702492544225165
Zfml,AA987161,0.0007707661161829427
Thoc1,Slc7a6os,0.0007823322624221004
Edf1,Cib1,0.000782958741546055
Rora,Acadsb,0.0007904792101401203
Dnajc2,Mtdh,0.0008001598087300429
Taf5,Herpud1,0.0008015885151561916
Bhlhe40,Gss,0.000804314568486137
Zfp592,0610030E20Rik,0.0008099200256572238
Mga,Bclaf1,0.0008249402505692601
Bclaf1,Mga,0.0008249402505692617
Rbbp5,BC018507,0.000829237944921041
Thoc1,Snrnp48,0.0008319810306201815
App,Grhpr,0.0008338822215400929
Zfx,Smek2,0.0008443967620150344
Tcf3,Fance,0.0008527683005722459
Irf9,Ly6e,0.0008541292191715278
Irf5,Gpr146,0.0008555345176145709
Clock,Arhgap12,0.0008625562708171211
Crebbp,Ppig,0.0008659129390142679
Zzz3,Tex10,0.0009120456948791198
Thap7,Med29,0.0009238748646317647
Lass2,Atp7b,0.0009263416494131458
Dnajc2,Txnl1,0.0009277164544588188
Zfml,Zfp597,0.0009348448393441494
Zbtb16,Fxyd1,0.0009385849812672643
Rbbp5,Tsn,0.0009412206829061466
Rbmx,Uba2,0.0009574604509602017
Nfib,Arhgef26,0.0009818942028515488
Stat3,Rfc4,0.0010046676948900185
Nr0b2,Colec11,0.00100921676091131
Tcf21,Cd97,0.0010185920731011773
Irf5,C3,0.0010238558558175253
C1d,Jup,0.001033169665047201
Wbp7,Pcnxl3,0.0010335252942812098
Nfe2l2,1700019G17Rik,0.0010356221264898955
Zzz3,Topbp1,0.0010463470989582136
Nr0b2,Serpina11,0.001048062444926261
Rbmx,Xpo1,0.0010643965958425704
Rbmx,Mcm4,0.0010662851885788413
Tcf12,L3mbtl3,0.0010699240295226774
Atf2,Ubr3,0.001072398301890528
Mysm1,Ythdc1,0.00107691932559284
Dnmt1,Acp2,0.0010885085255327863
Gabpb2,Riok1,0.001090134276512652
Ldb1,Acin1,0.0011086456129759195
Maf1,Itih3,0.001110587585215842
Hnrpdl,Med20,0.0011300866120329644
Zbtb16,D10Jhu81e,0.0011365910592791336
Tcf7l2,Ppp1r1b,0.0011429867169215878
Rtf1,L3mbtl3,0.001143638608342159
Thoc1,Tra2b,0.0011612438460311858
Arnt,Elp3,0.0011859818682065219
Irf5,Apoe,0.001196303907363531
Sp1,Pds5a,0.0011997044236195687
Stat3,Nudcd2,0.0012407102924966568
Zfp800,Rif1,0.001243464740137025
Cenpb,Spop,0.0012450998099898674
Bdp1,Eed,0.001253985359658609
Tcea3,Klf15,0.0012547518742501986
Mll2,Gsk3a,0.0013037447901620436
Ppara,Fahd1,0.001310080975901547
Pml,Gstm5,0.0013179115015001042
Hnrpdl,Iws1,0.001338009912622409
Irf5,Cfh,0.001342605417846829
Ncoa3,Plekhm1,0.0013472363872795098
Thoc1,Ddx52,0.0013512014326860736
Clock,Hook1,0.0013528658872498398
Irf5,Hsd11b1,0.0013546318530666312
Mecp2,Rab14,0.0013639460871137806
Stat1,Ly6e,0.0013691604079830732
Prdx5,Nacc2,0.001379894963453976
Smarca5,Nat6,0.0014093874459886766
Ddx20,Taf5,0.0014097700166339198
Ptges2,Endog,0.0014129360385238693
Stat3,Rfc5,0.0014401364548660375
E2f8,Nudt1,0.001443359479245056
Prox1,Rapgef4,0.0014511649491638322
Rbbp5,Cacybp,0.0014537071743639315
Nr2c1,Pex19,0.0014684515710023979
Atf6b,Nosip,0.0014857209147804064
Smarcal1,Zfp12,0.001485780706839988
