source,target,p-value,model
Pa2g4,Cbx1,1.0426659255537966e-44,-1
Ptges2,Cox4i1,2.0363909923994679e-44,-1
Foxm1,Mcm5,4.2886615075080507e-44,-1
Etv3,Tank,2.4079086606625582e-43,-1
Nr1h2,Ltbr,3.905159360199362e-43,-1
Apex1,Snrpf,5.273807444051876e-43,-1
Trim30a,Ms4a4c,8.055891216229506e-43,-1
Foxm1,Cdca2,9.14489010131985e-43,-1
Pcna,Mcm3,1.0366051765410983e-42,-1
Pcna,Cdt1,1.809031425623283e-42,-1
Smarce1,Hnrnpa0,1.8886431139016602e-42,-1
Rbbp8,Atad2,2.5511868864377638e-42,-1
Tfdp1,Foxm1,3.0611333467573105e-42,-1
Foxm1,Tfdp1,3.061133346765094e-42,-1
Tfdp1,Rpa2,4.926334168166989e-42,-1
Tcea1,Top2b,5.1497167512914626e-42,-1
Mxd3,Yeats2,5.1839775954414375e-42,-1
Hells,Rpa2,5.300914752033388e-42,-1
Klf15,Gstt1,5.742740086350095e-42,-1
Nfic,Pacsin3,5.903366354991917e-42,-1
Apex1,Tex10,8.144090679369272e-42,-1
Apex1,Cdk4,1.014174079056858e-41,-1
Dnmt1,Lbr,1.3299565943084806e-41,-1
Hmgb2,Klf15,1.7236017554601133e-41,-1
Foxm1,Cenpt,2.882950054352773e-41,-1
Foxm1,Plk1,6.267377645234316e-41,-1
Foxm1,Ttk,8.627174269304891e-41,-1
Maf1,Ten1,9.692691355255374e-41,-1
Xbp1,Pomgnt1,1.2906808530023793e-40,-1
Mxd4,Calcrl,1.3464270873597936e-40,-1
Thoc1,Slc7a6os,2.0428092702047618e-40,1
Jdp2,Fads3,6.7416650824014265e-40,-1
Irf7,Gsdmd,7.129062971560905e-40,-1
Ubp1,Clk2,7.439848610919967e-40,-1
Rcor1,Aim2,7.898990537158623e-40,1
Mef2d,Dyrk1b,1.019642260510774e-39,-1
Foxm1,Top2a,1.4710794966043282e-39,-1
Top2a,Foxm1,1.4710794966076277e-39,-1
Puf60,Ube2i,1.6375476864598087e-39,-1
Tfdp1,Snrpd1,1.920688695915376e-39,-1
Kdm2a,Myo9b,2.4906888090548373e-39,-1
Tardbp,Akap8,2.6263687457905395e-39,1
Hells,Foxm1,2.85874125886742e-39,-1
Foxm1,Hells,2.8587412588685314e-39,-1
Pnn,Akap8,3.604091759181349e-39,1
Stat6,Msn,3.740670965712872e-39,1
Zhx1,Trmt2b,6.161844315917828e-39,-1
Nfya,Tubb4b,8.968961598582024e-39,-1
Trim30a,H2-T24,1.0855039243993762e-38,-1
Irf8,Smagp,1.7749149197686861e-38,-1
Hdac3,Ppil1,2.8690861614107624e-38,-1
Gtf2b,Ubl7,3.827146083047358e-38,-1
Gtf2b,Ubl7,3.827146083047358e-38,-1
Hells,Iscu,4.12800670989799e-38,-1
Foxm1,Cdk1,5.087951631772412e-38,-1
Ppp1r8,Kpnb1,1.1325233393761365e-37,-1
Nolc1,Rfc3,1.1619452281585397e-37,-1
Trim30a,Maged1,1.2597190725291694e-37,-1
Hmgb2,Rbl1,1.577904861378706e-37,-1
Nfic,Neurl2,1.8318465116456594e-37,-1
Elf1,Arhgap9,1.984462822433002e-37,-1
Apex1,Ssrp1,3.3622113463316123e-37,-1
Nfkb1,Pak2,5.92530991953918e-37,-1
Mybl2,Dazap1,8.131075810631393e-37,1
Rbbp5,Zmynd19,1.400144218464658e-36,1
Hdac3,Kif11,1.444881401496247e-36,-1
Apex1,Kars,2.672364836000948e-36,-1
Zfpm1,Vamp4,2.808437932784687e-36,-1
Thoc1,Upf2,3.353141175800301e-36,-1
Purb,Atp2b1,5.6183237106689865e-36,-1
Srebf2,Nrbp1,5.7705233372364046e-36,-1
Mxd4,Napsa,6.102128339084307e-36,-1
Foxn2,Eps15,7.66734597828793e-36,1
Rfx1,Pmaip1,1.9378757434150899e-35,-1
Trp53,Ubap2l,2.1074923287478102e-35,1
Nfyb,Acp1,5.289905697229081e-35,1
Esrrg,Ndufb9,7.719878881449116e-35,-1
Elf4,Tfg,1.289541572745638e-34,-1
Dnmt1,Prim1,1.486944168817959e-34,-1
Rbbp8,Rbl1,2.864294435594743e-34,-1
Mta1,Stx7,2.9702202211800725e-34,-1
Batf,Rinl,3.185294041200728e-34,-1
Ppp1r8,Trim59,3.932622565607725e-34,-1
Apex1,Cacybp,4.106399958290879e-34,-1
Atf1,Anp32e,4.30958416410152e-34,-1
Foxm1,Dlgap5,4.311637421797988e-34,-1
Apex1,Dut,7.794992687537552e-34,-1
Uhrf1,Hells,7.968202545228618e-34,-1
Hells,Uhrf1,7.968202545228618e-34,-1
Ctcf,Akap8,9.347300155862527e-34,1
Apex1,Cks1b,1.1308234161504196e-33,-1
Runx3,Rinl,1.1651005003614318e-33,-1
Irf9,Casp1,1.9896986939489753e-33,-1
Sp100,H2-DMb2,2.244149649329434e-33,-1
Ppp1r8,Msh6,2.353164290420969e-33,-1
