source,target,p-value,model
Ppp1r8,Rrm1,8.223364603760018e-10,-1
Men1,Ubqln1,9.09784472162782e-10,-1
Hnrnpab,Eef1b2,9.553971000435202e-10,-1
Taf9,Nucks1,9.675354181434e-10,-1
Sox18,Esam,1.0824673551117064e-09,-1
Zfp750,Fam25c,1.0949491710705872e-09,1
Phf21a,Ubxn8,1.228371425544303e-09,-1
Sarnp,Hnrnpu,1.3178401678764348e-09,-1
Pa2g4,Snrpf,1.3253408265588109e-09,-1
Phf5a,Kpna2,1.434716958641095e-09,-1
Rnf4,Syncrip,1.4973194624778926e-09,-1
Phf5a,Smc2,1.7208393838059667e-09,-1
Tmpo,Snrpa1,2.070942740184043e-09,-1
Phf5a,Mcm7,2.099934102400258e-09,-1
Hnrnpab,Magoh,2.47912300210887e-09,-1
Hnrnpab,Rpl14,2.568074564565282e-09,-1
Mbd3,Rrp1,2.6108236371082295e-09,-1
Phf5a,Eri2,2.7272762688735953e-09,-1
Rnf4,Kpnb1,2.7801673126815485e-09,-1
Cry1,Ythdc2,3.069333596928812e-09,-1
Tmpo,Cse1l,3.320585309193597e-09,-1
Hnrnpab,Ppp1r8,3.539097627840308e-09,-1
Ppp1r8,Hnrnpab,3.539097627840308e-09,-1
Sarnp,Set,3.768177870808044e-09,-1
Set,Sarnp,3.768177870808227e-09,-1
Ssrp1,Mcm2,3.935648030580733e-09,-1
Srrt,Tspyl2,4.650581153487228e-09,-1
Phf5a,Cdt1,4.7330452463532564e-09,-1
Hnrnpab,Ythdf2,4.761773195375065e-09,-1
Pa2g4,Cdk4,5.1214928675611635e-09,-1
Phf5a,H2afx,5.262774059000534e-09,-1
Gtf2f2,Hnrnpf,6.257530970512903e-09,-1
Gtf2f2,Usp1,6.693225935124747e-09,-1
Nr1d1,Ppp2r1b,6.867171632745215e-09,-1
Hnrnpab,Pwp1,8.024815129686701e-09,-1
Tmpo,Nhp2l1,8.561520366935786e-09,-1
Smarcc2,Lemd2,9.028583355167832e-09,-1
Rbmxl1,Hnrnpa1,9.76081360460345e-09,-1
Zfp593,Ddx39,1.0468654752371256e-08,1
Npm1,Rrm2,1.1307336971287504e-08,-1
Nolc1,Lsg1,1.3849437503975567e-08,-1
Chd1,Mob1b,1.4405628017152601e-08,-1
Set,Siva1,1.4559174564808422e-08,-1
