0,1,2
437,0610007L01Rik,0610007L01Rik
438,0610007P14Rik,0610007P14Rik
439,0610007P22Rik,0610007P22Rik
440,0610009B22Rik,0610009B22Rik
441,0610009D07Rik,0610009D07Rik
442,0610010F05Rik,0610010F05Rik
443,0610011F06Rik,0610011F06Rik
444,0610012H03Rik,0610012H03Rik
445,0610030E20Rik,0610030E20Rik
446,0610037P05Rik,0610037P05Rik
447,0610040J01Rik,0610040J01Rik
448,0910001L09Rik,0910001L09Rik
449,1100001G20Rik,1100001G20Rik
450,1110001J03Rik,1110001J03Rik
451,1110002B05Rik,1110002B05Rik
452,1110002N22Rik,1110002N22Rik
453,1110007C09Rik,1110007C09Rik
454,1110008F13Rik,1110008F13Rik
455,1110008L16Rik,1110008L16Rik
456,1110008P14Rik,1110008P14Rik
457,1110012L19Rik,1110012L19Rik
458,1110018J18Rik,1110018J18Rik
459,1110031I02Rik,1110031I02Rik
460,1110032A03Rik,1110032A03Rik
461,1110037F02Rik,1110037F02Rik
462,1110038D17Rik,1110038D17Rik
463,1110065P20Rik,1110065P20Rik
464,1110067D22Rik,1110067D22Rik
465,1190003J15Rik,1190003J15Rik
466,1190005F20Rik,1190005F20Rik
467,1190005I06Rik,1190005I06Rik
468,1200011I18Rik,1200011I18Rik
469,1200011M11Rik,1200011M11Rik
470,1300002K09Rik,1300002K09Rik
471,1300010F03Rik,1300010F03Rik
472,1300014I06Rik,1300014I06Rik
473,1300017J02Rik,1300017J02Rik
474,1300018J18Rik,1300018J18Rik
475,1500003O03Rik,1500003O03Rik
476,1500012F01Rik,1500012F01Rik
477,1600002H07Rik,1600002H07Rik
478,1700017B05Rik,1700017B05Rik
479,1700019G17Rik,1700019G17Rik
480,1700021F05Rik,1700021F05Rik
481,1700034H14Rik,1700034H14Rik
482,1700066M21Rik,1700066M21Rik
483,1700123O20Rik,1700123O20Rik
484,1810006K21Rik,1810006K21Rik
485,1810011O10Rik,1810011O10Rik
486,1810031K17Rik,1810031K17Rik
487,1810035L17Rik,1810035L17Rik
488,1810037I17Rik,1810037I17Rik
489,1810049H13Rik,1810049H13Rik
490,1810055G02Rik,1810055G02Rik
491,2010003K11Rik,2010003K11Rik
492,2010011I20Rik,2010011I20Rik
493,2010012O05Rik,2010012O05Rik
494,2010106G01Rik,2010106G01Rik
495,2010107E04Rik,2010107E04Rik
496,2010107H07Rik,2010107H07Rik
497,2010305A19Rik,2010305A19Rik
498,2010321M09Rik,2010321M09Rik
499,2200002D01Rik,2200002D01Rik
500,2300009A05Rik,2300009A05Rik
501,2310004I24Rik,2310004I24Rik
502,2310008H09Rik,2310008H09Rik
503,2310009B15Rik,2310009B15Rik
504,2310011J03Rik,2310011J03Rik
505,2310021P13Rik,2310021P13Rik
506,2310022B05Rik,2310022B05Rik
507,2310030G06Rik,2310030G06Rik
508,2310035C23Rik,2310035C23Rik
509,2310035K24Rik,2310035K24Rik
510,2310036O22Rik,2310036O22Rik
511,2310044G17Rik,2310044G17Rik
512,2310045N01Rik,2310045N01Rik
513,2310061C15Rik,2310061C15Rik
514,2310067B10Rik,2310067B10Rik
515,2410003K15Rik,2410003K15Rik
516,2410004B18Rik,2410004B18Rik
517,2410018M08Rik,2410018M08Rik
518,2410091C18Rik,2410091C18Rik
519,2410127L17Rik,2410127L17Rik
520,2500003M10Rik,2500003M10Rik
521,2510039O18Rik,2510039O18Rik
522,2510049J12Rik,2510049J12Rik
523,2610001J05Rik,2610001J05Rik
524,2610002J02Rik,2610002J02Rik
525,2610002M06Rik,2610002M06Rik
526,2610027L16Rik,2610027L16Rik
527,2610034B18Rik,2610034B18Rik
528,2610507B11Rik,2610507B11Rik
529,2610528J11Rik,2610528J11Rik
530,2700029M09Rik,2700029M09Rik
531,2700050L05Rik,2700050L05Rik
532,2700060E02Rik,2700060E02Rik
533,2700062C07Rik,2700062C07Rik
534,2700089E24Rik,2700089E24Rik
535,2700094K13Rik,2700094K13Rik
536,2810002N01Rik,2810002N01Rik
537,2810004N23Rik,2810004N23Rik
538,2810007J24Rik,2810007J24Rik
539,2810008M24Rik,2810008M24Rik
540,2810025M15Rik,2810025M15Rik
541,2810055F11Rik,2810055F11Rik
542,2810403A07Rik,2810403A07Rik
543,2810407C02Rik,2810407C02Rik
544,2810428I15Rik,2810428I15Rik
545,2810459M11Rik,2810459M11Rik
546,2900097C17Rik,2900097C17Rik
547,3110002H16Rik,3110002H16Rik
548,3110043O21Rik,3110043O21Rik
549,3110057O12Rik,3110057O12Rik
550,3830406C13Rik,3830406C13Rik
551,4833420G17Rik,4833420G17Rik
552,4833439L19Rik,4833439L19Rik
553,4833442J19Rik,4833442J19Rik
554,4921524J17Rik,4921524J17Rik
555,4930420K17Rik,4930420K17Rik
556,4930453N24Rik,4930453N24Rik
557,4930471M23Rik,4930471M23Rik
558,4930506M07Rik,4930506M07Rik
559,4931406C07Rik,4931406C07Rik
560,4932438A13Rik,4932438A13Rik
561,4933403F05Rik,4933403F05Rik
562,4933411K20Rik,4933411K20Rik
563,4933424B01Rik,4933424B01Rik
564,4933426M11Rik,4933426M11Rik
565,4933439F18Rik,4933439F18Rik
566,5033411D12Rik,5033411D12Rik
567,5730403B10Rik,5730403B10Rik
568,5730494N06Rik,5730494N06Rik
569,5830473C10Rik,5830473C10Rik
570,6720456B07Rik,6720456B07Rik
571,8430408G22Rik,8430408G22Rik
572,8430410K20Rik,8430410K20Rik
573,9030617O03Rik,9030617O03Rik
574,9030624J02Rik,9030624J02Rik
575,9030625A04Rik,9030625A04Rik
576,9130011J15Rik,9130011J15Rik
577,9130401M01Rik,9130401M01Rik
578,9130409I23Rik,9130409I23Rik
579,9430016H08Rik,9430016H08Rik
580,9530008L14Rik,9530008L14Rik
581,9930021J03Rik,9930021J03Rik
582,A1cf,A1cf
583,A230046K03Rik,A230046K03Rik
584,A230050P20Rik,A230050P20Rik
585,A2ld1,A2ld1
586,A430107O13Rik,A430107O13Rik
587,AI314180,AI314180
588,AI317395,AI317395
589,AI464131,AI464131
590,AI661453,AI661453
591,AI837181,AI837181
592,AU022252,AU022252
593,AU040320,AU040320
594,AW112010,AW112010
595,AW209491,AW209491
596,Aaas,Aaas
597,Aadac,Aadac
598,Aadat,Aadat
599,Aagab,Aagab
600,Aamp,Aamp
601,Aars,Aars
602,Aarsd1,Aarsd1
603,Aasdhppt,Aasdhppt
604,Aass,Aass
605,Aatf,Aatf
606,Abat,Abat
607,Abca2,Abca2
