0,1,2,3,4,5,6,7,8,9
1.5516644,1.6878271,1.728775,1.8516481,1.8775061,1.6484829,1.9057025,1.882343,1.8981142,1.8695076
2.3984172,2.6204515,3.5146098,2.8924081,2.4819267,2.5850601,2.6136036,2.8022199,2.6554687,2.8801687
1.4992199,1.4149601,1.1283938,1.9761243,1.6893989,2.2485397,1.954882,1.7335324,1.6563908,1.6797065
2.005363,1.9063904,1.7724245,2.330527,2.361279,2.2130382,2.2604988,2.414622,2.454213,2.3467252
2.8069289,3.3483264,5.5428133,3.677814,4.237862,4.3215637,4.2137423,4.364295,3.440663,2.8705158
2.4726694,1.7190491,1.1636882,0.8177621,1.2180191,0.7614057,1.1729463,0.9875664,3.0398974,1.5837418
2.9182966,2.9288867,2.9922628,2.5876224,3.2155526,2.826619,3.0518212,2.8396688,2.784405,2.787927
1.1729717,1.2306708,2.1375113,1.6886029,1.8997794,1.9005333,1.5695086,1.7816288,1.4620035,1.0987576
0.93639517,0.97351176,1.327898,1.4407034,1.2554551,1.3472704,1.4467117,1.3296622,1.1537731,1.0764472
3.2909553,5.909063,4.578512,4.4955983,4.192005,4.878995,3.989076,4.2232513,3.4462485,3.1147916
2.3593285,2.3336236,2.1888351,2.981625,2.7605963,2.9585354,2.720772,2.6155005,2.568797,2.4350028
1.1862618,1.289086,1.7047212,1.5991052,1.4960263,1.3209356,1.6583003,1.6615354,1.47399,1.453234
2.2770338,2.1337686,2.2857955,2.6527545,2.6571367,2.705422,2.7621796,2.7649488,2.440944,2.3891315
2.6396863,2.3851824,2.3395333,2.638949,2.466033,2.494046,2.665389,2.5004432,2.5573258,2.5949836
3.3385947,3.029719,2.8997114,3.0157976,2.9820292,3.0274363,3.2345881,3.1694252,3.1534011,3.0141988
2.9716747,2.7329168,1.7529756,2.4320853,2.3312058,2.3900323,2.0730903,1.530133,2.599959,2.7259088
2.207432,2.0036337,1.8114494,2.5311403,2.5791004,2.1736896,2.2104008,2.0905962,2.2654455,2.2682464
4.483648,4.0793843,3.9399025,4.3220925,4.3785005,4.7538695,4.997483,4.904971,5.023732,4.753655
2.347427,2.2325518,2.0168667,2.7226295,2.3743603,2.7030313,2.5255346,2.416259,2.4467437,2.4446263
