GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Prr3,0.018817663,0.09598043,0.017951548,0.06861927,0.017951548,0.068619214,0.017951548,0.068619266,0.017951578,0.068619244,0.017951608,0.0686192,0.011908263,0.07604743
Prr5,-0.050036192,0.06717058,-0.05919388,0.040751547,-0.05919388,0.040751573,-0.05919391,0.04075155,-0.05919388,0.040751565,-0.05919388,0.04075151,-0.05919388,0.040751528
Prrc2a,-0.008386135,0.08220974,-0.008386165,0.08220977,-0.008386105,0.08220977,-0.008386165,0.0822098,-0.008386135,0.08220977,-0.008386135,0.08220977,-0.008386135,0.0822098
Prrc2b,0.017752916,-0.15160467,0.038551122,0.10712105,0.038551092,0.107121184,0.038551092,0.1071211,0.038551092,0.1071211,0.038551092,0.1071211,0.038551092,0.1071211
Prrc2c,0.20397261,0.17150927,0.20397267,0.17150922,0.20397264,0.17150919,0.20397261,0.17150924,0.20397267,0.17150924,0.20397264,0.17150924,0.20397264,0.17150922
Prrg1,-0.110486895,-0.6510432,0.2767035,-0.18738614,0.24763927,-0.028329045,0.31277862,0.07646076,0.3272197,0.21346019,0.32721964,0.21346022,0.3272197,0.21346015
Prrg2,-0.28117228,-0.7924992,-0.037417144,-0.403987,-0.12401575,-0.3287929,0.005823344,-0.17924953,0.034653753,0.10636143,0.034653753,0.106361374,0.034653753,0.10636142
Prrg3,0.07609114,-0.046894554,0.19874462,0.1779375,0.19874457,0.1779375,0.1987446,0.17793746,0.1987446,0.17793748,0.19874462,0.17793745,0.1987446,0.17793746
Prss12,0.010842115,0.096522205,0.010842115,0.096522234,0.010842115,0.096522264,0.0108421445,0.096522205,0.010842115,0.096522234,0.010842115,0.096522234,0.010842115,0.096522234
Prss16,0.0121566355,0.0955969,0.012156606,0.09559695,0.012156665,0.095596924,0.012156665,0.09559689,0.012156665,0.0955969,0.012156665,0.0955969,0.0121566355,0.09559689
Prss23,-0.047386095,-0.42111236,0.22673905,-0.16997196,0.25072458,0.0074957674,0.2580609,0.057605647,0.26421043,0.121561624,0.26421043,0.12156176,0.27084062,0.17836168
Prss32,0.37986764,0.24939565,0.37986764,0.24939561,0.3761455,0.19588023,0.3761455,0.1958803,0.37614557,0.19588026,0.3761455,0.19588025,0.37986764,0.24939561
Prss35,0.04458323,0.10796704,0.04458323,0.10796698,0.04458323,0.10796696,0.04458323,0.10796698,0.04458323,0.10796695,0.0445832,0.107967,0.04458323,0.10796695
Prss36,-0.0072196424,0.08552509,-0.0072196424,0.08552512,-0.007219672,0.08552507,-0.0072196424,0.08552507,-0.0072196424,0.085525066,-0.0072196424,0.08552504,-0.0072196424,0.08552501
Prss8,0.32171878,0.22303493,0.32171872,0.22303487,0.32171866,0.2230349,0.32171872,0.22303495,0.32171872,0.22303495,0.32171872,0.22303492,0.32171872,0.2230349
