GeneSymbol,PValue
Fam122a,0.6
Dcaf13,0.6
Areg,0.6
Upp2,0.6
Wdr3,0.6
Tsr2,0.6
Immt,0.6
Dnajc18,0.6
Mcm3,0.6
Cdca2,0.6
Kif20b,0.6
Sgol1,0.6
Sox2,0.6
2610528A11Rik,0.6
Ncbp2,0.6
Cd247,0.6
Pcgf6,0.6
Foxj1,0.6
Cyc1,0.6
Pvrl4,0.6
Smad6,0.6
Zfp110,0.6
Col4a2,0.6
Ypel1,0.6
Kif18a,0.6
Scamp2,0.6
Slc37a1,0.6
Sparc,0.6
Meis2,0.6
Tsx,0.6
Arhgdia,0.6
Cbx5,0.6
Trmt10c,0.6
Eif3g,0.6
Mns1,0.6
Pik3r2,0.6
Sf3b1,0.6
Ttyh1,0.6
Hn1,0.6
Rab30,0.6
Mkl1,0.6
Melk,0.6
Sart3,0.6
Spop,0.6
Eif2d,0.6
Gstk1,0.6
Kntc1,0.6
Xpo4,0.6
Nolc1,0.6
Prkch,0.6
Cse1l,0.6
Mark4,0.6
Fam76b,0.6
Prim2,0.6
Clstn1,0.6
Ankrd1,0.6
Mrpl11,0.6
Hnrnpa1,0.6
Lass5,0.6
Fkbp3,0.6
Med20,0.6
Cenpn,0.6
Rfc4,0.6
Zfp566,0.6
Basp1,0.6
Ska3,0.6
BC002059,0.6
Scamp1,0.6
0610009B22Rik,0.6
H2afy2,0.6
Lime1,0.6
Nid1,0.6
Rps12,0.6
Casz1,0.6
Elf3,0.6
Dis3,0.6
Zfp622,0.6
Pex13,0.6
Rasl10b,0.6
Rfc3,0.7
Hnrnpa3,0.7
Clip3,0.7
Rpp25,0.7
Amotl2,0.7
Hmga2,0.7
Ppig,0.7
Suv39h2,0.7
St14,0.7
Thada,0.7
BC055324,0.7
Zfp647,0.7
Bcl11b,0.7
2610029G23Rik,0.7
Zfp217,0.7
Tgfb1,0.7
Odf2,0.7
Atp1b3,0.7
Haus6,0.7
Clspn,0.7
Phkg2,0.7
Gli2,0.7
Itch,0.7
Rpa1,0.7
Spink3,0.7
Tbc1d8b,0.7
Them5,0.7
Cdc25a,0.7
Phf21a,0.7
Ing2,0.7
Trabd,0.7
Fgfr1,0.7
Snrpa1,0.7
Ecscr,0.7
Nap1l1,0.7
Ppp1r8,0.7
Rrp8,0.7
Npat,0.7
Tet1,0.7
Csrnp2,0.7
Dhx38,0.7
Zfp828,0.7
Mad2l1,0.7
Copa,0.7
Nup153,0.7
Bccip,0.7
Mcm9,0.7
Map3k8,0.7
1810010H24Rik,0.7
Dgke,0.7
Tra2b,0.7
Sumo1,0.7
Smc2,0.7
Bmp6,0.7
Whsc1l1,0.7
Zfp560,0.7
Farsb,0.7
Morf4l2,0.7
Esx1,0.7
Tubb5,0.7
Zbtb20,0.7
Nfib,0.7
Luc7l2,0.7
Ppp2ca,0.7
Lrrfip1,0.7
Cdc42bpb,0.7
Cbx2,0.7
Prmt6,0.7
Pdpn,0.7
Fubp1,0.7
Snrnp40,0.7
Srsf7,0.7
Rad54l,0.7
Cpe,0.7
Hoxd9,0.7
Tmem194b,0.7
Col5a2,0.7
Fut4,0.7
Eif3d,0.7
Cdc34,0.7
4933427D14Rik,0.7
Sp4,0.7
Atad5,0.7
Irf9,0.7
Pacrgl,0.7
Gsta3,0.7
Pbld2,0.7
Mapk3,0.7
Capzb,0.7
Phf16,0.7
Eme1,0.7
Mrpl49,0.7
Prkdc,0.7
Eng,0.7
Ppp1r1a,0.7
Mcts2,0.7
Gmps,0.7
Cpt1c,0.7
Sema3c,0.7
Atrx,0.7
Spag5,0.7
Kctd5,0.7
Anp32b,0.7
Zbtb8os,0.7
Jph2,0.7
Oit1,0.7
Ndufa1,0.7
Fam83h,0.7
Gas1,0.7
Elp3,0.7
Stat5a,0.7
Gnb2,0.7
Zdhhc20,0.7
Igf1r,0.7
Zfp11,0.7
Tbc1d2b,0.7
Rb1,0.7
Pwp2,0.7
Men1,0.7
Mtch1,0.7
Gm5465,0.7
Ddx46,0.7
Mll5,0.7
Stat4,0.7
Kif11,0.7
Edf1,0.7
Parva,0.7
Mark2,0.7
Ccdc82,0.7
Cdkn2a,0.7
Aimp1,0.7
Wdr12,0.7
Igsf1,0.7
Cenpp,0.7
Ssb,0.7
Clip4,0.7
Frg1,0.7
Cenpq,0.7
Plekha7,0.7
Dvl2,0.7
Smndc1,0.7
Zfp799,0.7
Cbx3,0.7
Cadm1,0.7
Irx3,0.7
Slc4a2,0.7
Aldh6a1,0.7
Mrps7,0.7
BC018507,0.7
Plekha6,0.7
Tex261,0.7
Hacl1,0.7
Dhdh,0.7
Kifc5b,0.7
Rhog,0.7
Nup50,0.7
Wdr74,0.7
Bptf,0.7
Lgals3,0.7
Zfp955a,0.7
Slc37a3,0.7
Inca1,0.7
Alkbh1,0.7
Plek2,0.7
Timeless,0.7
Grip1,0.7
Hgs,0.7
Rsf1,0.7
Mapk6,0.7
Nrf1,0.7
Acyp1,0.7
Mmachc,0.7
Cd55,0.7
Cdk14,0.7
Arid2,0.7
Kcnn4,0.7
Vrk1,0.7
Utp15,0.7
Ptges2,0.8
Gins4,0.8
Pbx4,0.8
Clic3,0.8
Ube2v2,0.8
Snapc4,0.8
Bsg,0.8
Sbno2,0.8
Aim1l,0.8
Fam65b,0.8
Fancd2,0.8
Parp1,0.8
E2f3,0.8
Myb,0.8
Cdhr1,0.8
Zfp574,0.8
Mrpl19,0.8
Cxxc1,0.8
5033414D02Rik,0.8
Lipm,0.8
Mettl2,0.8
Sod1,0.8
Zdhhc2,0.8
Camta2,0.8
Stat3,0.8
Net1,0.8
Polr2a,0.8
Yaf2,0.8
E130012A19Rik,0.8
Ints12,0.8
Homez,0.8
Ctdnep1,0.8
1110008L16Rik,0.8
Dkc1,0.8
Nsl1,0.8
Irf1,0.8
Prdm16,0.8
Btbd10,0.8
