Hip1r,Hip1r
Nsun5,Nsun5
Top1mt,Top1mt
Hoxa10,Hoxa10
Hoxa4,Hoxa4
Snrpn,Snrpn
Mmp14,Mmp14
Slc7a7,Slc7a7
Oxa1l,Oxa1l
Heatr6,Heatr6
Ccl3,Ccl3
Expi,Expi
Icam4,Icam4
Ilf2,Ilf2
2500003M10Rik,2500003M10Rik
Snapin,Snapin
S100a4,S100a4
S100a3,S100a3
S100a5,S100a5
S100a6,S100a6
Scn4a,Scn4a
Icam2,Icam2
Mapk7,Mapk7
Epn2,Epn2
B9d1,B9d1
Sec24b,Sec24b
N4bp3,N4bp3
Rmnd5b,Rmnd5b
Nhp2,Nhp2
1300018I17Rik,1300018I17Rik
Zfp276,Zfp276
C1ql4,C1ql4
Mfsd10,Mfsd10
Luzp1,Luzp1
Slc13a2,Slc13a2
Kctd10,Kctd10
Poldip2,Poldip2
Sebox,Sebox
Ift20,Ift20
Col6a1,Col6a1
Pcbp3,Pcbp3
Lgals9,Lgals9
Araf,Araf
Cfp,Cfp
Timp1,Timp1
Uxt,Uxt
Cnnm3,Cnnm3
Lman2l,Lman2l
Mcm3ap,Mcm3ap
Pcnt,Pcnt
Ftcd,Ftcd
Mxd1,Mxd1
Gmcl1,Gmcl1
Snrnp27,Snrnp27
Oas1c,Oas1c
Oas1h,Oas1h
Ocrl,Ocrl
Calm1,Calm1
Agpat3,Agpat3
Slc26a3,Slc26a3
Sema6b,Sema6b
Uhrf1,Uhrf1
Dpp9,Dpp9
Ramp2,Ramp2
Lsr,Lsr
Gramd1a,Gramd1a
Hpn,Hpn
Gabrg1,Gabrg1
Ckb,Ckb
Sp1,Sp1
Itgb7,Itgb7
Myg1,Myg1
Rarg,Rarg
Pfdn5,Pfdn5
Efnb2,Efnb2
Rrp15,Rrp15
Rnd2,Rnd2
Srr,Srr
Sync,Sync
Fndc5,Fndc5
Acp5,Acp5
Cnn1,Cnn1
Fbxo9,Fbxo9
Ccdc132,Ccdc132
Apbb3,Apbb3
Hars,Hars
Zmat2,Zmat2
Ube2c,Ube2c
Smg5,Smg5
Cct3,Cct3
Rhbg,Rhbg
0610031J06Rik,0610031J06Rik
Mef2d,Mef2d
Tmem79,Tmem79
Snd1,Snd1
Col18a1,Col18a1
Slc19a1,Slc19a1
Kpnb1,Kpnb1
Npepps,Npepps
Tbx21,Tbx21
Mrpl10,Mrpl10
Cyp51,Cyp51
Tcf25,Tcf25
Tubb6,Tubb6
Def8,Def8
Meox1,Meox1
Sost,Sost
Nkx2-1,Nkx2-1
Pax9,Pax9
Irx2,Irx2
Col1a1,Col1a1
Itga3,Itga3
Sgca,Sgca
Dlx3,Dlx3
Foxm1,Foxm1
Itfg2,Itfg2
Nrip2,Nrip2
Tulp3,Tulp3
Gtf2h4,Gtf2h4
Tubb5,Tubb5
Ell2,Ell2
Jup,Jup
Fkbp10,Fkbp10
Klhl10,Klhl10
Mnx1,Mnx1
Nom1,Nom1
Ergic1,Ergic1
Tnk1,Tnk1
Acap1,Acap1
Tcea3,Tcea3
Csn3,Csn3
Ifrd1,Ifrd1
Stk38l,Stk38l
Brpf1,Brpf1
Akr1b3,Akr1b3
Hoxc13,Hoxc13
Hoxc11,Hoxc11
Hoxc8,Hoxc8
Hoxc6,Hoxc6
Gstt1,Gstt1
Gstt3,Gstt3
Ddt,Ddt
Tat,Tat
Marveld3,Marveld3
Ddx18,Ddx18
Ubl3,Ubl3
Gramd3,Gramd3
Eef1e1,Eef1e1
Akt1,Akt1
Cldn15,Cldn15
Il16,Il16
Tcirg1,Tcirg1
Naglu,Naglu
Coasy,Coasy
Smo,Smo
Tspan33,Tspan33
Crnkl1,Crnkl1
Rin2,Rin2
Folh1,Folh1
Chordc1,Chordc1
D10Wsu52e,D10Wsu52e
Pwp1,Pwp1
Fbxo7,Fbxo7
Capns1,Capns1
Lrp3,Lrp3
Dsg4,Dsg4
Evx2,Evx2
Hoxd13,Hoxd13
Hoxd12,Hoxd12
Folr1,Folr1
Clpb,Clpb
7-Sep,7-Sep
Zdhhc4,Zdhhc4
Rac1,Rac1
Nup214,Nup214
Aif1l,Aif1l
Cpa3,Cpa3
Ltbp1,Ltbp1
Ugp2,Ugp2
Kcnh6,Kcnh6
Trmt1,Trmt1
Nacc1,Nacc1
Nfix,Nfix
