Source,Target,PValue
Kif20a,E2f1,3.147110415474295e-88
Svep1,Prrx1,2.5558993279195185e-87
Cenpb,Cux1,2.8736422985455556e-87
Ltbp1,Twist1,8.54765638136389e-87
Fads3,Ankrd1,1.679370485469091e-86
Cdh11,Zfpm2,4.8260481659576585e-86
Tm4sf1,Aebp1,7.542923260037925e-86
Figf,Zeb2,9.658247471781388e-86
Ndc80,Ddx20,1.4345967207832425e-85
Ccdc102a,Zfpm2,2.281786352358786e-85
Twist2,Wisp1,2.4385672661715203e-85
Mcm7,Smarca5,7.090601071607771e-85
Twist2,B3gnt9-ps,2.3381752174213778e-84
Snai2,Zeb1,5.671164395836353e-84
Lrrc17,Prrx1,6.306276342218049e-84
Col1a1,Prrx1,8.425449801954928e-84
Prrx1,Olfml2b,1.2561820024913957e-82
Zeb1,Glrx,1.3058775121644824e-82
Elmod1,Grhl1,8.985892791612291e-82
Blm,Kif20a,3.4579687130058127e-81
Cdh10,Nr2f1,3.532680676244675e-81
Tet1,Ash2l,8.502478060697275e-81
Kdm2b,B630019K06Rik,2.5325467660772374e-80
Lox,Prrx1,8.575710728487655e-80
Dkc1,Tfap4,1.4905394824434628e-79
Hoxb3,Plod2,3.62123631632049e-79
Adamts2,Twist1,3.655135073695093e-79
Mxd3,Whsc1,7.455398743326474e-79
Prrx1,Col8a1,1.6320276150726001e-78
Cav1,Prrx1,2.021941570111769e-77
Loxl3,Twist1,2.0731506053905203e-77
H2afy2,Zfp37,4.1765396663861725e-77
Gpr124,Hic1,5.1536794097275304e-77
Sass6,Ppp1r8,1.0519572627679381e-76
Pdzrn3,Wnt5a,9.411199228251688e-76
Rhog,Sphk1,1.689184475418987e-75
Tgfb3,Prrx1,1.7332542013653376e-74
Bmi1,Cdc42ep5,9.894652305219357e-74
Col6a3,Prrx1,7.317982055046958e-73
Rbms3,Zeb1,1.674927668038818e-72
Brca1,Gins3,1.749983431718377e-72
Loxl1,Prrx1,2.4598989586989804e-72
Prrx1,Col12a1,2.935077694487064e-72
Odf2l,Hinfp,1.286731253088455e-71
Cd248,Twist1,1.3297227381518122e-71
Prrx2,Twist2,1.9137767433880537e-71
Nrp1,Zeb1,2.73110868500193e-71
Kif20a,Klf9,3.273064830909835e-71
Blm,Haus1,4.094901914156932e-71
