source,target,p-value,model
Olig1,Ldhd,1.556404020629134e-11,1
Onecut2,Mia2,1.6193960676739578e-11,-1
Olig1,Car5a,1.744500828372485e-11,1
Dhx33,Top1mt,2.0123069567217913e-11,-1
Ppargc1a,Ndufb9,2.3360528389248415e-11,-1
Stat6,Tapbp,2.6563658285925743e-11,-1
Olig1,Gckr,2.8136503484666938e-11,1
Olig1,Ido2,3.235736459047066e-11,1
Hnf4a,5033411D12Rik,4.634780095031482e-11,-1
Onecut1,Lcat,4.900865953686846e-11,-1
Onecut1,F12,5.2776045158300186e-11,-1
Onecut1,Timd2,5.639389243722729e-11,-1
Onecut1,Serpinc1,5.882566210083237e-11,-1
Olig1,Dmgdh,6.529916475779686e-11,1
Onecut2,Slc30a10,8.007976262645283e-11,-1
Prox1,1700001C19Rik,1.0321885300278633e-10,-1
Tcf7l1,Ptpn9,1.1029520161713081e-10,1
Snai2,Cltb,1.1139927738335169e-10,1
Olig1,Hacl1,1.1239219726973112e-10,1
Onecut1,F2,1.1982932044692285e-10,-1
Gmeb2,Fam82a1,1.6126215544530796e-10,-1
Arid5b,Fam82a1,1.6126215544530796e-10,-1
Ets1,Nrp1,1.6972238194854004e-10,-1
Zfp217,Anxa1,1.78638342561019e-10,-1
Tcf7l1,Tjp1,2.0520406072131151e-10,1
Phb,Hspa9,2.239455334419855e-10,-1
Yap1,Zfp36l1,2.3173989473599356e-10,-1
Tcf7l1,Cd9,2.3272800933818813e-10,1
Onecut1,Lrrc3,2.4905764971344994e-10,-1
Onecut1,Hamp,2.760829304996071e-10,-1
Irf6,Perp,2.7659639556148557e-10,-1
Rbbp5,Dcaf13,2.8924154822152224e-10,-1
Tcf7l1,Slc16a10,3.0869906232906684e-10,1
Naca,Tmsb10,3.252840088947402e-10,-1
Olig1,Lcat,3.563453700060729e-10,1
Onecut2,Hsd17b6,3.836326340291448e-10,-1
Zfp148,2410127L17Rik,4.2739334296077694e-10,-1
Olig1,Glyat,4.3211509262991617e-10,1
Ddx58,Trim14,5.453403736586028e-10,-1
Olig1,Gulo,5.897085439123856e-10,1
Olig1,Gfra1,6.883707563460858e-10,1
Tcf7l1,Prdx6,8.339960513308343e-10,1
Fubp1,Nktr,8.625198599904549e-10,-1
Mlxipl,Mob3a,9.741276843706874e-10,-1
Tcf7l1,8430419L09Rik,1.0253021178975326e-09,1
Hnrpdl,Eif3f,1.0662219218994434e-09,-1
Creb3l3,Mttp,1.3465901249877373e-09,-1
Onecut1,Masp1,1.5289059993865298e-09,-1
Tcf7l1,Gosr2,1.5705322930696956e-09,1
Olig1,Klkb1,1.57686941013639e-09,1
Nr0b2,Sds,1.975288658055337e-09,-1
Olig1,Apoc4,2.3203585972260945e-09,1
Grlf1,Sdc2,2.73076096965267e-09,-1
Rbbp5,Pebp1,3.029312544679985e-09,-1
Olig1,Serpinc1,3.1512071596227578e-09,1
Tmpo,Tardbp,3.3848219985868125e-09,-1
Tardbp,Tmpo,3.3848219985868125e-09,-1
Rxrg,Gldc,3.5583407372831877e-09,-1
Sod2,Gldc,3.5583407372831877e-09,-1
Edf1,Arid2,3.890079008654609e-09,-1
Foxq1,Wbp5,3.909550442508828e-09,-1
Trp53,Camk2n1,4.251318208727197e-09,-1
Hlf,Rnps1,4.27378229832372e-09,-1
Nfyb,Tars,5.257508205082006e-09,-1
Rnf6,Parg,6.093965498160098e-09,1
Nono,BC024479,6.3093179453985275e-09,-1
Irf5,Ces1d,6.8549147704248695e-09,-1
Tcf7l1,Ddhd2,7.081854077556369e-09,1
Nr1i2,Cyp4f14,8.211230196713216e-09,-1
Kdm3a,Taf5,8.6702747364738e-09,-1
Pias2,Zfp612,8.740034247328065e-09,1
Gpbp1,D15Ertd621e,9.273536791932397e-09,-1
Tcf7l1,Gas6,9.342643592116904e-09,1
Sfpq,Cct2,9.368260623144927e-09,-1
Prox1,Gm4788,9.397595384751449e-09,-1
Olig1,Agxt2,9.48333197404878e-09,1
Olig1,0610012H03Rik,9.833307195245768e-09,1
Pias2,B2m,1.0302646966693872e-08,-1
Trim33,Csnk2b,1.0906237646900739e-08,-1
Olig1,Kng1,1.1561843167251082e-08,1
Ruvbl2,Praf2,1.1668487274219003e-08,1
Onecut1,Mup5,1.1883365837842117e-08,-1
Tcf7l1,Lpgat1,1.2798007593682022e-08,1
Onecut1,1300017J02Rik,1.3147194142430834e-08,-1
Olig1,Cyp7a1,1.3314415443066925e-08,1
Ahr,2210016L21Rik,1.398813424632616e-08,-1
Olig1,Pxmp2,1.508054704596621e-08,1
Olig1,F13b,1.6616468332606014e-08,1
Zkscan14,Fat1,1.759745838817462e-08,-1
Olig1,Cyp2j5,1.9614500230156924e-08,1
Olig1,Kynu,1.972606585557464e-08,1
Olig1,C8a,2.078747525344723e-08,1
Olig1,Slc25a47,2.083310927163988e-08,1
Kdm3a,Brd8,2.279542346601134e-08,1
Rxrg,Hfe2,2.335854928433396e-08,-1
Sod2,Hfe2,2.335854928433396e-08,-1
Thap11,Fkbp9,2.559656703960185e-08,1
Klf12,B3galt1,2.7572716432014712e-08,-1
Thoc1,Rbm34,2.7721065224041685e-08,-1
Nr3c2,Mvp,2.809132491406044e-08,-1
Sarnp,Llgl2,2.8788596796412423e-08,1
Taf1d,Atad2,3.3998876845630114e-08,-1
Thoc1,Eed,3.512895129071994e-08,-1
Nr0b2,Creb3l3,3.8766347029347924e-08,-1
Creb3l3,Nr0b2,3.876634702934859e-08,-1
Nr0b2,Itih1,3.947324672729158e-08,-1
Fubp1,BC024479,4.57379775137594e-08,1
Olig1,Baat,4.762109095324345e-08,1
Nr0b2,Clec4f,5.732696099329256e-08,-1
