source,target,p-value,model
Elk1,Slc52A2,4.406232576363505e-09,-1
Znf143,Fkbp4,4.4546685437791785e-09,-1
E2F7,Spdl1,4.516375592481349e-09,-1
E2F7,Itpka,4.694505391082302e-09,-1
Nrf1,Mast2,4.9462823499814e-09,-1
Gmeb2,Rasd1,4.949632470681306e-09,-1
Tfdp1,Fanca,4.9645829769241875e-09,-1
Klf16,Tbc1D25,5.205468577592247e-09,-1
Znf384,Cbl,5.220675716279424e-09,-1
Stat1,Antxr2,5.65751726710821e-09,-1
Tfdp1,Znf687,5.79586543983823e-09,-1
Znf23,Znf558,6.0241423974427205e-09,-1
Znf143,Cnpy2,6.1488402085543095e-09,-1
Nfkb2,Sh2D3A,6.524399917386495e-09,1
E2F7,Arhgap11A,6.632296724972489e-09,-1
Sp2,Uvrag,6.735269020166717e-09,-1
E2F2,Phlpp2,6.746376095567097e-09,-1
Elk1,Ap2M1,7.604640550315232e-09,-1
Nrf1,Magix,7.6432323456643e-09,-1
Nr2F6,Fam149A,7.864760260318878e-09,-1
Hnf4A,Fzr1,8.090152921141346e-09,-1
Tfdp1,Ppm1A,8.090450663117982e-09,-1
Hcfc1,Slc9A8,9.366439140438177e-09,-1
E2F2,Rad51C,9.68292539307435e-09,-1
Nkx2-1,Sftpb,9.733672447024109e-09,1
Esrra,Rdh13,9.736640489124576e-09,1
Gtf2F1,Man2C1,9.943948041322704e-09,-1
Hcfc1,Ola1,1.008813874969783e-08,-1
Ep300,Znf24,1.0371982507924967e-08,-1
Tfdp1,Mink1,1.0800517380437326e-08,-1
Elk4,Topors,1.1723633916840312e-08,-1
Thra,Timp3,1.2878161244654027e-08,-1
Znf384,Ubr5,1.4287986938721422e-08,-1
Tbp,Atxn2L,1.4290290113042885e-08,-1
Rb1,Tmed2,1.439533049441724e-08,-1
Klf16,Mlxip,1.5265420510196835e-08,-1
Ep300,Fndc3A,1.572822513653799e-08,-1
Tbp,Ints9,1.7639577303386458e-08,-1
Tbx21,Tmem71,1.781064368994168e-08,-1
