source,target,p-value,model
Zfpm1,Rheb,5.827507771523468e-07,-1
Hnf4a,Mgam,6.007673081429072e-07,-1
Topors,Eri2,6.186908175191025e-07,-1
Rorc,Chpt1,6.763193133539199e-07,-1
Esr1,Lipc,7.108329867907415e-07,-1
Ahr,Gsta3,7.145466301621077e-07,-1
Rorc,Acad11,7.187562625120121e-07,-1
Arid4b,Cog5,7.415037401501614e-07,-1
Hmg20a,Top1,7.825870646754583e-07,-1
Mll2,Zbtb8os,7.923625789574423e-07,-1
Hmgb1,Rpl10a,7.968712164757345e-07,-1
Topors,Msh6,8.080718487811472e-07,-1
Zfp143,Kdm4c,8.084060321503195e-07,-1
Gabpa,Nudcd2,8.244123624183278e-07,1
Zfp422,Hmgn1,8.362850847728924e-07,-1
Fubp1,Hnrnpa2b1,9.140409803202154e-07,-1
Gabpb1,Rpa2,9.27517059806438e-07,-1
Dmap1,Fbxl6,1.0136609652055496e-06,1
Cc2d1a,Camsap2,1.0174325976112772e-06,-1
Zfp217,Tmbim1,1.0961009650369247e-06,-1
Irf1,Tmcc3,1.1008297015088967e-06,-1
Nolc1,Sart3,1.1127634026417733e-06,-1
Carm1,Scamp1,1.3086799186874742e-06,-1
Rbmxl1,Med30,1.3473859647089555e-06,-1
Gtf2i,Abcf2,1.3712617049853315e-06,1
Dnmt1,Mad2l1,1.436528435957362e-06,-1
Ahr,2410022L05Rik,1.4743813949304558e-06,-1
Stat6,Ssbp1,1.6000697086914588e-06,-1
Pparg,S100a1,1.6506759424940266e-06,-1
Ruvbl2,2310008H09Rik,1.769533208838872e-06,1
Hopx,Tie1,1.9236295146347917e-06,1
Sra1,Mea1,2.0204518719186356e-06,-1
Gm98,Slc35a2,2.0941118740946602e-06,-1
Ruvbl2,Orc2,2.1248686021362038e-06,-1
Nr3c2,Cdca4,2.159078084516211e-06,-1
Npm1,Nup43,2.3963100816299882e-06,1
Smarca5,Rnps1,2.4142363274729047e-06,-1
Snai2,Mxra8,2.5687624372215164e-06,-1
Nr1h4,Mettl7b,2.6416376177289225e-06,-1
Crebzf,Rnpc3,2.8256098708379245e-06,-1
Suz12,Taf1d,2.851445166154427e-06,-1
Nfic,Srpk1,2.932657328654598e-06,-1
Nfic,Srpk1,2.932657328654598e-06,-1
Ruvbl2,Isyna1,3.0350979358263626e-06,1
Smad7,Mars,3.061272263206105e-06,-1
Mbd3,Wbscr22,3.07261545983997e-06,-1
Irf2,Slc35c1,3.1772670059574387e-06,-1
Hnf4a,Rdh9,3.2055890451749676e-06,-1
Thap7,Dgcr6,3.2074326350635824e-06,-1
Hdac1,Mcm4,3.2140408393732655e-06,-1
Mtf1,Msn,3.4139089409105607e-06,-1
Gabpb1,Topbp1,3.7778337746385468e-06,-1
Esr1,Kng1,3.878415382036426e-06,-1
Sra1,Tmem11,3.885210837044932e-06,-1
Gabpb1,Nupl1,3.901625261578428e-06,-1
Esr1,Aadat,3.933004305685627e-06,-1
Atf1,Elp3,3.957455859080622e-06,1
Esr1,Cyp2a12,3.975862703957645e-06,-1
Rela,Msn,4.0722677013571485e-06,1
Epas1,Inmt,4.136853593231349e-06,-1
Nolc1,Pprc1,4.256149767896527e-06,-1
Npm1,Eif3d,4.266880212566129e-06,-1
Smad4,Fga,4.436067927812694e-06,-1
Zbtb42,Stard3,4.524501317653644e-06,-1
Pcna,Rps26,4.579430298463077e-06,-1
Esr1,Slc17a3,4.583880302348902e-06,-1
Ilf2,Exosc10,4.617402636825316e-06,-1
Taf7,Hat1,4.663306666199152e-06,-1
Rps3,Rps20,4.66405351091037e-06,1
Zkscan1,Dclre1a,4.681058068895211e-06,-1
Smarca5,Mtf2,4.7075282777798745e-06,-1
Zfp524,Uba2,4.793234491635755e-06,-1
Tfip11,1110014N23Rik,4.81784774775951e-06,-1
Apex1,2810004N23Rik,4.86857804264417e-06,-1
Smarca5,Nup155,4.892312635160731e-06,-1
Ppp1r8,Ddx10,5.205434497362593e-06,-1
Nolc1,Dnttip2,5.4589950645735206e-06,-1
Suz12,Rfc1,5.5519941458546e-06,-1
Mbd3,Prmt5,5.597668846996735e-06,-1
0610031J06Rik,1700034H14Rik,5.694579079844173e-06,-1
Atf6b,Exosc10,5.773304245383075e-06,1
Esr1,Pemt,5.8347408226849255e-06,-1
Nr1i3,Shpk,5.901275820681601e-06,-1
Taf12,Med27,5.935198929099503e-06,-1
Gabpb1,Rrm1,6.041859353345799e-06,-1
Hmgb2,Dnmt1,6.100145991187695e-06,-1
Dnmt1,Hmgb2,6.100145991187695e-06,-1
Sin3a,Sip1,6.133320870075188e-06,-1
Bcl6,Uck2,6.283337029213931e-06,-1
Ppp1r8,Aqr,6.387001908721977e-06,-1
Nfat5,Heatr5a,6.53591613253199e-06,-1
Gabpa,Brcc3,6.577911788789219e-06,-1
Stat6,Tgfbr2,7.079256970077754e-06,-1
Gata6,Dsp,7.112928206277479e-06,-1
Esr1,Ido2,7.1287681474672615e-06,-1
Etv3,Psmb8,7.211650496970088e-06,-1
Nkap,Prmt6,7.3252547281884005e-06,1
Cc2d1a,Parp4,7.528970579692655e-06,-1
Med6,Mettl6,7.993070040548463e-06,-1
Mysm1,Tubgcp4,8.169457899762867e-06,-1
Tfip11,Tada3,8.538426757676884e-06,-1
Apex1,Tmcc3,9.302727917241254e-06,-1
Ruvbl2,Exosc5,9.315727174171455e-06,1
Hdac3,Rcc1,9.446429496733899e-06,-1
Zfp771,Spnb3,1.0002425780727368e-05,1
Ldb1,Mdh1,1.0121475617628867e-05,1
Zfp771,Gls2,1.0848849306275105e-05,1
Apex1,Tcp1,1.1434248915690708e-05,-1
Cxxc1,Rab18,1.1724961140725102e-05,-1
Bptf,Pdhx,1.1868902553021104e-05,-1
Atoh8,Erlin2,1.2053896448518222e-05,1
Atoh8,Gna12,1.2119762341632833e-05,-1
Purb,Cyp4f15,1.2285093597225187e-05,-1
Suz12,Mcm4,1.2428116036266e-05,-1
Set,Cdc5l,1.2667091354969353e-05,-1
Cdc5l,Set,1.2667091354970002e-05,-1
Vps72,Pkp4,1.2764728861930808e-05,-1
Nr1d1,Tomm20,1.2781032193081991e-05,-1
Esr1,Akr1d1,1.3004168407837019e-05,-1
Klf15,Hn1,1.3283809101269075e-05,-1
Klf15,Hn1,1.3283809101269075e-05,-1
Nolc1,Dhx8,1.3859130999834495e-05,-1
Pa2g4,Nop58,1.446694043955018e-05,-1
Taf7,Rev1,1.4818437784286532e-05,-1
Zfp524,Anp32e,1.551614028684129e-05,-1
Trp53,Atic,1.5758571611433985e-05,-1
Tcf21,Cldn5,1.6198202118695837e-05,1
Zfp422,Hnrnpa3,1.636653034184591e-05,-1
Pcgf6,1700029F09Rik,1.662459086299914e-05,-1
Nolc1,Ddx10,1.667972814650379e-05,-1
Zfpm1,Slc25a45,1.790767779439545e-05,1
Nr3c2,Tradd,1.794210294221202e-05,-1
Thap7,Eral1,1.8205576856666448e-05,-1
Thap7,Loh12cr1,1.8205576856666448e-05,-1
Nono,Cdk2ap2,1.8260707938657886e-05,-1
Zfp280d,Srsf7,2.00792530033103e-05,-1
Gm98,Stk38l,2.036107876191037e-05,-1
Pcgf6,Ncbp1,2.05251440939591e-05,-1
Tcea1,Cdc27,2.062812272674184e-05,-1
Ppargc1a,D16H22S680E,2.0715550907738218e-05,-1
Nfat5,Drg1,2.160938643670223e-05,-1
Gabpb1,1110034A24Rik,2.161301539225829e-05,-1
Zkscan17,Dusp3,2.1827253589772153e-05,-1
App,Nfatc2ip,2.2013163688163756e-05,-1
Smarca5,Usp37,2.2678235796729454e-05,-1
Trim28,Fam53c,2.3010779689244776e-05,1
Pcna,Hnrnpf,2.332001338390484e-05,-1
Taf9,Esf1,2.3449870218543288e-05,-1
Rb1,Zkscan17,2.3525040560025976e-05,-1
Sox18,Rgs5,2.4019017967957503e-05,-1
Pbrm1,Dhx15,2.531321050650217e-05,-1
Ldb1,Pcbp4,2.5416833606806442e-05,1
Atf1,Rbbp7,2.6009319391294114e-05,1
Zfp322a,Hnrnpa3,2.628486946445736e-05,-1
Nfib,Dcn,2.6484934940682212e-05,-1
Gabpb1,Msh6,2.6634794449932827e-05,-1
Trim28,Dtymk,2.7084532965039943e-05,-1
Atf1,Xpo1,2.830782699122681e-05,1
Rfxap,Pacrgl,2.9159471700621247e-05,1
Npm1,Trim28,2.9421135673962833e-05,-1
Trim28,Npm1,2.942113567396553e-05,-1
Hmgb2,Rpa3,2.9724504591321406e-05,1
Mbd3,Zc3hc1,3.0355889840762395e-05,-1
Ruvbl2,Pcid2,3.072033571349904e-05,-1
Zfml,Crebzf,3.080999431061747e-05,-1
Crebzf,Zfml,3.080999431061758e-05,-1
Sap30,Taf1d,3.3246268022029226e-05,1
Hopx,Pecam1,3.3663809942352634e-05,1
Pcgf6,Itm2b,3.6790325237521544e-05,-1
Ssrp1,Eif3d,3.77978764017391e-05,-1
Esr1,Stab2,3.7830937919752825e-05,-1
Crebzf,Ube3a,3.816978455972198e-05,-1
Trim27,Ssbp1,3.850361581931498e-05,-1
Thoc1,Hnrnpa2b1,3.8738025855206106e-05,-1
Ppp1r8,Rsl1d1,3.878587612295636e-05,-1
Zfml,Rev1,3.925855089857146e-05,-1
