training_node.csvsource,target,Input
Atf6,Rph3Al,High
Atf6,Spag9,High
Barhl1,Dlx6,High
Barhl1,Fgf3,High
Barhl1,Gucy1B2,High
Barhl1,Kcnk9,High
Barhl1,Lhx1,High
Barhl1,Lman1L,High
Barhl1,Neurod2,High
Barhl1,Nptx1,High
Barhl1,Pax6,High
Barhl1,Prr35,High
Barhl1,Rax2,High
Barhl1,Zic5,High
Batf,Cd44,High
Batf,Impdh1,High
Batf,Loxl4,High
Batf,Stx11,High
Batf,Tnfrsf8,High
Batf,Abi3,High
Batf,Ampd3,High
Batf,Ap5B1,High
Batf,Arfgef3,High
Batf,Arl14,High
Batf,Bag3,High
Batf,Bcl6,High
Batf,Btk,High
Batf,C2Orf81,High
Batf,Cidec,High
Batf,Clic1,High
Batf,Cthrc1,High
Batf,Dlgap1-As2,High
Batf,Dusp13,High
Batf,Elf4,High
Batf,Epcam,High
Batf,Fam110A,High
Batf,Fam83G,High
Batf,Hk1,High
Batf,Hmcn2,High
Batf,Homer3,High
Batf,Il15Ra,High
Batf,Irak1,High
Batf,Kcnn4,High
Batf,Klhl21,High
Batf,Mafg,High
Batf,Map1S,High
Batf,Map7D1,High
Batf,Mdfi,High
Batf,Mmp9,High
Batf,Mt2A,High
Batf,Nos3,High
Batf,Pfkfb4,High
Batf,Pi15,High
Batf,Plp2,High
Batf,Ppp1R18,High
Batf,Prr7,High
Batf,Ptafr,High
Batf,Rab39B,High
Batf,Rin1,High
Batf,S100A3,High
Batf,Shc1,High
Batf,Slc38A1,High
Batf,Slc43A2,High
Batf,Slc7A11,High
Batf,Spint1,High
Batf,Srpx2,High
Batf,Tagln2,High
Batf,Ubald2,High
Batf,Ubash3B,High
Batf,Upp1,High
Batf,Zc3H12D,High
Batf,Adgrg1,High
Batf,Ak1,High
Batf,Anxa5,High
Batf,Apba2,High
Batf,Bbc3,High
Batf,Bbox1-As1,High
Batf,Bcl3,High
Batf,C11Orf86,High
Batf,Ca12,High
Batf,Camkk1,High
