0,1,2
701,Ak2,Ak2
702,Ak3,Ak3
703,Ak4,Ak4
704,Ak6,Ak6
705,Ak9,Ak9
706,Akap1,Akap1
707,Akap10,Akap10
708,Akap11,Akap11
709,Akap3,Akap3
710,Akap6,Akap6
711,Akap7,Akap7
712,Akap8,Akap8
713,Akap8L,Akap8L
714,Akip1,Akip1
715,Akirin1,Akirin1
716,Akirin2,Akirin2
717,Akna,Akna
718,Akr1A1,Akr1A1
719,Akr1B1,Akr1B1
720,Akr1B10,Akr1B10
721,Akr1C4,Akr1C4
722,Akr7A2,Akr7A2
723,Akr7A3,Akr7A3
724,Akt1,Akt1
725,Akt1S1,Akt1S1
726,Akt2,Akt2
727,Akt3,Akt3
728,Aktip,Aktip
729,Alad,Alad
730,Alas1,Alas1
731,Alb,Alb
732,Alcam,Alcam
733,Aldh16A1,Aldh16A1
734,Aldh18A1,Aldh18A1
735,Aldh1A1,Aldh1A1
736,Aldh1A2,Aldh1A2
737,Aldh1B1,Aldh1B1
738,Aldh1L1,Aldh1L1
739,Aldh1L1-As2,Aldh1L1-As2
740,Aldh2,Aldh2
741,Aldh3A1,Aldh3A1
742,Aldh3A2,Aldh3A2
743,Aldh3B1,Aldh3B1
744,Aldh4A1,Aldh4A1
745,Aldh5A1,Aldh5A1
746,Aldh7A1,Aldh7A1
747,Aldh8A1,Aldh8A1
748,Aldh9A1,Aldh9A1
749,Aldoa,Aldoa
750,Aldoc,Aldoc
751,Alg10,Alg10
752,Alg10B,Alg10B
753,Alg12,Alg12
754,Alg13,Alg13
755,Alg14,Alg14
756,Alg2,Alg2
757,Alg3,Alg3
758,Alg6,Alg6
759,Alg8,Alg8
760,Alg9,Alg9
761,Alkbh1,Alkbh1
762,Alkbh2,Alkbh2
763,Alkbh3,Alkbh3
764,Alkbh5,Alkbh5
765,Alkbh6,Alkbh6
766,Alkbh8,Alkbh8
767,Alms1,Alms1
768,Alox12-As1,Alox12-As1
769,Alox12P2,Alox12P2
770,Alox5,Alox5
771,Aloxe3,Aloxe3
772,Alpi,Alpi
773,Alpk1,Alpk1
774,Alpk2,Alpk2
775,Alpk3,Alpk3
776,Als2,Als2
777,Als2Cl,Als2Cl
778,Alx1,Alx1
779,Alx4,Alx4
780,Alyref,Alyref
781,Ambn,Ambn
782,Ambp,Ambp
783,Ambra1,Ambra1
784,Amd1,Amd1
785,Amdhd2,Amdhd2
786,Amfr,Amfr
787,Amhr2,Amhr2
788,Amigo2,Amigo2
789,Ammecr1,Ammecr1
790,Ammecr1L,Ammecr1L
791,Amn,Amn
792,Amn1,Amn1
793,Amot,Amot
794,Amotl1,Amotl1
795,Amotl2,Amotl2
796,Ampd1,Ampd1
797,Ampd2,Ampd2
798,Ampd3,Ampd3
799,Amt,Amt
800,Amz1,Amz1
801,Amz2,Amz2
802,Amz2P1,Amz2P1
803,Anapc1,Anapc1
804,Anapc10,Anapc10
805,Anapc11,Anapc11
806,Anapc13,Anapc13
807,Anapc15,Anapc15
808,Anapc16,Anapc16
809,Anapc4,Anapc4
810,Anapc7,Anapc7
811,Ang,Ang
812,Angel1,Angel1
813,Angel2,Angel2
814,Angpt4,Angpt4
815,Angptl3,Angptl3
816,Angptl4,Angptl4
817,Angptl6,Angptl6
818,Ank2,Ank2
819,Ankef1,Ankef1
820,Ankhd1,Ankhd1
821,Ankib1,Ankib1
822,Ankle1,Ankle1
823,Ankle2,Ankle2
824,Ankmy1,Ankmy1
825,Ankmy2,Ankmy2
826,Ankrd1,Ankrd1
827,Ankrd10,Ankrd10
828,Ankrd11,Ankrd11
829,Ankrd12,Ankrd12
830,Ankrd13A,Ankrd13A
831,Ankrd13B,Ankrd13B
832,Ankrd13C,Ankrd13C
833,Ankrd13D,Ankrd13D
834,Ankrd16,Ankrd16
835,Ankrd17,Ankrd17
836,Ankrd19P,Ankrd19P
837,Ankrd2,Ankrd2
838,Ankrd20A11P,Ankrd20A11P
839,Ankrd23,Ankrd23
840,Ankrd24,Ankrd24
841,Ankrd26,Ankrd26
842,Ankrd27,Ankrd27
843,Ankrd28,Ankrd28
844,Ankrd30Bp2,Ankrd30Bp2
845,Ankrd33B,Ankrd33B
846,Ankrd35,Ankrd35
847,Ankrd37,Ankrd37
848,Ankrd44,Ankrd44
849,Ankrd46,Ankrd46
850,Ankrd49,Ankrd49
851,Ankrd50,Ankrd50
852,Ankrd52,Ankrd52
853,Ankrd6,Ankrd6
854,Ankrd60,Ankrd60
855,Ankrd9,Ankrd9
856,Anks1A,Anks1A
857,Anks3,Anks3
858,Anks4B,Anks4B
859,Anln,Anln
860,Ano1,Ano1
861,Ano3,Ano3
862,Ano4,Ano4
863,Ano5,Ano5
864,Ano6,Ano6
865,Ano7,Ano7
866,Ano8,Ano8
867,Ano9,Ano9
868,Anp32A,Anp32A
869,Anp32C,Anp32C
870,Anp32E,Anp32E
871,Anpep,Anpep
872,Antxr1,Antxr1
873,Antxr2,Antxr2
874,Anxa1,Anxa1
875,Anxa10,Anxa10
876,Anxa11,Anxa11
877,Anxa13,Anxa13
878,Anxa2P1,Anxa2P1
879,Anxa2P2,Anxa2P2
880,Anxa2P3,Anxa2P3
881,Anxa3,Anxa3
882,Anxa4,Anxa4
883,Anxa5,Anxa5
884,Anxa6,Anxa6
885,Anxa7,Anxa7
886,Anxa9,Anxa9
887,Aoah,Aoah
888,Aoc3,Aoc3
889,Aoc4P,Aoc4P
890,Aox1,Aox1
891,Ap1Ar,Ap1Ar
892,Ap1B1,Ap1B1
893,Ap1G1,Ap1G1
894,Ap1G2,Ap1G2
895,Ap1M1,Ap1M1
896,Ap1S1,Ap1S1
897,Ap1S2,Ap1S2
898,Ap2A1,Ap2A1
899,Ap2B1,Ap2B1
900,Ap2M1,Ap2M1
901,Ap2S1,Ap2S1
902,Ap3D1,Ap3D1
903,Ap3M1,Ap3M1
904,Ap3M2,Ap3M2
905,Ap3S1,Ap3S1
906,Ap4B1,Ap4B1
907,Ap4M1,Ap4M1
908,Ap4S1,Ap4S1
909,Ap5B1,Ap5B1
910,Ap5M1,Ap5M1
911,Ap5S1,Ap5S1
912,Ap5Z1,Ap5Z1
913,Apaf1,Apaf1
914,Apba1,Apba1
915,Apba2,Apba2
916,Apba3,Apba3
917,Apbb1,Apbb1
918,Apbb1Ip,Apbb1Ip
919,Apbb2,Apbb2
920,Apbb3,Apbb3
921,Apc,Apc
922,Apc2,Apc2
923,Apcdd1L,Apcdd1L
924,Apcs,Apcs
925,Apex2,Apex2
926,Aph1A,Aph1A
927,Aph1B,Aph1B
928,Api5,Api5
929,Apip,Apip
930,Aplf,Aplf
931,Apln,Apln
932,Aplp2,Aplp2
933,Apmap,Apmap
934,Apoa1,Apoa1
935,Apoa2,Apoa2
936,Apoa4,Apoa4
937,Apoa5,Apoa5
938,Apobec2,Apobec2
939,Apobec3B,Apobec3B
940,Apobec3C,Apobec3C
941,Apobec3D,Apobec3D
942,Apobec3F,Apobec3F
943,Apobr,Apobr
944,Apoc2,Apoc2
945,Apoc3,Apoc3
946,Apod,Apod
947,Apoe,Apoe
948,Apoh,Apoh
949,Apol1,Apol1
950,Apol2,Apol2
951,Apol4,Apol4
952,Apol6,Apol6
953,Apold1,Apold1
954,Apom,Apom
955,Apool,Apool
956,App,App
957,Appbp2,Appbp2
958,Appl1,Appl1
959,Appl2,Appl2
960,Aprt,Aprt
961,Aptr,Aptr
962,Aptx,Aptx
963,Aqp11,Aqp11
964,Aqp2,Aqp2
965,Aqp3,Aqp3
966,Aqp5,Aqp5
967,Aqp6,Aqp6
968,Aqp7,Aqp7
969,Aqp9,Aqp9
970,Aqr,Aqr
971,Ar,Ar
972,Araf,Araf
973,Arap1,Arap1
974,Arap3,Arap3
975,Arc,Arc
976,Arcn1,Arcn1
977,Areg,Areg
978,Arel1,Arel1
979,Arf1,Arf1
980,Arf3,Arf3
981,Arf4,Arf4
982,Arf5,Arf5
983,Arf6,Arf6
984,Arfgap1,Arfgap1
985,Arfgap2,Arfgap2
986,Arfgap3,Arfgap3
987,Arfgef1,Arfgef1
988,Arfgef2,Arfgef2
989,Arfgef3,Arfgef3
990,Arfip1,Arfip1
991,Arfip2,Arfip2
992,Arg1,Arg1
993,Arg2,Arg2
994,Arglu1,Arglu1
995,Arhgap1,Arhgap1
996,Arhgap10,Arhgap10
997,Arhgap11A,Arhgap11A
998,Arhgap12,Arhgap12
999,Arhgap17,Arhgap17
1000,Arhgap18,Arhgap18
1001,Arhgap19,Arhgap19
1002,Arhgap20,Arhgap20
1003,Arhgap21,Arhgap21
1004,Arhgap23,Arhgap23
1005,Arhgap24,Arhgap24
1006,Arhgap26,Arhgap26
1007,Arhgap26-As1,Arhgap26-As1
1008,Arhgap29,Arhgap29
1009,Arhgap30,Arhgap30
1010,Arhgap31,Arhgap31
1011,Arhgap32,Arhgap32
1012,Arhgap33,Arhgap33
1013,Arhgap35,Arhgap35
1014,Arhgap39,Arhgap39
1015,Arhgap4,Arhgap4
1016,Arhgap44,Arhgap44
1017,Arhgap5,Arhgap5
1018,Arhgap5-As1,Arhgap5-As1
1019,Arhgap6,Arhgap6
1020,Arhgap8,Arhgap8
1021,Arhgdia,Arhgdia
