GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
Cdca2,-0.39280534,1.0523573,-0.7196593,1.2040606,-0.59536016,0.96896654,-1.0157081,0.52513766,-0.5747418,-0.08999382,-0.3134006,0.6853127
Cdca3,-0.64522976,0.46524036,-0.8303977,0.8651275,-0.7858897,0.7511351,-1.0429933,0.5541627,-0.7049319,-0.022625685,-0.2951739,0.590742
Cdca4,-0.6688645,0.64658993,-0.86190224,0.8052405,-0.81523764,0.79945344,-1.2531835,0.086984836,-0.04882472,-0.56963444,-1.0410475,0.36603516
Cdca5,-0.5651723,1.0378695,-0.80046844,1.1825362,-0.7084898,1.0181073,-1.2464234,0.5541912,-0.528,-0.3489815,-0.3679105,0.5763915
Cdca7,-0.7088207,0.6749255,-0.5676192,0.84521794,-0.5689395,0.4583788,-1.1052935,0.5421797,-0.509917,-0.37239903,0.064378,0.86731845
Cdca7l,-0.30880553,-0.008413952,-0.39488167,0.63608605,-0.40247047,0.49982136,-0.40247047,0.49982136,-0.75026554,-0.17874283,-0.16713907,-0.4597699
Cdca8,-0.41107318,1.0536698,-0.93507856,1.2607651,-0.6964243,1.0780872,-1.0831579,0.7532012,-0.6173704,-0.37542224,-0.59559286,0.823549
Cdh11,0.13609138,-1.0844136,-0.22932677,-0.465612,-0.2130577,-0.67572784,0.028768606,-0.6726898,-0.34224218,-0.41565406,-0.117572375,0.12334949
Cdh13,-0.15636757,0.023233056,-0.75048065,0.022887863,-0.9430016,0.31927127,0.3573565,-0.23853008,-0.3785507,0.75526476,-0.31169155,-1.1738008
Cdh2,-0.44059774,-0.21550442,-0.15737377,-0.23024662,0.003788337,-0.18932353,-0.06478398,-1.0203495,0.35258338,1.0312417,0.5590928,0.8688278
Cdh5,-0.25055826,-0.4792447,-1.2223622,-0.456218,0.23798218,-1.325759,0.053507715,-0.018535987,-1.1926768,0.9589163,-1.1883137,0.5214317
Cdk1,-0.7101588,0.6675743,-0.9972978,0.8278825,-0.7409871,0.7727648,-1.1082788,0.5543586,-0.7968579,-0.17687675,-0.43452552,0.657477
Cdk11b,0.18096949,-0.0072964206,0.18741705,0.097919844,0.1579981,0.011332847,0.05412229,0.2314681,0.2059167,-0.06775125,-0.11306482,-0.5513702
Cdk16,-0.31227702,-0.24808834,-0.361094,-1.1032314,-0.361094,-1.1032314,0.27443647,0.03836392,0.58471334,-1.1163105,-0.16408005,0.15212679
Cdk19,0.16806638,0.08785519,-0.42612338,0.27046192,0.106216095,0.088630944,-0.042031802,-0.12209377,-0.81075245,0.13673118,-0.4405533,0.2745309
Cdk2,-0.11971072,0.3388474,-0.03505505,0.50917864,0.14770114,0.65392435,-0.08168762,0.41800028,0.10400208,0.5244219,0.3191522,0.7476346
Cdk20,0.62910646,-0.10434337,0.62910646,-0.10434337,0.62910646,-0.10434337,0.054164633,0.16685277,0.17122804,-0.82097596,0.45348185,0.017420426
Cdk2ap1,0.33500463,0.64244217,0.12267865,0.3125986,0.46585235,0.34384698,-0.21939105,0.26135972,0.9806133,-0.41621715,-0.9621597,0.3737052
Cdk2ap2,0.19548331,-0.14530537,0.16439414,0.2168938,0.49961096,0.4875676,0.26931885,0.07482569,0.7494054,-0.18649368,-0.18409042,0.13043128
Cdk4,-0.48621315,1.0574565,-0.6915049,1.1712343,-0.28345296,0.8515084,-0.8027686,0.20741984,-0.82411814,-0.7376553,-0.5722072,0.38338345
Cdk5,-0.17282096,-0.37606472,-0.17282096,-0.37606472,-0.17282096,-0.37606472,0.37452477,-0.78363085,0.14406517,-0.09374888,-0.10446466,0.20890209
Cdk5rap3,-0.11515214,0.2256988,-0.11515214,0.2256988,-0.11515214,0.2256988,0.3713622,-0.57352453,0.0064367335,0.6921692,0.020564368,0.102830805
Cdk6,-0.45558694,-0.7045889,-0.46092942,-0.37562847,-0.17227429,0.17387001,0.5427303,0.36881548,0.45258337,0.22324817,0.71814984,0.54845536
Cdk7,0.04884302,-0.17136686,0.31547952,0.35244817,-0.49567664,-0.42878246,-0.596613,-0.7617517,0.42471784,0.25064927,-0.20334463,-0.06182438
Cdkn1c,-0.2423805,-0.7240484,-0.2881196,-0.5465249,-0.092505425,-0.558012,0.018281257,-0.36397135,-0.42526996,-0.55969006,0.4274246,0.18260041
Cdkn2aipnl,0.03195232,0.37910968,-0.36018422,0.24144094,-0.19070859,0.38484997,-0.6135068,-0.15845329,-0.25908732,0.18708672,-0.15130022,0.16608956
Cdkn2b,-0.040252253,-0.2759421,0.18898633,0.31448656,-0.3809319,-0.17340249,-0.21915007,-0.51040924,0.14585534,-0.05115734,-0.43389738,0.10466888
Cdkn3,-0.48471618,0.5313168,-0.62030345,0.6567853,-0.50680333,0.55421257,-0.73508537,0.41383702,-0.34441546,0.03036496,0.036849447,0.6017688
Cdt1,-0.5578878,0.7569761,-0.6964709,1.2514461,-0.81598663,1.0001175,-1.0616786,0.8662526,-0.20696382,-0.25721627,-0.1852758,0.79760396
Ceacam1,-0.22976843,0.0853364,0.70504254,-0.08516446,0.05905345,-0.04803227,-0.316843,-0.6970697,0.07201957,0.466188,-0.034841858,-0.64508563
Cebpd,0.16248816,0.0071117543,-0.27394405,-0.06293994,-0.84046715,0.18548013,0.42602783,0.43385643,0.021927586,0.16575074,-0.74927735,-0.04405807
Cebpz,0.19036055,0.24299608,0.12097567,0.071430564,0.21105033,0.2774825,-0.033231936,0.41291898,0.28618583,0.27653587,0.61996657,0.27655774
Cenpa,-0.512081,0.6122353,-0.6956663,0.83520925,-0.61013544,0.6914181,-0.8306574,0.4938475,-0.6981046,-0.09063558,-0.20175892,0.40724832
Cenpc1,0.2956674,0.5542913,0.35543323,0.6503564,0.36831284,0.84791124,0.57572085,0.26074645,0.6401449,-0.19583608,0.03528729,0.43922377
Cenpe,-0.33056965,1.2024016,-0.6489755,1.2396297,-0.45331928,1.0600519,-0.9475838,0.34555048,-0.5209336,-0.04797761,-0.14032903,0.77148247
Cenph,-0.21937092,1.4063361,-0.4832508,1.4638002,-0.04575441,1.3489463,-0.8521486,0.7664749,-0.73460984,-0.42385954,-0.41419446,1.069418
Cenpm,-0.6402084,0.70634127,-0.70053583,0.82910866,-0.45498744,0.7445619,-0.6722686,0.4439599,-0.6561985,-0.19201837,-0.13803865,0.5620207
Cenpn,-0.040264055,0.92823386,-0.3883312,1.1822642,-0.3166282,1.0712137,-0.93177515,0.3466254,-0.32372144,0.13585371,-0.35268414,0.6099718
Cenpq,0.33681926,0.9559662,0.047414787,0.3080135,0.1363879,0.31282347,-0.1834011,-0.36339086,0.5191478,0.038402855,-0.17276742,-0.111173525
Cenpt,-0.018661732,0.89356244,-0.22715068,0.97125506,0.1803841,0.9044722,-0.5880738,0.3838361,0.33037728,-0.28997397,-0.8059373,0.14306705
Cep170,0.036356278,-0.0669322,-0.34215838,-0.2121151,0.036356278,-0.0669322,-0.20671359,0.08088522,-0.598339,-0.43840075,-1.0683763,-0.67561656
